site_code,treatment_name,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
lancaster.uk,P,rootshoot,5.723582964,1.380596561,1.303151995,0.220790626,0.921467613,0.127473527,2,3
lancaster.uk,NP,rootshoot,5.723582964,2.110878744,1.303151995,0.776683896,0.921467613,0.448418656,2,3
look.us,N,rootshoot,34.65168288,5.762365191,29.04461445,2.852358617,16.76891597,1.646810016,3,3
look.us,P,rootshoot,34.65168288,4.825415685,29.04461445,3.151565713,16.76891597,1.819557313,3,3
look.us,NP,rootshoot,34.65168288,12.38131738,29.04461445,6.559101589,16.76891597,3.786899068,3,3
mtca.au,N,rootshoot,0.810699428,0.72905218,0.816463346,0.125673894,0.471385333,0.072557857,3,3
mtca.au,P,rootshoot,0.810699428,1.06690744,0.816463346,0.649792078,0.471385333,0.375157631,3,3
mtca.au,NP,rootshoot,0.810699428,1.317582557,0.816463346,1.158789905,0.471385333,0.669027663,3,3
sage.us,N,rootshoot,4.404754915,2.323301391,6.094616796,2.156020577,3.518728648,1.24477906,3,3
sage.us,P,rootshoot,4.404754915,1.321159109,6.094616796,1.593302506,3.518728648,0.919893631,3,3
sage.us,NP,rootshoot,4.404754915,1.122514751,6.094616796,0.92933973,3.518728648,0.536554543,3,3
saline.us,N,rootshoot,1.046269503,0.747603859,0.257778306,0.16441745,0.148828375,0.094926459,3,3
saline.us,P,rootshoot,1.046269503,0.551380162,0.257778306,0.368519356,0.148828375,0.212764749,3,3
saline.us,NP,rootshoot,1.046269503,0.405545146,0.257778306,0.279023822,0.148828375,0.161094479,3,3
sgs.us,N,rootshoot,4.637383839,5.475467872,2.093723508,1.388123246,1.208811831,0.80143333,3,3
sgs.us,P,rootshoot,4.637383839,7.2043832,2.093723508,1.304497659,1.208811831,0.753152074,3,3
sgs.us,NP,rootshoot,4.637383839,11.80257799,2.093723508,15.04108363,1.208811831,8.683973683,3,3
shps.us,N,rootshoot,2.671940837,5.339282859,2.036169105,2.994126175,1.175582781,1.728659553,3,3
shps.us,P,rootshoot,2.671940837,3.409060845,2.036169105,0.955845241,1.175582781,0.551857507,3,3
shps.us,NP,rootshoot,2.671940837,2.000089672,2.036169105,1.508788049,1.175582781,0.871099186,3,3
sier.us,N,rootshoot,0.172954416,0.23071253,0.049548641,0.067134673,0.028606921,0.038760221,3,3
sier.us,P,rootshoot,0.172954416,0.128703552,0.049548641,0.081638766,0.028606921,0.047134164,3,3
sier.us,NP,rootshoot,0.172954416,0.134751355,0.049548641,0.073907487,0.028606921,0.042670507,3,3
smith.us,N,rootshoot,1.018820075,0.789205581,0.139801755,0.300377963,0.080714581,0.173423298,3,3
smith.us,P,rootshoot,1.018820075,0.775037731,0.139801755,0.504529046,0.080714581,0.291289981,3,3
smith.us,NP,rootshoot,1.018820075,0.402116751,0.139801755,0.022192265,0.080714581,0.01281271,3,3
spin.us,N,rootshoot,5.854698691,0.463655009,7.508095772,0.135315915,4.334801115,0.07812468,3,3
spin.us,P,rootshoot,5.854698691,1.583222558,7.508095772,0.95010954,4.334801115,0.548545998,3,3
spin.us,NP,rootshoot,5.854698691,1.202076761,7.508095772,0.470351785,4.334801115,0.271557729,3,3
summ.za,N,rootshoot,4.356207051,3.072540581,2.200347169,0.71494569,1.27037103,0.412774086,3,3
summ.za,P,rootshoot,4.356207051,3.974485852,2.200347169,3.431288231,1.27037103,1.981055184,3,3
summ.za,NP,rootshoot,4.356207051,2.327276019,2.200347169,0.86568126,1.27037103,0.499801309,3,3
trel.us,N,rootshoot,0.073120001,0.09724674,0.046447668,0.052473251,0.026816574,0.030295446,3,3
trel.us,P,rootshoot,0.073120001,0.077179926,0.046447668,0.015434387,0.026816574,0.008911048,3,3
trel.us,NP,rootshoot,0.073120001,0.034990217,0.046447668,0.011102208,0.026816574,0.006409863,3,3
ukul.za,N,rootshoot,0.321645589,0.299697111,0.214489636,0.226532053,0.087565027,0.130788342,6,3
ukul.za,P,rootshoot,0.321645589,0.122380844,0.214489636,0.089672822,0.087565027,0.051772628,6,3
ukul.za,NP,rootshoot,0.321645589,0.100446243,0.214489636,0.058404788,0.087565027,0.03372002,6,3
unc.us,N,rootshoot,0.983887877,0.331891149,0.435087562,0.051783597,0.251197921,0.029897274,3,3
unc.us,P,rootshoot,0.983887877,0.165804332,0.435087562,0.133548752,0.251197921,0.077104408,3,3
unc.us,NP,rootshoot,0.983887877,0.372698877,0.435087562,0.299154854,0.251197921,0.172717135,3,3
valm.ch,N,rootshoot,2.316546063,3.568534381,0.634073783,1.350337932,0.366082669,0.779617968,3,3
valm.ch,P,rootshoot,2.316546063,4.673005944,0.634073783,1.57336068,0.366082669,0.908380212,3,3
valm.ch,NP,rootshoot,2.316546063,7.604687932,0.634073783,1.322297759,0.366082669,0.763428967,3,3
bldr.us,N,totalbiomass,182.686736,374.050941,21.83421493,254.8964167,1.301274319,0.946149464,2,2
bldr.us,P,totalbiomass,182.686736,272.9543311,21.83421493,31.53417872,1.301274319,1.312403837,2,2
bldr.us,NP,totalbiomass,182.686736,459.6753225,21.83421493,53.62535388,1.301274319,0.034422856,2,2
bnch.us,N,totalbiomass,1406.01771,1321.796753,337.2091947,120.4106456,0.55017416,2.626591424,3,3
bnch.us,P,totalbiomass,1406.01771,1074.961999,337.2091947,515.0519944,0.55017416,0.746310492,3,3
bnch.us,NP,totalbiomass,1406.01771,1100.750201,337.2091947,455.8799693,0.55017416,0.529103642,3,3
bogong.au,N,totalbiomass,911.8534613,1772.588614,220.9480601,345.5985271,0.042825844,0.083819823,3,3
bogong.au,P,totalbiomass,911.8534613,1063.882323,220.9480601,215.7087981,0.042825844,0.092730879,3,3
bogong.au,NP,totalbiomass,911.8534613,1573.688105,220.9480601,99.31910589,0.042825844,0.196528197,3,3
burrawan.au,N,totalbiomass,316.2596789,122.7341173,129.9650859,44.28813323,0.022794342,0.07904714,3,3
burrawan.au,P,totalbiomass,316.2596789,180.3371512,129.9650859,22.41206198,0.022794342,0.298673756,3,3
burrawan.au,NP,totalbiomass,316.2596789,306.0877609,129.9650859,397.4224681,0.022794342,0.765495016,3,3
cbgb.us,N,totalbiomass,418.879143,464.5224333,128.3660577,320.1018827,0.074056907,0.146466978,6,6
cbgb.us,P,totalbiomass,418.879143,388.6591375,128.3660577,67.91622098,0.074056907,0.135183569,6,6
cbgb.us,NP,totalbiomass,418.879143,552.7403601,128.3660577,188.6946766,0.074056907,0.172748958,6,6
cdcr.us,N,totalbiomass,330.6575815,375.9170773,104.7729567,134.9401119,0.442879506,0.057374993,3,3
cdcr.us,P,totalbiomass,330.6575815,811.0251459,104.7729567,503.9081465,0.442879506,1.478050453,3,3
cdcr.us,NP,totalbiomass,330.6575815,1017.581871,104.7729567,508.8525501,0.442879506,0.734999399,3,3
cdpt.us,N,totalbiomass,1204.36941,1670.51466,421.3036309,165.5553604,1.407262442,0.399079966,3,3
cdpt.us,P,totalbiomass,1204.36941,1290.923247,421.3036309,207.7123843,1.407262442,0.455386097,3,3
cdpt.us,NP,totalbiomass,1204.36941,1459.78109,421.3036309,654.9167302,1.407262442,0.715322575,3,3
cowi.ca,N,totalbiomass,2433.5826,2181.975796,575.2436441,406.7570272,0.093639017,0.18780203,3,3
cowi.ca,P,totalbiomass,2433.5826,3230.841353,575.2436441,1432.89245,0.093639017,0.397233306,3,3
cowi.ca,NP,totalbiomass,2433.5826,3404.286332,575.2436441,452.2433858,0.093639017,0.175224614,3,3
elliot.us,N,totalbiomass,440.5161719,522.8904291,82.89864839,216.4433409,0.212382855,0.388514891,3,3
elliot.us,P,totalbiomass,440.5161719,346.9374587,82.89864839,123.1774443,0.212382855,0.02721276,3,3
elliot.us,NP,totalbiomass,440.5161719,499.9701312,82.89864839,44.71812417,0.212382855,0.021147974,3,3
frue.ch,N,totalbiomass,1348.579212,1540.082661,245.879082,375.9291679,0.056019138,0.077701016,3,3
frue.ch,P,totalbiomass,1348.579212,1349.915157,245.879082,215.8469673,0.056019138,0.119267657,3,3
frue.ch,NP,totalbiomass,1348.579212,1575.83916,245.879082,361.508072,0.056019138,0.024641019,3,3
gilb.za,N,totalbiomass,1424.944314,1906.457441,357.5504456,1472.893369,0.238359063,2.158917334,3,3
gilb.za,P,totalbiomass,1424.944314,1413.329552,357.5504456,636.6148032,0.238359063,0.627685912,3,3
gilb.za,NP,totalbiomass,1424.944314,1170.754009,357.5504456,361.2839897,0.238359063,0.301587795,3,3
hall.us,N,totalbiomass,495.9500561,653.0338653,244.8419073,338.5816247,0.063641139,0.013304757,3,3
hall.us,P,totalbiomass,495.9500561,998.0502767,244.8419073,161.6926952,0.063641139,0.279668007,3,3
hall.us,NP,totalbiomass,495.9500561,849.6037985,244.8419073,770.8431309,0.063641139,0.083043309,3,3
hart.us,N,totalbiomass,173.4276982,249.0101782,56.31067567,64.2591645,0.36415174,0.383029417,3,3
hart.us,P,totalbiomass,173.4276982,153.1804976,56.31067567,63.02205552,0.36415174,0.634333486,3,3
hart.us,NP,totalbiomass,173.4276982,270.4142336,56.31067567,152.093681,0.36415174,0.324688723,3,3
konz.us,N,totalbiomass,689.6934149,621.7638721,176.9712123,106.2028241,0.084649987,0.051754418,3,3
konz.us,P,totalbiomass,689.6934149,605.7090294,176.9712123,70.82845417,0.084649987,0.082364035,3,3
konz.us,NP,totalbiomass,689.6934149,811.2405499,176.9712123,99.30669372,0.084649987,0.125748183,3,3
lancaster.uk,N,totalbiomass,640.3375277,836.2788172,155.597694,412.3661748,0.921467613,1.625764381,2,3
lancaster.uk,P,totalbiomass,640.3375277,661.241012,155.597694,82.97078551,0.921467613,0.127473527,2,3
lancaster.uk,NP,totalbiomass,640.3375277,843.4248814,155.597694,381.9002457,0.921467613,0.448418656,2,3
look.us,N,totalbiomass,1030.892635,774.3628395,504.5348352,211.8666803,16.76891597,1.646810016,3,3
look.us,P,totalbiomass,1030.892635,592.4589645,504.5348352,207.7613772,16.76891597,1.819557313,3,3
look.us,NP,totalbiomass,1030.892635,624.0632868,504.5348352,690.909128,16.76891597,3.786899068,3,3
mtca.au,N,totalbiomass,294.6039082,235.0835478,89.54313486,58.70808806,0.471385333,0.072557857,3,3
mtca.au,P,totalbiomass,294.6039082,402.6585409,89.54313486,101.5124995,0.471385333,0.375157631,3,3
mtca.au,NP,totalbiomass,294.6039082,461.1273871,89.54313486,189.7208914,0.471385333,0.669027663,3,3
sage.us,N,totalbiomass,319.4039397,308.0936968,161.9271485,115.6058149,3.518728648,1.24477906,3,3
sage.us,P,totalbiomass,319.4039397,490.364221,161.9271485,76.0790966,3.518728648,0.919893631,3,3
sage.us,NP,totalbiomass,319.4039397,324.3779564,161.9271485,186.8608969,3.518728648,0.536554543,3,3
saline.us,N,totalbiomass,569.2861611,463.2001699,297.7452104,144.553391,0.148828375,0.094926459,3,3
saline.us,P,totalbiomass,569.2861611,692.0229179,297.7452104,96.72932445,0.148828375,0.212764749,3,3
saline.us,NP,totalbiomass,569.2861611,622.652513,297.7452104,108.5262321,0.148828375,0.161094479,3,3
sgs.us,N,totalbiomass,492.1326291,460.6687958,228.6481551,79.33943729,1.208811831,0.80143333,3,3
sgs.us,P,totalbiomass,492.1326291,701.5731164,228.6481551,24.91600411,1.208811831,0.753152074,3,3
sgs.us,NP,totalbiomass,492.1326291,1262.383207,228.6481551,1506.872356,1.208811831,8.683973683,3,3
shps.us,N,totalbiomass,531.2569308,604.0825878,93.36955402,79.55029435,1.175582781,1.728659553,3,3
shps.us,P,totalbiomass,531.2569308,541.9596877,93.36955402,139.9849726,1.175582781,0.551857507,3,3
shps.us,NP,totalbiomass,531.2569308,806.8868331,93.36955402,144.0920038,1.175582781,0.871099186,3,3
sier.us,N,totalbiomass,383.7973011,288.0673509,143.9110804,180.8232009,0.028606921,0.038760221,3,3
sier.us,P,totalbiomass,383.7973011,369.1927427,143.9110804,122.7654455,0.028606921,0.047134164,3,3
sier.us,NP,totalbiomass,383.7973011,389.8937198,143.9110804,130.3655003,0.028606921,0.042670507,3,3
smith.us,N,totalbiomass,647.445981,598.9151391,160.6361823,37.9644152,0.080714581,0.173423298,3,3
smith.us,P,totalbiomass,647.445981,673.2026777,160.6361823,156.3187171,0.080714581,0.291289981,3,3
smith.us,NP,totalbiomass,647.445981,743.4865706,160.6361823,213.6906608,0.080714581,0.01281271,3,3
spin.us,N,totalbiomass,1097.678571,749.7053398,680.5836227,490.4340274,4.334801115,0.07812468,3,3
spin.us,P,totalbiomass,1097.678571,807.8672205,680.5836227,105.4491373,4.334801115,0.548545998,3,3
spin.us,NP,totalbiomass,1097.678571,1187.005126,680.5836227,294.6585231,4.334801115,0.271557729,3,3
summ.za,N,totalbiomass,1712.561314,1916.743594,503.1811668,773.7072486,1.27037103,0.412774086,3,3
summ.za,P,totalbiomass,1712.561314,1631.894493,503.1811668,638.8964689,1.27037103,1.981055184,3,3
summ.za,NP,totalbiomass,1712.561314,1510.150105,503.1811668,60.3576312,1.27037103,0.499801309,3,3
trel.us,N,totalbiomass,1722.982531,1474.602681,223.142404,489.0109866,0.026816574,0.030295446,3,3
trel.us,P,totalbiomass,1722.982531,1455.771923,223.142404,214.176168,0.026816574,0.008911048,3,3
trel.us,NP,totalbiomass,1722.982531,1909.349967,223.142404,284.0832808,0.026816574,0.006409863,3,3
ukul.za,N,totalbiomass,1038.021648,932.2469131,346.0764174,426.7308947,0.087565027,0.130788342,6,3
ukul.za,P,totalbiomass,1038.021648,1528.538534,346.0764174,388.2363481,0.087565027,0.051772628,6,3
ukul.za,NP,totalbiomass,1038.021648,2184.686715,346.0764174,578.2443904,0.087565027,0.03372002,6,3
unc.us,N,totalbiomass,672.8184089,533.8930271,477.4769358,190.7813166,0.251197921,0.029897274,3,3
unc.us,P,totalbiomass,672.8184089,1103.260661,477.4769358,527.7890493,0.251197921,0.077104408,3,3
unc.us,NP,totalbiomass,672.8184089,1046.149628,477.4769358,339.7071918,0.251197921,0.172717135,3,3
valm.ch,N,totalbiomass,673.0693422,750.3740493,231.3357019,251.9029348,0.366082669,0.779617968,3,3
valm.ch,P,totalbiomass,673.0693422,953.4999766,231.3357019,90.56262393,0.366082669,0.908380212,3,3
valm.ch,NP,totalbiomass,673.0693422,1708.831149,231.3357019,320.7453279,0.366082669,0.763428967,3,3
