site_code,treatment_name,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
look.us,NP,bgb,988.1926351,569.2799533,531.2015367,629.9559756,306.6893502,363.7052521,3,3
mtca.au,N,bgb,122.4705752,97.30021452,101.4026879,17.75507766,58.54486917,10.25089887,3,3
mtca.au,P,bgb,122.4705752,205.3302073,101.4026879,113.420986,58.54486917,65.48363679,3,3
mtca.au,NP,bgb,122.4705752,251.677387,101.4026879,197.8603617,58.54486917,114.2347331,3,3
sage.us,N,bgb,174.0039395,198.4770301,145.7513528,154.4859043,84.14958279,89.19247841,3,3
sage.us,P,bgb,174.0039395,203.6308878,145.7513528,140.1864372,84.14958279,80.93667726,3,3
sage.us,NP,bgb,174.0039395,170.1279565,145.7513528,122.5141506,84.14958279,70.73357785,3,3
saline.us,N,bgb,299.4361612,201.15017,192.9896005,85.47828335,111.4225978,49.3509099,3,3
saline.us,P,bgb,299.4361612,237.8062507,192.9896005,129.2073698,111.4225978,74.59790972,3,3
saline.us,NP,bgb,299.4361612,177.2525132,192.9896005,117.0170728,111.4225978,67.5598385,3,3
sgs.us,N,bgb,404.6626291,385.9871292,221.0438521,55.42794588,127.6197275,32.00133947,3,3
sgs.us,P,bgb,404.6626291,614.9064496,221.0438521,32.63846422,127.6197275,18.8438261,3,3
sgs.us,NP,bgb,404.6626291,1165.01654,221.0438521,1505.129718,127.6197275,868.9870477,3,3
shps.us,N,bgb,349.1902641,496.3325881,100.87576,84.73147812,58.24064719,48.9197417,3,3
shps.us,P,bgb,349.1902641,409.8263543,100.87576,79.96746583,58.24064719,46.16923792,3,3
shps.us,NP,bgb,349.1902641,496.0534996,100.87576,226.7946617,58.24064719,130.939959,3,3
sier.us,N,bgb,59.6806346,50.90068426,32.18154535,34.06225132,18.58002387,19.66584997,3,3
sier.us,P,bgb,59.6806346,35.77607803,32.18154535,17.57749305,18.58002387,10.14837035,3,3
sier.us,NP,bgb,59.6806346,47.560386,32.18154535,35.21951295,18.58002387,20.33399528,3,3
smith.us,N,bgb,321.8846477,260.5024728,55.20103416,70.61288022,31.87033193,40.7683654,3,3
smith.us,P,bgb,321.8846477,270.0636784,55.20103416,85.67038348,31.87033193,49.46181896,3,3
smith.us,NP,bgb,321.8846477,211.665571,55.20103416,54.62254434,31.87033193,31.53634068,3,3
spin.us,N,bgb,859.2452379,249.972006,790.7555103,200.3114746,456.5429067,115.6498838,3,3
spin.us,P,bgb,859.2452379,459.0672207,790.7555103,56.92160423,456.5429067,32.86370352,3,3
spin.us,NP,bgb,859.2452379,646.3384592,790.7555103,252.4563259,456.5429067,145.7557277,3,3
summ.za,N,bgb,1379.40298,1457.218594,515.9782945,658.6946819,297.9002072,380.2975519,3,3
summ.za,P,bgb,1379.40298,1245.469492,515.9782945,768.7735113,297.9002072,443.8515937,3,3
summ.za,NP,bgb,1379.40298,1037.775105,515.9782945,146.4296057,297.9002072,84.54117224,3,3
trel.us,N,bgb,113.9825298,137.7693472,61.60690305,109.1862285,35.56876206,63.03869841,3,3
trel.us,P,bgb,113.9825298,102.2719217,61.60690305,7.842140988,35.56876206,4.52766221,3,3
trel.us,NP,bgb,113.9825298,65.6832921,61.60690305,27.11551028,35.56876206,15.65514716,3,3
ukul.za,N,bgb,263.5883148,209.7635803,177.9778956,174.761131,72.65917164,100.898386,6,3
ukul.za,P,bgb,263.5883148,164.9885272,177.9778956,142.1582997,72.65917164,82.07513258,6,3
ukul.za,NP,bgb,263.5883148,203.2367082,177.9778956,150.6770638,72.65917164,86.99344332,6,3
unc.us,N,bgb,355.7427422,130.5628594,324.2930963,37.68929585,187.2307064,21.7599251,3,3
unc.us,P,bgb,355.7427422,120.3263243,324.2930963,28.47722474,187.2307064,16.44133337,3,3
unc.us,NP,bgb,355.7427422,250.0961292,324.2930963,146.9870059,187.2307064,84.86298741,3,3
valm.ch,N,bgb,466.0026755,585.6073828,179.631177,235.3628669,103.7101084,135.8868146,3,3
valm.ch,P,bgb,466.0026755,775.5499765,179.631177,55.75145086,103.7101084,32.18811516,3,3
valm.ch,NP,bgb,466.0026755,1510.931149,179.631177,313.9479779,103.7101084,181.2579496,3,3
bldr.us,N,rmf,0.454713557,0.53229162,0.399977795,0.250664645,0.282827012,0.177246671,2,2
bldr.us,P,rmf,0.454713557,0.589640546,0.399977795,0.253097425,0.282827012,0.178966906,2,2
bldr.us,NP,rmf,0.454713557,0.270257428,0.399977795,0.025907617,0.282827012,0.018319452,2,2
bnch.us,N,rmf,0.900140655,0.87074705,0.009847249,0.051046793,0.005685312,0.02947188,3,3
bnch.us,P,rmf,0.900140655,0.836654494,0.009847249,0.036971848,0.005685312,0.021345707,3,3
bnch.us,NP,rmf,0.900140655,0.843787828,0.009847249,0.023990662,0.005685312,0.013851015,3,3
bogong.au,N,rmf,0.372166657,0.457713185,0.028958297,0.040719086,0.016719081,0.023509175,3,3
bogong.au,P,rmf,0.372166657,0.369722472,0.028958297,0.061392446,0.016719081,0.035444945,3,3
bogong.au,NP,rmf,0.372166657,0.380042551,0.028958297,0.12096156,0.016719081,0.069837189,3,3
burrawan.au,N,rmf,0.428675218,0.226893641,0.012717256,0.079580507,0.007342311,0.045945827,3,3
burrawan.au,P,rmf,0.428675218,0.270873448,0.012717256,0.213041839,0.007342311,0.122999763,3,3
burrawan.au,NP,rmf,0.428675218,0.516102911,0.012717256,0.208299868,0.007342311,0.120261985,3,3
cbgb.us,N,rmf,0.270987725,0.283463898,0.094028859,0.142051813,0.038387121,0.05799241,6,6
