citation,site,latitude,longitude,elevation,mat_c,map_mm,ecosystem_type,experiment_type,trait,species,treatment,x_c,sd_c,rep_c
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_p_mass,cryptocarya_chinensis,control,0.05,0.02,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_p_mass,gironniera_subaequalis,control,0.06,0.02,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_p_mass,hancea_hookeriana,control,0.05,0.03,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_p_mass,nephelium_lappaceum,control,0.06,0.02,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_p_mass,psychotria_asiatica,control,0.05,0.02,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_p_mass,rhapis_excelsa,control,0.06,0.02,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_pnue,ampelocalamus_actinotrichus,control,0.808,0.192,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_pnue,calamus_tetradactyloides,control,0.399,0.026,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_pnue,cryptocarya_chinensis,control,1.155,0.096,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_pnue,gironniera_subaequalis,control,0.86,0.166,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_pnue,hancea_hookeriana,control,0.922,0.074,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_pnue,nephelium_lappaceum,control,0.945,0.175,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_pnue,psychotria_asiatica,control,1.618,0.374,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_pnue,rhapis_excelsa,control,0.406,0.155,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_ppue,ampelocalamus_actinotrichus,control,38.683,5.199,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_ppue,calamus_tetradactyloides,control,21.192,1.986,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_ppue,cryptocarya_chinensis,control,76.615,6.617,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_ppue,gironniera_subaequalis,control,63.842,13.084,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_ppue,hancea_hookeriana,control,49.866,15.26,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_ppue,nephelium_lappaceum,control,48.978,17.491,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_ppue,psychotria_asiatica,control,61.367,7.622,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_ppue,rhapis_excelsa,control,21.786,7.53,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_residual_p,ampelocalamus_actinotrichus,control,0.095,0.006,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_residual_p,calamus_tetradactyloides,control,0.138,0.009,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_residual_p,cryptocarya_chinensis,control,0.104,0.006,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_residual_p,hancea_hookeriana,control,0.11,0.016,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_residual_p,nephelium_lappaceum,control,0.093,0.009,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_residual_p,psychotria_asiatica,control,0.098,0.023,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_residual_p,rhapis_excelsa,control,0.133,0.017,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_structural_p,ampelocalamus_actinotrichus,control,0.338,0.091,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_structural_p,calamus_tetradactyloides,control,0.387,0.044,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_structural_p,cryptocarya_chinensis,control,0.496,0.045,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_structural_p,gironniera_subaequalis,control,0.351,0.03,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_structural_p,nephelium_lappaceum,control,0.445,0.086,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_structural_p,psychotria_asiatica,control,0.358,0.021,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_structural_p,rhapis_excelsa,control,0.484,0.007,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_wue,ampelocalamus_actinotrichus,control,40.183,27.557,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_wue,calamus_tetradactyloides,control,25.98,6.155,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_wue,cryptocarya_chinensis,control,59.247,20.173,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_wue,gironniera_subaequalis,control,45.921,15.773,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_wue,hancea_hookeriana,control,35.842,16.372,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_wue,nephelium_lappaceum,control,44.522,17.348,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_wue,psychotria_asiatica,control,59.101,8.576,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_wue,rhapis_excelsa,control,87.847,16.204,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,sla,ampelocalamus_actinotrichus,control,23.22,13.03,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,sla,calamus_tetradactyloides,control,17.11,1.96,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,sla,cryptocarya_chinensis,control,12.19,1.58,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,sla,gironniera_subaequalis,control,14.07,2.74,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,sla,hancea_hookeriana,control,16.29,1.91,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,sla,nephelium_lappaceum,control,14.9,1.52,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,sla,psychotria_asiatica,control,16.82,5.96,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,sla,rhapis_excelsa,control,15.27,1.49,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,asat,ampelocalamus_actinotrichus,control,0.469,0.077,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,asat,blastus_cochinchinensis,control,0.944,0.163,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,asat,calamus_tetradactyloides,control,1.368,0.32,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,asat,cryptocarya_chinensis,control,1.655,0.294,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,asat,gironniera_subaequalis,control,2.604,0.249,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,asat,nephelium_lappaceum,control,1.85,1.065,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,asat,psychotria_asiatica,control,2.128,0.099,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,asat,rhapis_excelsa,control,1.002,0.083,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_metabolic_p,ampelocalamus_actinotrichus,control,0.193,0.062,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_metabolic_p,blastus_cochinchinensis,control,0.32,0.015,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_metabolic_p,calamus_tetradactyloides,control,0.129,0.066,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_metabolic_p,cryptocarya_chinensis,control,0.177,0.057,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_metabolic_p,gironniera_subaequalis,control,0.201,0.034,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_metabolic_p,nephelium_lappaceum,control,0.182,0.053,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_metabolic_p,psychotria_asiatica,control,0.267,0.038,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_metabolic_p,rhapis_excelsa,control,0.18,0.042,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_n_mass,ampelocalamus_actinotrichus,control,2.86,0.48,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_n_mass,blastus_cochinchinensis,control,2.53,0.69,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_n_mass,calamus_tetradactyloides,control,3.25,0.48,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_n_mass,cryptocarya_chinensis,control,3.19,0.36,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_n_mass,gironniera_subaequalis,control,4.28,0.21,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_n_mass,nephelium_lappaceum,control,3.44,0.73,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_n_mass,psychotria_asiatica,control,2.28,0.78,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_n_mass,rhapis_excelsa,control,2.86,0.95,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_np,ampelocalamus_actinotrichus,control,51.33,11.78,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_np,blastus_cochinchinensis,control,49.18,7.14,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_np,calamus_tetradactyloides,control,54.06,18.05,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_np,cryptocarya_chinensis,control,75.81,8.87,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_np,gironniera_subaequalis,control,69.51,24.66,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_np,nephelium_lappaceum,control,59.92,25.31,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_np,psychotria_asiatica,control,50.46,10.6,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_np,rhapis_excelsa,control,62.25,13.87,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_nucleic_p,ampelocalamus_actinotrichus,control,0.376,0.021,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_nucleic_p,blastus_cochinchinensis,control,0.294,0.009,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_nucleic_p,calamus_tetradactyloides,control,0.319,0.059,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_nucleic_p,cryptocarya_chinensis,control,0.242,0.025,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_nucleic_p,gironniera_subaequalis,control,0.343,0.01,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_nucleic_p,nephelium_lappaceum,control,0.263,0.043,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_nucleic_p,psychotria_asiatica,control,0.284,0.015,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_nucleic_p,rhapis_excelsa,control,0.309,0.017,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_p_mass,ampelocalamus_actinotrichus,control,0.06,0.02,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_p_mass,blastus_cochinchinensis,control,0.05,0.02,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_p_mass,calamus_tetradactyloides,control,0.06,0.02,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_p_mass,cryptocarya_chinensis,control,0.04,0.02,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_p_mass,gironniera_subaequalis,control,0.06,0.02,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_p_mass,nephelium_lappaceum,control,0.06,0.03,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_p_mass,psychotria_asiatica,control,0.05,0.02,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_p_mass,rhapis_excelsa,control,0.05,0.02,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_pnue,ampelocalamus_actinotrichus,control,0.162,0.038,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_pnue,blastus_cochinchinensis,control,0.576,0.047,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_pnue,calamus_tetradactyloides,control,0.421,0.119,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_pnue,cryptocarya_chinensis,control,0.552,0.064,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_pnue,nephelium_lappaceum,control,0.571,0.401,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_pnue,psychotria_asiatica,control,0.984,0.187,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_pnue,rhapis_excelsa,control,0.361,0.064,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_ppue,ampelocalamus_actinotrichus,control,8.065,1.509,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_ppue,blastus_cochinchinensis,control,41.768,0.515,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_ppue,calamus_tetradactyloides,control,22.839,3.745,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_ppue,cryptocarya_chinensis,control,39.826,6.697,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_ppue,gironniera_subaequalis,control,40.278,8.031,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_ppue,nephelium_lappaceum,control,37.059,31.674,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_ppue,psychotria_asiatica,control,47.837,5.056,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_ppue,rhapis_excelsa,control,21.92,1.482,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_residual_p,ampelocalamus_actinotrichus,control,0.113,0.006,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_residual_p,calamus_tetradactyloides,control,0.22,0.072,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_residual_p,cryptocarya_chinensis,control,0.116,0.027,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_residual_p,gironniera_subaequalis,control,0.139,0.019,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_residual_p,nephelium_lappaceum,control,0.113,0.018,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_residual_p,psychotria_asiatica,control,0.123,0.009,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_residual_p,rhapis_excelsa,control,0.148,0.022,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_structural_p,ampelocalamus_actinotrichus,control,0.326,0.046,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_structural_p,blastus_cochinchinensis,control,0.305,0.03,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_structural_p,calamus_tetradactyloides,control,0.316,0.025,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_structural_p,cryptocarya_chinensis,control,0.442,0.067,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_structural_p,gironniera_subaequalis,control,0.319,0.042,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_structural_p,nephelium_lappaceum,control,0.418,0.078,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_structural_p,psychotria_asiatica,control,0.323,0.019,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_structural_p,rhapis_excelsa,control,0.357,0.066,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_wue,ampelocalamus_actinotrichus,control,20.803,11.833,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_wue,blastus_cochinchinensis,control,75.533,21.008,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_wue,cryptocarya_chinensis,control,115.284,54.404,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_wue,gironniera_subaequalis,control,70.604,17.075,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_wue,nephelium_lappaceum,control,84.329,14.981,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_wue,psychotria_asiatica,control,120.043,11.125,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,leaf_wue,rhapis_excelsa,control,133.245,15.604,9
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,sla,ampelocalamus_actinotrichus,control,23.5,5.61,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,sla,blastus_cochinchinensis,control,22.88,8.83,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,sla,calamus_tetradactyloides,control,13.6,3.88,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,sla,cryptocarya_chinensis,control,12.19,1.58,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,sla,gironniera_subaequalis,control,13.24,3.71,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,sla,nephelium_lappaceum,control,14.53,4.23,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,sla,psychotria_asiatica,control,12.81,4.21,3
yu_et_al_2022,secondary_fnp,18.74166667,108.8583333,880,19.7,2198,forest,field,sla,rhapis_excelsa,control,13.14,2.51,3
