Site_name,trt,Tree_species,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
Bombuscaro,NP,pouteria_torta,narea,0.830493688,0.9332904,0.064849785,0.08922415,0.032424892,0.044612075,4,4
Bombuscaro,N,clarisia_racemosa,pmass,1.105405979,1.636634434,0.044729093,0.342679148,0.022364546,0.171339574,4,4
Bombuscaro,P,clarisia_racemosa,pmass,1.105405979,1.449375427,0.044729093,0.378992064,0.022364546,0.189496032,4,4
Bombuscaro,NP,clarisia_racemosa,pmass,1.105405979,1.865514567,0.044729093,0.417208349,0.022364546,0.208604174,4,4
Bombuscaro,N,pouteria_torta,pmass,0.921832188,0.88382781,0.083890401,0.071965192,0.041945201,0.041549123,4,3
Bombuscaro,P,pouteria_torta,pmass,0.921832188,1.011362581,0.083890401,0.187155157,0.041945201,0.093577578,4,4
Bombuscaro,NP,pouteria_torta,pmass,0.921832188,0.705097327,0.083890401,0.088107276,0.041945201,0.044053638,4,4
Bombuscaro,N,clarisia_racemosa,parea,0.042597109,0.063195345,0.006095968,0.025151044,0.003047984,0.012575522,4,4
Bombuscaro,P,clarisia_racemosa,parea,0.042597109,0.058296399,0.006095968,0.015439985,0.003047984,0.007719993,4,4
Bombuscaro,NP,clarisia_racemosa,parea,0.042597109,0.063959442,0.006095968,0.019469204,0.003047984,0.009734602,4,4
Bombuscaro,N,pouteria_torta,parea,0.037730574,0.040073884,0.001766919,0.0024042,0.000883459,0.001388066,4,3
Bombuscaro,P,pouteria_torta,parea,0.037730574,0.054709129,0.001766919,0.019767983,0.000883459,0.009883991,4,4
Bombuscaro,NP,pouteria_torta,parea,0.037730574,0.031326406,0.001766919,0.003613994,0.000883459,0.001806997,4,4
Bombuscaro,N,clarisia_racemosa,leafnp,25.12558378,19.89864697,2.035489654,3.493590156,1.017744827,1.746795078,4,4
Bombuscaro,P,clarisia_racemosa,leafnp,25.12558378,20.14208833,2.035489654,5.253832742,1.017744827,2.626916371,4,4
Bombuscaro,NP,clarisia_racemosa,leafnp,25.12558378,18.75587379,2.035489654,2.870511982,1.017744827,1.435255991,4,4
Bombuscaro,N,pouteria_torta,leafnp,22.04842464,23.33437659,0.8263553,0.317727412,0.41317765,0.183440007,4,3
Bombuscaro,P,pouteria_torta,leafnp,22.04842464,21.62247968,0.8263553,1.88829963,0.41317765,0.944149815,4,4
Bombuscaro,NP,pouteria_torta,leafnp,22.04842464,30.44970664,0.8263553,4.078986477,0.41317765,2.039493239,4,4
Cajanuma,N,graffenrieda_harlingii,agb,0.61875,0.719333333,0.301134937,0.23413956,0.150567468,0.135180538,4,3
Cajanuma,P,graffenrieda_harlingii,agb,0.61875,0.78,0.301134937,0.29361653,0.150567468,0.146808265,4,4
Cajanuma,NP,graffenrieda_harlingii,agb,0.61875,0.528,0.301134937,0.222189109,0.150567468,0.111094554,4,4
Cajanuma,N,hedyosmum_purpuracens,agb,0.9045,0.606,0.41830571,0.196489185,0.209152855,0.113443084,4,3
Cajanuma,P,hedyosmum_purpuracens,agb,0.9045,0.484,0.41830571,0.139818931,0.209152855,0.069909465,4,4
Cajanuma,NP,hedyosmum_purpuracens,agb,0.9045,0.566666667,0.41830571,0.142945211,0.209152855,0.082529456,4,3
Cajanuma,N,graffenrieda_harlingii,bgb,0.679388889,0.334666667,0.377385021,0.117886951,0.217883343,0.068062063,3,3
Cajanuma,P,graffenrieda_harlingii,bgb,0.679388889,0.48275,0.377385021,0.209350384,0.217883343,0.104675192,3,4
Cajanuma,NP,graffenrieda_harlingii,bgb,0.679388889,0.318166667,0.377385021,0.135138201,0.217883343,0.0675691,3,4
Cajanuma,N,hedyosmum_purpuracens,bgb,0.382,0.378611111,0.206630104,0.073947867,0.103315052,0.042693821,4,3
Cajanuma,P,hedyosmum_purpuracens,bgb,0.382,0.176,0.206630104,0.096656704,0.103315052,0.048328352,4,4
Cajanuma,NP,hedyosmum_purpuracens,bgb,0.382,0.246944444,0.206630104,0.13939934,0.103315052,0.080482246,4,3
Cajanuma,N,graffenrieda_harlingii,rootshoot,1.593406426,0.435748051,0.557052291,0.062639895,0.32161429,0.03616516,3,3
Cajanuma,P,graffenrieda_harlingii,rootshoot,1.593406426,0.601564926,0.557052291,0.060014774,0.32161429,0.030007387,3,4
Cajanuma,NP,graffenrieda_harlingii,rootshoot,1.593406426,0.797913716,0.557052291,0.686229111,0.32161429,0.343114556,3,4
Cajanuma,N,hedyosmum_purpuracens,rootshoot,0.427738943,0.63426776,0.280789729,0.142585891,0.140394865,0.082322002,4,3
Cajanuma,P,hedyosmum_purpuracens,rootshoot,0.427738943,0.427916087,0.280789729,0.121758113,0.140394865,0.060879057,4,4
Cajanuma,NP,hedyosmum_purpuracens,rootshoot,0.427738943,0.513305092,0.280789729,0.113834515,0.140394865,0.065722388,4,3
Cajanuma,N,graffenrieda_harlingii,rmf,0.51971535,0.292950857,0.042053592,0.030606041,0.024279653,0.017670406,3,3
Cajanuma,P,graffenrieda_harlingii,rmf,0.51971535,0.365494557,0.042053592,0.022943391,0.024279653,0.011471696,3,4
Cajanuma,NP,graffenrieda_harlingii,rmf,0.51971535,0.36364756,0.042053592,0.160020445,0.024279653,0.080010223,3,4
Cajanuma,N,hedyosmum_purpuracens,rmf,0.26797341,0.367672614,0.097819928,0.060130299,0.048909964,0.034716244,4,3
Cajanuma,P,hedyosmum_purpuracens,rmf,0.26797341,0.276253631,0.097819928,0.04727716,0.048909964,0.02363858,4,4
Cajanuma,NP,hedyosmum_purpuracens,rmf,0.26797341,0.315084993,0.097819928,0.034092271,0.048909964,0.019683182,4,3
Cajanuma,N,graffenrieda_harlingii,sla,204.586375,233.3433333,17.88828395,29.65911734,8.944141973,17.12369938,4,3
Cajanuma,P,graffenrieda_harlingii,sla,204.586375,214.1475,17.88828395,39.25201615,8.944141973,19.62600807,4,4
Cajanuma,NP,graffenrieda_harlingii,sla,204.586375,238.0805833,17.88828395,42.58409149,8.944141973,21.29204574,4,4
Cajanuma,N,hedyosmum_purpuracens,sla,185.398,203.2043333,53.05957819,22.09229717,26.52978909,12.75499372,4,3
Cajanuma,P,hedyosmum_purpuracens,sla,185.398,213.6195,53.05957819,34.09219427,26.52978909,17.04609714,4,4
Cajanuma,NP,hedyosmum_purpuracens,sla,185.398,218.0296667,53.05957819,14.0912908,26.52978909,8.135610535,4,3
Cajanuma,N,graffenrieda_harlingii,lma,52.30687608,49.02385171,3.72126042,6.274876945,1.86063021,3.622801894,4,3
Cajanuma,P,graffenrieda_harlingii,lma,52.30687608,50.33115384,3.72126042,11.34455566,1.86063021,5.672277831,4,4
Cajanuma,NP,graffenrieda_harlingii,lma,52.30687608,45.83708741,3.72126042,9.290948787,1.86063021,4.645474394,4,4
Cajanuma,N,hedyosmum_purpuracens,lma,58.57103101,50.52714103,12.97053346,5.696285594,6.485266732,3.288752021,4,3
Cajanuma,P,hedyosmum_purpuracens,lma,58.57103101,49.07066453,12.97053346,6.619801002,6.485266732,3.309900501,4,4
Cajanuma,NP,hedyosmum_purpuracens,lma,58.57103101,47.42106834,12.97053346,3.575508468,6.485266732,2.064320776,4,3
Cajanuma,N,graffenrieda_harlingii,nmass,11.78670313,14.15435667,1.027982767,3.620619455,0.513991384,2.090365617,4,3
Cajanuma,P,graffenrieda_harlingii,nmass,11.78670313,12.2842495,1.027982767,1.172711777,0.513991384,0.586355888,4,4
Cajanuma,NP,graffenrieda_harlingii,nmass,11.78670313,15.7876295,1.027982767,1.904053049,0.513991384,0.952026524,4,4
Cajanuma,N,hedyosmum_purpuracens,nmass,14.0482955,14.65830733,3.171364301,1.675922539,1.585682151,0.967594329,4,3
Cajanuma,P,hedyosmum_purpuracens,nmass,14.0482955,14.021823,3.171364301,1.783155572,1.585682151,0.891577786,4,4
Cajanuma,NP,hedyosmum_purpuracens,nmass,14.0482955,17.24935533,3.171364301,2.468693242,1.585682151,1.425300708,4,3
Cajanuma,N,graffenrieda_harlingii,narea,0.603069204,0.668917235,0.01944962,0.096246294,0.00972481,0.055567824,4,3
Cajanuma,P,graffenrieda_harlingii,narea,0.603069204,0.59889817,0.01944962,0.075756362,0.00972481,0.037878181,4,4
Cajanuma,NP,graffenrieda_harlingii,narea,0.603069204,0.699487975,0.01944962,0.162215431,0.00972481,0.081107716,4,4
Cajanuma,N,hedyosmum_purpuracens,narea,0.797033726,0.731995819,0.019677012,0.063256293,0.009838506,0.036521038,4,3
Cajanuma,P,hedyosmum_purpuracens,narea,0.797033726,0.674191782,0.019677012,0.033971127,0.009838506,0.016985563,4,4
Cajanuma,NP,hedyosmum_purpuracens,narea,0.797033726,0.827701236,0.019677012,0.197559483,0.009838506,0.11406102,4,3
Cajanuma,N,graffenrieda_harlingii,pmass,0.542935218,0.593452537,0.054006303,0.138576812,0.027003151,0.08000736,4,3
Cajanuma,P,graffenrieda_harlingii,pmass,0.542935218,1.781657869,0.054006303,0.700631439,0.027003151,0.350315719,4,4
Cajanuma,NP,graffenrieda_harlingii,pmass,0.542935218,0.913184641,0.054006303,0.288609789,0.027003151,0.144304894,4,4
Cajanuma,N,hedyosmum_purpuracens,pmass,0.689913049,0.763379249,0.235681564,0.119387402,0.117840782,0.068928349,4,3
Cajanuma,P,hedyosmum_purpuracens,pmass,0.689913049,1.241788849,0.235681564,0.497043925,0.117840782,0.248521962,4,4
Cajanuma,NP,hedyosmum_purpuracens,pmass,0.689913049,1.098630688,0.235681564,0.387202938,0.117840782,0.22355172,4,3
Cajanuma,N,graffenrieda_harlingii,parea,0.027543842,0.027620004,0.001838529,0.004206331,0.000919264,0.002428526,4,3
Cajanuma,P,graffenrieda_harlingii,parea,0.027543842,0.097682355,0.001838529,0.062688842,0.000919264,0.031344421,4,4
Cajanuma,NP,graffenrieda_harlingii,parea,0.027543842,0.041956826,0.001838529,0.022290746,0.000919264,0.011145373,4,4
Cajanuma,N,hedyosmum_purpuracens,parea,0.038443981,0.038453626,0.004301358,0.006090727,0.002150679,0.003516483,4,3
Cajanuma,P,hedyosmum_purpuracens,parea,0.038443981,0.057592397,0.004301358,0.015783334,0.002150679,0.007891667,4,4
Cajanuma,NP,hedyosmum_purpuracens,parea,0.038443981,0.053439968,0.004301358,0.024402427,0.002150679,0.014088748,4,3
Cajanuma,N,graffenrieda_harlingii,leafnp,22.07945692,24.04407506,0.827125079,2.900363002,0.413562539,1.67452536,4,3
Cajanuma,P,graffenrieda_harlingii,leafnp,22.07945692,10.53841993,0.827125079,3.747450688,0.413562539,1.873725344,4,4
Cajanuma,NP,graffenrieda_harlingii,leafnp,22.07945692,19.46441435,0.827125079,4.84367399,0.413562539,2.421836995,4,4
Cajanuma,N,hedyosmum_purpuracens,leafnp,21.00448994,19.51526958,2.416463437,1.275619247,1.208231718,0.736479116,4,3
Cajanuma,P,hedyosmum_purpuracens,leafnp,21.00448994,13.39738145,2.416463437,3.357971574,1.208231718,1.678985787,4,4
Cajanuma,NP,hedyosmum_purpuracens,leafnp,21.00448994,16.52448986,2.416463437,3.06182802,1.208231718,1.767747232,4,3
San Francisco,N,graffenrieda_emarginata,agb,0.687,0.789,0.358818431,0.366262201,0.179409216,0.183131101,4,4
San Francisco,P,graffenrieda_emarginata,agb,0.687,0.907,0.358818431,0.414167438,0.179409216,0.207083719,4,4
San Francisco,NP,graffenrieda_emarginata,agb,0.687,0.8335,0.358818431,0.52909325,0.179409216,0.264546625,4,4
San Francisco,N,palicourea_angustifolia,agb,0.2055,0.3045,0.06483569,0.169622129,0.032417845,0.084811065,4,4
San Francisco,P,palicourea_angustifolia,agb,0.2055,0.343375,0.06483569,0.067093685,0.032417845,0.033546842,4,4
San Francisco,NP,palicourea_angustifolia,agb,0.2055,0.1755,0.06483569,0.042027769,0.032417845,0.021013884,4,4
San Francisco,N,graffenrieda_emarginata,bgb,0.482291667,0.320875,0.482791543,0.177908392,0.241395771,0.088954196,4,4
San Francisco,P,graffenrieda_emarginata,bgb,0.482291667,0.38975,0.482791543,0.239750391,0.241395771,0.119875196,4,4
San Francisco,NP,graffenrieda_emarginata,bgb,0.482291667,0.335541667,0.482791543,0.292392537,0.241395771,0.146196269,4,4
San Francisco,N,palicourea_angustifolia,bgb,0.125111111,0.111,0.057198809,0.085949598,0.033023748,0.042974799,3,4
San Francisco,P,palicourea_angustifolia,bgb,0.125111111,0.173916667,0.057198809,0.074628152,0.033023748,0.037314076,3,4
San Francisco,NP,palicourea_angustifolia,bgb,0.125111111,0.085,0.057198809,0.030889588,0.033023748,0.015444794,3,4
San Francisco,N,graffenrieda_emarginata,rootshoot,0.464390996,0.36207667,0.289667056,0.124040888,0.144833528,0.062020444,4,4
San Francisco,P,graffenrieda_emarginata,rootshoot,0.464390996,0.394491391,0.289667056,0.136218926,0.144833528,0.068109463,4,4
San Francisco,NP,graffenrieda_emarginata,rootshoot,0.464390996,0.337153956,0.289667056,0.085973201,0.144833528,0.0429866,4,4
San Francisco,N,palicourea_angustifolia,rootshoot,0.623716224,0.398744259,0.058067256,0.027591486,0.033525146,0.013795743,3,4
San Francisco,P,palicourea_angustifolia,rootshoot,0.623716224,0.66153618,0.058067256,0.215088007,0.033525146,0.107544004,3,4
San Francisco,NP,palicourea_angustifolia,rootshoot,0.623716224,0.50955922,0.058067256,0.086298682,0.033525146,0.043149341,3,4
San Francisco,N,graffenrieda_emarginata,rmf,0.274016382,0.257259865,0.113821005,0.067392829,0.056910503,0.033696415,4,4
San Francisco,P,graffenrieda_emarginata,rmf,0.274016382,0.273536019,0.113821005,0.063787104,0.056910503,0.031893552,4,4
San Francisco,NP,graffenrieda_emarginata,rmf,0.274016382,0.237431824,0.113821005,0.039715505,0.056910503,0.019857752,4,4
San Francisco,N,palicourea_angustifolia,rmf,0.37251345,0.281503801,0.023588768,0.014744529,0.013618982,0.007372265,3,4
San Francisco,P,palicourea_angustifolia,rmf,0.37251345,0.373616106,0.023588768,0.08533857,0.013618982,0.042669285,3,4
San Francisco,NP,palicourea_angustifolia,rmf,0.37251345,0.332968657,0.023588768,0.03717098,0.013618982,0.01858549,3,4
San Francisco,N,graffenrieda_emarginata,sla,215.794,222.8545,40.28865048,36.15183504,20.14432524,18.07591752,4,4
San Francisco,P,graffenrieda_emarginata,sla,215.794,237.208,40.28865048,19.45393993,20.14432524,9.726969963,4,4
San Francisco,NP,graffenrieda_emarginata,sla,215.794,234.289,40.28865048,20.96252819,20.14432524,10.48126409,4,4
San Francisco,N,palicourea_angustifolia,sla,283.8205,295.1755,31.08295123,43.672177,15.54147561,21.8360885,4,4
San Francisco,P,palicourea_angustifolia,sla,283.8205,260.731625,31.08295123,11.0719101,15.54147561,5.535955049,4,4
San Francisco,NP,palicourea_angustifolia,sla,283.8205,355.658,31.08295123,58.82079988,15.54147561,29.41039994,4,4
San Francisco,N,graffenrieda_emarginata,lma,49.00753551,70.71759165,11.35560244,51.2856889,5.677801221,25.64284445,4,4
San Francisco,P,graffenrieda_emarginata,lma,49.00753551,44.3854148,11.35560244,4.170412829,5.677801221,2.085206415,4,4
San Francisco,NP,graffenrieda_emarginata,lma,49.00753551,44.63468947,11.35560244,4.865924449,5.677801221,2.432962225,4,4
San Francisco,N,palicourea_angustifolia,lma,36.44083446,35.18893999,4.030880276,5.018506608,2.015440138,2.509253304,4,4
San Francisco,P,palicourea_angustifolia,lma,36.44083446,45.02017464,4.030880276,12.592445,2.015440138,6.296222502,4,4
San Francisco,NP,palicourea_angustifolia,lma,36.44083446,36.32429784,4.030880276,10.81757984,2.015440138,5.408789922,4,4
San Francisco,N,graffenrieda_emarginata,nmass,11.625166,14.803954,1.148028808,0.641941967,0.574014404,0.320970984,4,4
San Francisco,P,graffenrieda_emarginata,nmass,11.625166,12.725496,1.148028808,0.329423027,0.574014404,0.164711513,4,4
San Francisco,NP,graffenrieda_emarginata,nmass,11.625166,14.248484,1.148028808,1.14791894,0.574014404,0.57395947,4,4
San Francisco,N,palicourea_angustifolia,nmass,20.0405535,22.68912588,0.41746264,0.478125762,0.20873132,0.239062881,4,4
San Francisco,P,palicourea_angustifolia,nmass,20.0405535,18.84095613,0.41746264,1.500170899,0.20873132,0.750085449,4,4
San Francisco,NP,palicourea_angustifolia,nmass,20.0405535,20.6311215,0.41746264,0.744217065,0.20873132,0.372108532,4,4
San Francisco,N,graffenrieda_emarginata,narea,0.558770772,1.087562452,0.078785468,0.861414596,0.039392734,0.430707298,4,4
San Francisco,P,graffenrieda_emarginata,narea,0.558770772,0.55794377,0.078785468,0.047523322,0.039392734,0.023761661,4,4
San Francisco,NP,graffenrieda_emarginata,narea,0.558770772,0.629843001,0.078785468,0.045842537,0.039392734,0.022921268,4,4
San Francisco,N,palicourea_angustifolia,narea,0.726705213,0.798111428,0.07381383,0.094226556,0.036906915,0.047113278,4,4
San Francisco,P,palicourea_angustifolia,narea,0.726705213,0.84381226,0.07381383,0.259421868,0.036906915,0.129710934,4,4
San Francisco,NP,palicourea_angustifolia,narea,0.726705213,0.743678356,0.07381383,0.19947821,0.036906915,0.099739105,4,4
San Francisco,N,graffenrieda_emarginata,pmass,0.487408498,0.51267659,0.069952154,0.021841845,0.034976077,0.010920923,4,4
San Francisco,P,graffenrieda_emarginata,pmass,0.487408498,1.329417241,0.069952154,0.409807005,0.034976077,0.204903503,4,4
San Francisco,NP,graffenrieda_emarginata,pmass,0.487408498,0.967737882,0.069952154,0.178483637,0.034976077,0.089241818,4,4
San Francisco,N,palicourea_angustifolia,pmass,0.673293293,0.649638854,0.0879241,0.087962626,0.04396205,0.043981313,4,4
San Francisco,P,palicourea_angustifolia,pmass,0.673293293,0.925303239,0.0879241,0.280399303,0.04396205,0.140199651,4,4
San Francisco,NP,palicourea_angustifolia,pmass,0.673293293,0.696763563,0.0879241,0.12689445,0.04396205,0.063447225,4,4
San Francisco,N,graffenrieda_emarginata,parea,0.023374559,0.037605628,0.002361131,0.029265644,0.001180566,0.014632822,4,4
San Francisco,P,graffenrieda_emarginata,parea,0.023374559,0.061531665,0.002361131,0.029324243,0.001180566,0.014662121,4,4
San Francisco,NP,graffenrieda_emarginata,parea,0.023374559,0.043401775,0.002361131,0.01265593,0.001180566,0.006327965,4,4
San Francisco,N,palicourea_angustifolia,parea,0.024294677,0.0231919,0.002316558,0.005152239,0.001158279,0.002576119,4,4
San Francisco,P,palicourea_angustifolia,parea,0.024294677,0.040239494,0.002316558,0.01263879,0.001158279,0.006319395,4,4
San Francisco,NP,palicourea_angustifolia,parea,0.024294677,0.027603781,0.002316558,0.006819186,0.001158279,0.003409593,4,4
San Francisco,N,graffenrieda_emarginata,leafnp,24.05385739,29.14892064,1.131828355,2.156824685,0.565914178,1.078412342,4,4
San Francisco,P,graffenrieda_emarginata,leafnp,24.05385739,14.06592062,1.131828355,1.471165106,0.565914178,0.735582553,4,4
San Francisco,NP,graffenrieda_emarginata,leafnp,24.05385739,17.15859866,1.131828355,2.072145714,0.565914178,1.036072857,4,4
San Francisco,N,palicourea_angustifolia,leafnp,30.41848752,36.01610474,3.29282668,5.084375099,1.64641334,2.542187549,4,4
San Francisco,P,palicourea_angustifolia,leafnp,30.41848752,24.44983587,3.29282668,5.507800452,1.64641334,2.753900226,4,4
San Francisco,NP,palicourea_angustifolia,leafnp,30.41848752,31.40215055,3.29282668,4.480867657,1.64641334,2.240433828,4,4
