"site","variable","species","trt","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"primary","structuralP","gironniera_subaequalis","p",0.351,0.366,0.03,0.002,0.01,0.001,9,9
"primary","structuralP","gironniera_subaequalis","np",0.351,0.33,0.03,0.035,0.01,0.012,9,9
"primary","structuralP","calamus_tetradactyloides","n",0.387,0.324,0.044,0.03,0.015,0.01,9,9
"primary","structuralP","calamus_tetradactyloides","p",0.387,0.453,0.044,0.105,0.015,0.035,9,9
"primary","structuralP","calamus_tetradactyloides","np",0.387,0.435,0.044,0.056,0.015,0.019,9,9
"primary","structuralP","cryptocarya_chinensis","n",0.496,0.541,0.045,0.054,0.015,0.018,9,9
"primary","structuralP","cryptocarya_chinensis","p",0.496,0.537,0.045,0.039,0.015,0.013,9,9
"primary","structuralP","cryptocarya_chinensis","np",0.496,0.531,0.045,0.025,0.015,0.008,9,9
"primary","structuralP","psychotria_asiatica","n",0.358,0.343,0.021,0.003,0.007,0.001,9,9
"primary","structuralP","psychotria_asiatica","p",0.358,0.344,0.021,0.026,0.007,0.009,9,9
"primary","structuralP","psychotria_asiatica","np",0.358,0.346,0.021,0.057,0.007,0.019,9,9
"primary","structuralP","nephelium_lappaceum","n",0.445,0.509,0.086,0.04,0.029,0.013,9,9
"primary","structuralP","nephelium_lappaceum","p",0.445,0.489,0.086,0.091,0.029,0.03,9,9
"primary","structuralP","nephelium_lappaceum","np",0.445,0.509,0.086,0.02,0.029,0.007,9,9
"primary","structuralP","ampelocalamus_actinotrichus","n",0.338,0.296,0.091,0.034,0.03,0.011,9,9
"primary","structuralP","ampelocalamus_actinotrichus","p",0.338,0.394,0.091,0.089,0.03,0.03,9,9
"primary","structuralP","ampelocalamus_actinotrichus","np",0.338,0.365,0.091,0.109,0.03,0.036,9,9
"primary","structuralP","rhapis_excelsa","n",0.484,0.422,0.007,0.025,0.002,0.008,9,9
"primary","structuralP","rhapis_excelsa","p",0.484,0.508,0.007,0.083,0.002,0.028,9,9
"primary","structuralP","rhapis_excelsa","np",0.484,0.453,0.007,0.037,0.002,0.012,9,9
"primary","metabolicP","hancea_hookeriana","n",0.164,0.163,0.026,0.016,0.009,0.005,9,9
"primary","metabolicP","hancea_hookeriana","p",0.164,0.207,0.026,0.052,0.009,0.017,9,9
"primary","metabolicP","hancea_hookeriana","np",0.164,0.164,0.026,0.03,0.009,0.01,9,9
"primary","metabolicP","gironniera_subaequalis","n",0.203,0.239,0.044,0.015,0.015,0.005,9,9
"primary","metabolicP","gironniera_subaequalis","p",0.203,0.245,0.044,0.032,0.015,0.011,9,9
"primary","metabolicP","gironniera_subaequalis","np",0.203,0.247,0.044,0.034,0.015,0.011,9,9
"primary","metabolicP","calamus_tetradactyloides","n",0.134,0.116,0.045,0.01,0.015,0.003,9,9
"primary","metabolicP","calamus_tetradactyloides","p",0.134,0.16,0.045,0.045,0.015,0.015,9,9
"primary","metabolicP","calamus_tetradactyloides","np",0.134,0.162,0.045,0.024,0.015,0.008,9,9
"primary","metabolicP","cryptocarya_chinensis","n",0.183,0.133,0.046,0.003,0.015,0.001,9,9
"primary","metabolicP","cryptocarya_chinensis","p",0.183,0.195,0.046,0.014,0.015,0.005,9,9
"primary","metabolicP","cryptocarya_chinensis","np",0.183,0.185,0.046,0.013,0.015,0.004,9,9
"primary","metabolicP","psychotria_asiatica","n",0.29,0.278,0.057,0.016,0.019,0.005,9,9
"primary","metabolicP","psychotria_asiatica","p",0.29,0.319,0.057,0.005,0.019,0.002,9,9
"primary","metabolicP","psychotria_asiatica","np",0.29,0.312,0.057,0.05,0.019,0.017,9,9
"primary","metabolicP","nephelium_lappaceum","n",0.188,0.148,0.043,0.009,0.014,0.003,9,9
"primary","metabolicP","nephelium_lappaceum","p",0.188,0.177,0.043,0.005,0.014,0.002,9,9
"primary","metabolicP","nephelium_lappaceum","np",0.188,0.212,0.043,0.005,0.014,0.002,9,9
"primary","metabolicP","ampelocalamus_actinotrichus","n",0.181,0.22,0.025,0.016,0.008,0.005,9,9
"primary","metabolicP","ampelocalamus_actinotrichus","p",0.181,0.227,0.025,0.063,0.008,0.021,9,9
"primary","metabolicP","ampelocalamus_actinotrichus","np",0.181,0.208,0.025,0.027,0.008,0.009,9,9
"primary","metabolicP","rhapis_excelsa","n",0.112,0.135,0.024,0.024,0.008,0.008,9,9
"primary","metabolicP","rhapis_excelsa","p",0.112,0.121,0.024,0.023,0.008,0.008,9,9
"primary","metabolicP","rhapis_excelsa","np",0.112,0.151,0.024,0.024,0.008,0.008,9,9
