"exp","Species","Treatm","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"crous2017","callistemom_citrinus","LNHP","Narea",1.7632941208,1.77617179516667,0.220132135604315,0.143154289731898,0.0984460838486901,0.0584424940556157,5,6
"crous2017","callistemom_citrinus","HNHP","Narea",1.7632941208,1.8637997895,0.220132135604315,0.700202544293914,0.0984460838486901,0.285856491686438,5,6
"crous2017","callistemom_salignus","HNLP","Narea",1.4534532845,1.82085448483333,0.303734923702165,0.465713480511626,0.123999263355581,0.190126732264847,6,6
"crous2017","callistemom_salignus","LNHP","Narea",1.4534532845,1.40725279016667,0.303734923702165,0.296956410871997,0.123999263355581,0.121231947080777,6,6
"crous2017","callistemom_salignus","HNHP","Narea",1.4534532845,2.05580669266667,0.303734923702165,0.391493021460886,0.123999263355581,0.159826356739939,6,6
"crous2017","callitris_endlicheri","HNLP","Narea",2.4258823765,3.994707039,0.46418251337926,0.289153171305073,0.189501717550302,0.129313229389557,6,5
"crous2017","callitris_endlicheri","LNHP","Narea",2.4258823765,3.37460967633333,0.46418251337926,0.738222382958602,0.189501717550302,0.301378025825008,6,6
"crous2017","callitris_endlicheri","HNHP","Narea",2.4258823765,8.3362431758,0.46418251337926,1.54262268532676,0.189501717550302,0.689881837604782,6,5
"crous2017","callitris_glaucophylla","HNLP","Narea",4.1225984678,6.1092860876,0.655706277941498,1.34533847099093,0.293240762150112,0.601653654776268,5,5
"crous2017","callitris_glaucophylla","LNHP","Narea",4.1225984678,3.27625186333333,0.655706277941498,0.110505372925098,0.293240762150112,0.045113629583743,5,6
"crous2017","callitris_glaucophylla","HNHP","Narea",4.1225984678,8.92292002316667,0.655706277941498,3.10724501024904,0.293240762150112,1.26852746348654,5,6
"crous2017","campanula_persicifolia_'alba'_","HNLP","Narea",0.860381123333333,1.559440196,0.0889509123518638,0.393703522358462,0.0363140579028493,0.160728789952443,6,6
"crous2017","campanula_persicifolia_'alba'_","LNHP","Narea",0.860381123333333,1.0871930055,0.0889509123518638,0.209719617360851,0.0363140579028493,0.0856176752643028,6,6
"crous2017","campanula_persicifolia_'alba'_","HNHP","Narea",0.860381123333333,1.46761735183333,0.0889509123518638,0.283739302330942,0.0363140579028493,0.115836085114016,6,6
"crous2017","casuarina_cunninghammiana","HNLP","Narea",2.892341666,4.33012401133333,1.2898376877245,0.577875632859603,0.526574030989388,0.235916739215656,6,6
"crous2017","casuarina_cunninghammiana","LNHP","Narea",2.892341666,2.56005223216667,1.2898376877245,0.738230744333445,0.526574030989388,0.301381439341994,6,6
"crous2017","casuarina_cunninghammiana","HNHP","Narea",2.892341666,4.12604174083333,1.2898376877245,0.540762213306995,0.526574030989388,0.220765249130035,6,6
"crous2017","eucalyptus_camadulensis","HNLP","Narea",1.40164868166667,1.64954709366667,0.356670137397316,0.399022392193624,0.145609973851965,0.162900209469848,6,6
"crous2017","eucalyptus_camadulensis","LNHP","Narea",1.40164868166667,1.3018079915,0.356670137397316,0.262546962099712,0.145609973851965,0.107184348443688,6,6
"crous2017","eucalyptus_camadulensis","HNHP","Narea",1.40164868166667,1.6347880735,0.356670137397316,0.459269419794,0.145609973851965,0.187495955493231,6,6
"crous2017","eucalyptus_platypus","HNLP","Narea",1.91084821,2.93287454633333,0.401192981797028,0.560958857508268,0.163786348964736,0.229010494598312,6,6
"crous2017","eucalyptus_platypus","LNHP","Narea",1.91084821,1.94158113683333,0.401192981797028,0.230201097962871,0.163786348964736,0.0939792047062463,6,6
"crous2017","eucalyptus_platypus","HNHP","Narea",1.91084821,3.096369903,0.401192981797028,0.284755750413329,0.163786348964736,0.116251048305996,6,6
"crous2017","festuca_arundinacea","HNLP","Narea",0.915228006166667,1.92451272066667,0.229584238545331,0.445935848407848,0.0937273729035791,0.182052547769056,6,6
"crous2017","festuca_arundinacea","LNHP","Narea",0.915228006166667,0.631802185666667,0.229584238545331,0.0794475107471042,0.0937273729035791,0.0324343104441147,6,6
"crous2017","festuca_arundinacea","HNHP","Narea",0.915228006166667,1.42401788516667,0.229584238545331,0.165977244499951,0.0937273729035791,0.0677599263230074,6,6
"crous2017","festuca_rubra","HNLP","Narea",0.8861478682,2.24280261933333,0.215583143440133,0.633725632375911,0.0964117127070452,0.258717406040596,5,6
"crous2017","festuca_rubra","LNHP","Narea",0.8861478682,0.9887879768,0.215583143440133,0.397482427768132,0.0964117127070452,0.177759545670239,5,5
"crous2017","festuca_rubra","HNHP","Narea",0.8861478682,1.11893150883333,0.215583143440133,0.153098264890435,0.0964117127070452,0.0625021049145038,5,6
"crous2017","geranium_potentilloides","HNLP","Narea",0.928866727,1.6028182888,0.293934574624182,0.150734951601364,0.119998287598545,0.067410719673158,6,5
"crous2017","geranium_potentilloides","LNHP","Narea",0.928866727,0.725756188833333,0.293934574624182,0.0929603026176425,0.119998287598545,0.0379508846246559,6,6
"crous2017","geranium_potentilloides","HNHP","Narea",0.928866727,0.988664764666667,0.293934574624182,0.20604903627845,0.119998287598545,0.0841191668124039,6,6
"crous2017","geranium_pratense","HNLP","Narea",0.979794415333333,1.70101454416667,0.24102991423499,0.32382694103592,0.0984000504370863,0.132201795084056,6,6
"crous2017","geranium_pratense","LNHP","Narea",0.979794415333333,1.21906276416667,0.24102991423499,0.30061219058857,0.0984000504370863,0.122724412900381,6,6
"crous2017","geranium_pratense","HNHP","Narea",0.979794415333333,1.73984628433333,0.24102991423499,0.129469075380669,0.0984000504370863,0.0528555286920952,6,6
"crous2017","geum_quellyon_'urbanum'","HNLP","Narea",0.774079186,1.3199921964,0.0632590900403323,0.104035794690657,0.0258254153652652,0.0465262218043041,6,5
"crous2017","geum_quellyon_'urbanum'","LNHP","Narea",0.774079186,0.88609245,0.0632590900403323,0.193571176617505,0.0258254153652652,0.0790251019371747,6,6
"crous2017","geum_quellyon_'urbanum'","HNHP","Narea",0.774079186,1.298084476,0.0632590900403323,0.174609881369386,0.0258254153652652,0.0712841855671497,6,6
"crous2017","hakea_multilineata","HNLP","Narea",1.82346516366667,2.35212610233333,0.241001710613708,1.41270079591079,0.139142402497985,0.815623184803491,3,3
"crous2017","hakea_multilineata","LNHP","Narea",1.82346516366667,1.48988835825,0.241001710613708,0.457563140975997,0.139142402497985,0.228781570487998,3,4
"crous2017","hakea_petiolaris","HNLP","Narea",1.27161119116667,2.515622615,0.191966615552624,0.334581908140955,0.0783700426254925,0.136592492018682,6,6
"crous2017","hakea_petiolaris","LNHP","Narea",1.27161119116667,1.17167732483333,0.191966615552624,0.1157133580719,0.0783700426254925,0.0472397806166859,6,6
"crous2017","hakea_petiolaris","HNHP","Narea",1.27161119116667,7.8481010335,0.191966615552624,6.17634642261289,0.0783700426254925,3.08817321130644,6,4
"crous2017","helleborus_hybridus_'slate'","HNLP","Narea",1.4276149515,1.73317478283333,0.252803057155306,0.514913623616202,0.103206415907692,0.210212606577867,6,6
"crous2017","helleborus_hybridus_'slate'","LNHP","Narea",1.4276149515,1.4313124985,0.252803057155306,0.125908824646287,0.103206415907692,0.0629544123231434,6,4
"crous2017","helleborus_hybridus_'slate'","HNHP","Narea",1.4276149515,1.67836427183333,0.252803057155306,0.465224437061177,0.103206415907692,0.189927081112238,6,6
"crous2017","lomandra_longifolia_a","HNLP","Narea",1.5245057182,2.472242509,0.235107837025607,0.821832456329904,0.10514342112644,0.410916228164952,5,4
"crous2017","lomandra_longifolia_a","LNHP","Narea",1.5245057182,1.3558059192,0.235107837025607,0.533001035431256,0.10514342112644,0.238365309460413,5,5
"crous2017","lomandra_longifolia_a","HNHP","Narea",1.5245057182,2.6049573695,0.235107837025607,0.516148300646756,0.10514342112644,0.258074150323378,5,4
"crous2017","lomandra_longifolia_b_(glaucus_form)","HNLP","Narea",0.713538274833333,1.20085054283333,0.187987507685167,0.605769339175344,0.0767455786410318,0.247304297133758,6,6
"crous2017","lomandra_longifolia_b_(glaucus_form)","LNHP","Narea",0.713538274833333,0.7536279325,0.187987507685167,0.113490435125846,0.0767455786410318,0.056745217562923,6,4
"crous2017","lomandra_longifolia_b_(glaucus_form)","HNHP","Narea",0.713538274833333,2.19440680433333,0.187987507685167,1.1547667228013,0.0767455786410318,0.471431540468189,6,6
"crous2017","lupinus_alba","HNLP","Narea",1.11900557666667,1.77640341083333,0.254878208651719,0.614344771729131,0.147154002375639,0.25080520281383,3,6
"crous2017","lupinus_alba","LNHP","Narea",1.11900557666667,1.62831959575,0.254878208651719,0.355557811350452,0.147154002375639,0.177778905675226,3,4
"crous2017","lupinus_alba","HNHP","Narea",1.11900557666667,2.1688199335,0.254878208651719,0.316678740195692,0.147154002375639,0.129283554311141,3,6
"crous2017","panicum_antidotale","HNLP","Narea",0.647582743666667,0.709184164333333,0.0622073700069129,0.123283132552338,0.0253960524595752,0.0503301281075217,6,6
