site_code,year,exp_duration,trt,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
summ.za,2012,2,P,lma,507.6822627,452.3239574,354.2831676,347.8982186,102.2727411,104.8952597,12,11
summ.za,2012,2,NP,lma,507.6822627,303.0697734,354.2831676,298.9380672,102.2727411,99.64602241,12,9
unc.us,2011,4,N,lma,86.69805748,71.02970728,58.56312759,14.42795493,19.52104253,4.80931831,9,9
unc.us,2011,4,P,lma,86.69805748,58.0270773,58.56312759,21.74838253,19.52104253,7.249460842,9,9
unc.us,2011,4,NP,lma,86.69805748,57.51798615,58.56312759,21.03535269,19.52104253,6.651962589,9,10
valm.ch,2011,3,N,lma,88.69136342,83.59926206,46.63948918,44.42015364,10.17757093,10.19068215,21,19
valm.ch,2011,3,P,lma,88.69136342,84.52859464,46.63948918,37.0258617,10.17757093,8.079705425,21,21
valm.ch,2011,3,NP,lma,88.69136342,74.67812518,46.63948918,22.87383085,10.17757093,5.114744068,21,20
bldr.us,2011,3,N,nmass,1.970393354,2.919166018,0.197092195,0.826353972,0.098546098,0.369556731,4,5
bldr.us,2011,3,P,nmass,1.970393354,2.328280692,0.197092195,1.079043445,0.098546098,0.440517642,4,6
bldr.us,2011,3,NP,nmass,1.970393354,2.827250021,0.197092195,0.233199795,0.098546098,0.134637964,4,3
bnch.us,2011,4,N,nmass,3.77171478,3.610887938,1.494215343,0.808637729,0.498071781,0.285896611,9,8
bnch.us,2011,4,P,nmass,3.77171478,3.780249136,1.494215343,1.294243105,0.498071781,0.431414368,9,9
bnch.us,2011,4,NP,nmass,3.77171478,4.253617053,1.494215343,1.06464214,0.498071781,0.354880713,9,9
bogong.au,2011,2,N,nmass,2.082669324,2.114143418,0.912614045,0.699108267,0.263448982,0.210789074,12,11
bogong.au,2011,2,P,nmass,2.082669324,2.247979773,0.912614045,0.931258743,0.263448982,0.268831243,12,12
bogong.au,2011,2,NP,nmass,2.082669324,2.509552478,0.912614045,0.66750474,0.263448982,0.201260252,12,11
burrawan.au,2011,3,N,nmass,1.917807591,2.042251827,0.893744189,0.741859854,0.258001724,0.205754903,12,13
burrawan.au,2011,3,P,nmass,1.917807591,1.814180917,0.893744189,0.972761012,0.258001724,0.280811916,12,12
burrawan.au,2011,3,NP,nmass,1.917807591,2.159127044,0.893744189,0.756764351,0.258001724,0.218459051,12,12
cbgb.us,2012,3,N,nmass,1.476594962,2.495891781,0.44450513,0.705657949,0.148168377,0.235219316,9,9
cbgb.us,2012,3,P,nmass,1.476594962,1.730208326,0.44450513,0.509434465,0.148168377,0.169811488,9,9
cbgb.us,2012,3,NP,nmass,1.476594962,2.471302073,0.44450513,0.872611451,0.148168377,0.290870484,9,9
comp.pt,2014,2,N,nmass,1.986917049,2.674997852,0.941937851,0.805806549,0.261246555,0.402903275,13,4
comp.pt,2014,2,P,nmass,1.986917049,1.535376257,0.941937851,0.580283555,0.261246555,0.290141778,13,4
comp.pt,2014,2,NP,nmass,1.986917049,2.106193425,0.941937851,0.673159249,0.261246555,0.301045968,13,5
cowi.ca,2011,4,N,nmass,3.72129442,4.004177388,1.487726326,1.546663103,0.495908775,0.631422568,9,6
cowi.ca,2011,4,P,nmass,3.72129442,5.103487619,1.487726326,1.943541024,0.495908775,0.687145519,9,8
cowi.ca,2011,4,NP,nmass,3.72129442,4.808357745,1.487726326,1.967853872,0.495908775,0.655951291,9,9
elliot.us,2011,3,N,nmass,2.964312472,2.900292565,0.45844888,0.375388726,0.152816293,0.132719957,9,8
elliot.us,2011,3,P,nmass,2.964312472,2.640997038,0.45844888,0.541410913,0.152816293,0.20463409,9,7
elliot.us,2011,3,NP,nmass,2.964312472,2.935652603,0.45844888,0.565114776,0.152816293,0.188371592,9,9
frue.ch,2011,3,N,nmass,2.868923333,2.944090493,0.800763932,0.405265924,0.283112803,0.135088641,8,9
frue.ch,2011,3,P,nmass,2.868923333,2.653684408,0.800763932,0.856870081,0.283112803,0.270966112,8,10
frue.ch,2011,3,NP,nmass,2.868923333,3.460291999,0.800763932,1.266722751,0.283112803,0.422240917,8,9
gilb.za,2012,2,N,nmass,1.61403271,1.904112463,0.739427772,0.712367698,0.246475924,0.225270446,9,10
gilb.za,2012,2,P,nmass,1.61403271,1.987915874,0.739427772,0.843822378,0.246475924,0.281274126,9,9
gilb.za,2012,2,NP,nmass,1.61403271,2.118066955,0.739427772,0.875115035,0.246475924,0.291705012,9,9
hopl.us,2011,4,N,nmass,2.399349263,2.688238433,0.613196525,0.946449039,0.204398842,0.357724112,9,7
hopl.us,2011,4,P,nmass,2.399349263,2.859181643,0.613196525,1.389363574,0.204398842,0.463121191,9,9
hopl.us,2011,4,NP,nmass,2.399349263,2.246471107,0.613196525,0.617887731,0.204398842,0.205962577,9,9
kiny.au,2011,4,N,nmass,3.087378089,3.426546608,1.084599582,1.200993614,0.361533194,0.400331205,9,9
kiny.au,2011,4,P,nmass,3.087378089,3.294528731,1.084599582,1.294605752,0.361533194,0.489314981,9,7
kiny.au,2011,4,NP,nmass,3.087378089,3.722953188,1.084599582,1.545246571,0.361533194,0.546327164,9,8
konz.us,2011,4,N,nmass,1.504912741,1.418802866,0.311962381,0.231408599,0.15598119,0.16363059,4,2
konz.us,2011,4,P,nmass,1.504912741,1.259318708,0.311962381,0.00586394,0.15598119,0.004146432,4,2
konz.us,2011,4,NP,nmass,1.504912741,1.73632788,0.311962381,0.447306095,0.15598119,0.258252294,4,3
lancaster.uk,2011,3,N,nmass,4.828441377,4.561782907,0.734792541,0.596489084,0.244930847,0.198829695,9,9
lancaster.uk,2011,3,P,nmass,4.828441377,3.720913535,0.734792541,1.054941893,0.244930847,0.351647298,9,9
lancaster.uk,2011,3,NP,nmass,4.828441377,5.032578798,0.734792541,1.0291629,0.244930847,0.3430543,9,9
look.us,2011,4,N,nmass,4.703868043,5.24113295,0.732351726,0.679801709,0.244117242,0.22660057,9,9
look.us,2011,4,P,nmass,4.703868043,4.691943397,0.732351726,0.825617874,0.244117242,0.275205958,9,9
look.us,2011,4,NP,nmass,4.703868043,5.524951598,0.732351726,0.853740803,0.244117242,0.284580268,9,9
mcla.us,2011,4,N,nmass,2.683086356,3.540143871,0.775050512,0.818250647,0.258350171,0.272750216,9,9
mcla.us,2011,4,P,nmass,2.683086356,3.08045102,0.775050512,1.059986275,0.258350171,0.353328758,9,9
mcla.us,2011,4,NP,nmass,2.683086356,3.221064893,0.775050512,1.298678714,0.258350171,0.432892905,9,9
mtca.au,2011,3,N,nmass,3.012252577,3.560649817,0.884818211,1.147848456,0.312830478,0.405825714,8,8
mtca.au,2011,3,P,nmass,3.012252577,2.705800208,0.884818211,0.93591143,0.312830478,0.295961181,8,10
mtca.au,2011,3,NP,nmass,3.012252577,3.098069095,0.884818211,1.358701883,0.312830478,0.409664032,8,11
sage.us,2011,4,N,nmass,4.282687802,3.866142432,1.281908162,1.047025329,0.573286758,0.349008443,5,9
sage.us,2011,4,P,nmass,4.282687802,3.479221477,1.281908162,0.787637264,0.573286758,0.352242093,5,5
sage.us,2011,4,NP,nmass,4.282687802,4.335664892,1.281908162,1.696046938,0.573286758,0.848023469,5,4
sgs.us,2011,4,N,nmass,2.34679353,3.171358382,0.352262096,0.37735358,0.117420699,0.133414638,9,8
sgs.us,2011,4,P,nmass,2.34679353,2.312261283,0.352262096,0.291858604,0.117420699,0.119150776,9,6
sgs.us,2011,4,NP,nmass,2.34679353,3.155269948,0.352262096,0.636419046,0.117420699,0.212139682,9,9
shps.us,2011,4,N,nmass,3.372984011,3.63370425,1.248188115,0.561116309,0.624094058,0.21208203,4,7
shps.us,2011,4,P,nmass,3.372984011,2.099167769,1.248188115,0.667609929,0.624094058,0.252332835,4,7
shps.us,2011,4,NP,nmass,3.372984011,3.546625489,1.248188115,0.614784404,0.624094058,0.217359111,4,8
sier.us,2011,4,N,nmass,2.770268426,3.318775265,0.833840618,0.879615795,0.277946873,0.359101645,9,6
sier.us,2011,4,P,nmass,2.770268426,3.036827117,0.833840618,1.047574502,0.277946873,0.370373517,9,8
sier.us,2011,4,NP,nmass,2.770268426,3.577110064,0.833840618,0.961892206,0.277946873,0.392690849,9,6
smith.us,2011,4,N,nmass,1.38972045,2.044954335,0.29063294,0.429156284,0.096877647,0.151729659,9,8
smith.us,2011,4,P,nmass,1.38972045,1.719306746,0.29063294,0.790830213,0.096877647,0.263610071,9,9
smith.us,2011,4,NP,nmass,1.38972045,2.047130045,0.29063294,0.379675498,0.096877647,0.13423556,9,8
summ.za,2012,2,N,nmass,1.314484117,1.641986347,0.246439168,0.28146916,0.07114086,0.089008364,12,10
summ.za,2012,2,P,nmass,1.314484117,1.528636203,0.246439168,0.586508806,0.07114086,0.176839059,12,11
summ.za,2012,2,NP,nmass,1.314484117,1.906493231,0.246439168,0.833260626,0.07114086,0.277753542,12,9
unc.us,2011,4,N,nmass,1.574205775,3.304305578,0.279728453,0.912612255,0.093242818,0.304204085,9,9
unc.us,2011,4,P,nmass,1.574205775,2.418570297,0.279728453,0.584075717,0.093242818,0.194691906,9,9
unc.us,2011,4,NP,nmass,1.574205775,3.742795575,0.279728453,0.78429795,0.093242818,0.248016789,9,10
