Site,Topo,Treat,Plot_n,Date,Season,N_treat,P_treat,mean_finerootstocks_Mg_ha,mean_Cstock_Mg_ha,mean_Nstock_kg_ha,mean_Castock_kg_ha,mean_Mgstock_kg_ha,mean_Kstock_kg_ha,mean_Pstock_kg_ha,mean_diam_mm,mean_SRL_m_g,mean_SRA_cm2_g,mean_RTD_g_cm3,mean_C_root_%,mean_N_root_%,mean_Ca_root_mg_kg,mean_Mg_root_mg_kg,mean_K_root_mg_kg,mean_P_root_mg_kg,NP_ratio_root,CP_ratio_root,mean_Csoil_%,mean_Nsoil_%,mean_Psoil_mg_kg,Pstock_soil_kg_ha,mean_bulk_g_cm3
Paracou,Slope,N,1,201905,Wet,1,0,5.618,2580.682,60.898,6.619,6.197,3.944,1.169,0.751,5.304,115.275,0.499,45.94,1.085,1185.558,1113.366,704.517,208.279,52.106,2205.685,2.613,0.173,153.961,253.651,1.098
Paracou,Slope,N,1,201909,Dry,1,0,6.289,2818.89,81.278,7.286,8.439,7.079,1.493,0.678,4.789,105.401,0.541,44.901,1.295,1153.52,1333.447,1130.624,238.798,54.249,1880.28,2.561,0.177,148.908,245.325,1.098
Paracou,Slope,NP,2,201905,Wet,1,1,9.335,4203.042,116.66,22.897,10.192,9.287,6.156,0.869,4.255,106.164,0.466,45.003,1.238,2411.043,1111.17,973.159,629.481,19.671,714.918,2.719,0.186,187.496,335.743,1.194
Paracou,Slope,NP,2,201909,Dry,1,1,7.196,3213.969,95.702,16.09,8.553,7.816,5.169,0.711,4.046,93.138,0.578,44.502,1.331,2250.702,1190.099,1099.914,667.684,19.939,666.508,2.582,0.187,180.779,323.714,1.194
Paracou,Slope,P,3,201905,Wet,0,1,7.686,3446.08,84.663,14.674,12.638,13.411,4.758,0.686,5.619,118.872,0.5,44.843,1.095,1996.331,1638.428,1755.949,608.071,18.005,737.456,2.516,0.15,163.984,344.254,1.4
Paracou,Slope,P,3,201909,Dry,0,1,7.77,3444.723,96.795,14.39,13.143,15.139,6.177,0.699,4.28,98.063,0.561,44.526,1.207,1801.338,1584.001,1802.589,740.44,16.305,601.34,2.904,0.168,201.611,423.244,1.4
Paracou,Top,C,4,201905,Wet,0,0,8.515,3824.856,99.645,10.718,13.167,9.924,1.658,0.735,4.71,110.705,0.481,44.911,1.182,1356.134,1710.422,1311.649,201.963,58.53,2223.727,2.393,0.148,60.241,78.22,0.866
Paracou,Top,C,4,201909,Dry,0,0,11.666,5427.131,167.454,14.004,18.698,15.619,2.122,0.569,5.867,113.999,0.573,46.521,1.435,1200.375,1602.738,1338.848,181.857,78.93,2558.088,1.968,0.133,52.711,58.405,0.739
Paracou,Top,N,1,201905,Wet,1,0,7.978,3581.01,93.506,11.711,8.078,7.479,1.356,0.707,5.477,120.016,0.478,44.93,1.175,1495.521,1013.716,927.967,168.926,69.57,2659.727,2.183,0.147,68.884,145.072,1.404
Paracou,Top,N,1,201909,Dry,1,0,7.721,3541.599,109.115,12.659,13.224,8.789,1.288,0.615,5.092,108.866,0.531,45.692,1.381,1643.269,1612.704,1147.027,169.592,81.409,2694.242,1.833,0.12,69.175,145.685,1.404
Paracou,Top,NP,2,201905,Wet,1,1,8.084,3560.959,83.22,18.211,7.525,9.499,5.495,0.729,4.559,105.167,0.533,43.748,1.025,2195.879,898.746,1104.512,652.799,15.7,670.152,1.895,0.129,128.225,253.663,1.319
Paracou,Top,NP,2,201909,Dry,1,1,6.898,3156.001,87.158,15.892,9.25,9.62,3.414,0.569,5.776,112.176,0.584,45.431,1.227,2291.239,1345.055,1339.829,505.925,24.257,897.971,1.88,0.117,114.265,226.047,1.319
Paracou,Top,P,3,201905,Wet,0,1,7.69,3443.112,83.674,14.554,8.663,14.626,6.209,0.667,6.477,140.754,0.433,44.371,1.1,1887.52,1135.427,1893.427,775.356,14.185,572.271,1.84,0.126,146.606,305.022,1.387
Paracou,Top,P,3,201909,Dry,0,1,7.473,3245.466,113.621,17.228,14.553,22.496,7.971,0.621,6.519,137.283,0.444,43.31,1.496,2417.813,1941.555,2926.453,1058.34,14.138,409.221,1.928,0.129,130.751,272.035,1.387
Nouragues,Bottom,C,4,201906,Wet,0,0,2.998,1348.815,37.407,8.195,4.241,5.948,1.147,0.589,10.587,192.858,0.389,45.149,1.299,2796.278,1270.265,1905.481,330.903,39.259,1364.423,3.097,0.204,63.223,82.636,0.871
Nouragues,Bottom,C,4,201910,Dry,0,0,1.703,813.917,24.946,5.398,3.375,4.416,0.383,0.655,6.761,135.078,0.465,47.794,1.465,3170,1982,2593,225,65.105,2124.176,4.257,0.286,55.925,76.487,0.912
Nouragues,Bottom,N,1,201906,Wet,1,0,2.891,1394.972,43.089,5.681,3.604,5.296,0.598,0.64,6.554,137.391,0.442,48.142,1.497,2046.335,1291.697,2035.352,213.399,70.142,2255.954,3.78,0.278,93.534,135.505,0.966
Nouragues,Bottom,N,1,201910,Dry,1,0,2.508,1056.39,38.146,5.76,3.563,5.788,0.562,0.686,5.413,120.689,0.463,42.281,1.536,2328.184,1411.385,2300.959,225.071,68.255,1878.545,7.219,0.445,95.583,146.47,1.022
Nouragues,Bottom,NP,2,201906,Wet,1,1,3.72,1730.196,52.458,7.165,4.73,6.334,2.148,0.614,8.089,160.402,0.425,46.376,1.417,1910.445,1221.928,1821.064,636.687,22.249,728.404,3.821,0.262,145.326,164.657,0.755
Nouragues,Bottom,NP,2,201910,Dry,1,1,2.814,1291.51,44.53,7.475,3.824,4.998,2.021,0.6,9.352,191.179,0.364,45.802,1.61,2600.188,1329.441,1716.08,723.518,22.249,633.039,3.779,0.245,111.913,126.799,0.755
Nouragues,Bottom,P,3,201906,Wet,0,1,5.3,2439.979,77.13,19.368,9.871,11.691,4.789,0.68,7.468,164.936,0.348,45.979,1.467,3903.051,2046.548,2254.968,887.742,16.52,517.927,2.541,0.18,136.394,175.529,0.858
Nouragues,Bottom,P,3,201910,Dry,0,1,4.516,2063.619,76.503,14.374,9.392,12.055,4.216,0.629,7.646,160.606,0.384,44.862,1.684,3705.162,2301.417,2507.7,1099.896,15.314,407.871,3.146,0.217,208.073,267.776,0.858
Nouragues,Slope,C,4,201906,Wet,0,0,4.921,2274.747,60.475,7.074,5.811,8.984,1.073,0.626,6.083,124.805,0.488,46.404,1.225,1450.897,1200.794,1817.224,220.603,55.521,2103.528,2.967,0.208,92.298,137.149,0.991
Nouragues,Slope,C,4,201910,Dry,0,0,2.716,1276.672,37.814,6.471,3.915,5.4,0.57,0.558,7.526,140.378,0.472,46.938,1.382,2418.667,1471.727,2037.973,211.9,65.214,2215.089,3.506,0.222,67.267,104.555,1.036
Nouragues,Slope,N,1,201906,Wet,1,0,4.903,2414.534,75.356,5.626,5.252,6.59,1.05,0.712,4.908,112.977,0.498,49.275,1.536,1183.552,1054.304,1333.446,212.653,72.208,2317.145,3.314,0.253,127.284,185.258,0.97
Nouragues,Slope,N,1,201910,Dry,1,0,4.474,2073.469,68.791,3.784,4.891,5.382,0.838,0.612,6.047,126.964,0.463,46.425,1.549,854.767,1108.87,1194.267,188.28,82.292,2465.768,3.077,0.213,101.685,148,0.97
Nouragues,Slope,NP,2,201906,Wet,1,1,4.81,2448.122,65.572,10.943,6.658,9.975,2.854,0.627,7.434,146.115,0.434,50.657,1.418,2329.327,1212.029,2191.073,609.282,23.266,831.426,2.967,0.247,185.697,282.677,1.015
Nouragues,Slope,NP,2,201910,Dry,1,1,3.22,1431.915,45.201,7.733,3.745,5.688,1.897,0.609,7.854,143.032,0.48,44.578,1.415,2331.483,1142.247,1765.049,591.911,23.905,753.113,3.064,0.225,199.989,304.432,1.015
Nouragues,Slope,P,3,201906,Wet,0,1,5.29,2996.477,79.016,18.135,8.804,16.002,4.153,0.637,6.762,138.01,0.448,56.551,1.525,3403.649,1673.422,3071.911,806.388,18.908,701.29,3.183,0.203,164.361,279.798,1.135
Nouragues,Slope,P,3,201910,Dry,0,1,5.991,2755.049,72.746,27.339,10.221,21.705,4.89,0.538,7.677,138.659,0.502,45.853,1.209,4455.267,1659.203,3749.599,809.973,14.931,566.109,4.079,0.242,176.948,301.226,1.135
Nouragues,Top,C,4,201906,Wet,0,0,3.502,1615.207,50.031,7.963,6.323,3.884,0.907,0.622,8.355,164.334,0.401,45.975,1.466,2456.303,1962.757,1134.313,276.939,52.924,1660.106,4.253,0.305,210.317,289.206,0.917
Nouragues,Top,C,4,201910,Dry,0,0,4.225,1923.203,61.972,7.955,8.099,6.321,1.16,0.589,8.306,173.772,0.4,45.46,1.492,1695.24,1915.061,1545.836,299.619,49.786,1517.255,4.372,0.295,195.93,269.423,0.917
Nouragues,Top,N,1,201906,Wet,1,0,5.877,2792.441,76.739,10.231,6.217,5.84,1.426,0.651,6.325,128.173,0.486,47.717,1.307,1666.156,1019.882,973.928,227.635,57.422,2096.206,4.639,0.298,299.943,389.3,0.865
Nouragues,Top,N,1,201910,Dry,1,0,6.925,3206.514,84.253,14.229,5.799,8.086,1.65,0.613,5.495,106.55,0.586,46.245,1.238,2014.726,870.811,1155.532,237.798,52.047,1944.736,4.635,0.315,279.157,362.323,0.865
Nouragues,Top,NP,2,201906,Wet,1,1,5.308,2524.001,62.467,4.85,5.568,4.058,2.16,0.606,6.731,130.331,0.508,47.802,1.161,831.633,1012.768,711.124,410.002,28.321,1165.897,4.441,0.341,575.514,653.691,0.757
Nouragues,Top,NP,2,201910,Dry,1,1,7.25,3297.269,91.459,10.398,6.668,6.263,3.543,0.528,6.271,114.857,0.598,45.527,1.265,1396.885,923.751,862.392,494.949,25.556,919.823,4.083,0.286,533.663,606.156,0.757
Nouragues,Top,P,3,201906,Wet,0,1,6.145,3008.489,78.132,8.574,6.668,5.937,3.975,0.671,5.813,127.653,0.439,49.101,1.256,1410.87,1141.582,937.549,636.354,19.739,771.597,3.789,0.284,483.852,595.661,0.821
Nouragues,Top,P,3,201910,Dry,0,1,5.584,2535.444,70.824,11.033,6.814,6.816,4.833,0.571,5.943,123.721,0.5,45.193,1.309,1994.825,1254.123,1225.129,858.034,15.252,526.7,4.41,0.275,422.046,519.571,0.821
