Harvest,Months.in,Pot,Species,Spp,Treatment,Classification,Adult stature, Vcmax.a , Jmax.a, TPU.a, Rlight.a, Vomax25.a, avgTleaf ,Amax.a,Asat.a,  Rdark.a  ,PAR,MinCond, MaxCond , Ci.Ca ,Start,Leaf.thickness,LDMC,LMA,FMA,LeafN,LeafP,N.area,P.area, Vcmax.m, Jmax.m,TPU.m,  Rlight.m ,Amax.m,Asat.m, Rdark.m ,PNUE,PPUE,RatioNP
1,9,Pot 21,Guioa lasioneura,Gl,Minus P,Shade tolerant,Understory shrub,33.94325913,60.16847575,4.757647311,0.447941959,5.886908998,27.482,14,6.52,NA,500,0.0265,0.11,0.621919197,4700,NA,0.425350564,98.59783301,231.8036966,13.92492114,2.016837539,1.372967049,198.8558109,0.344259687,0.61024136,48.25306161,4.543121746,141.9909502,66.12721396,NA,10.19689439,70.4027704,6.904334565
1,9,Pot 22,Auranticarpa ilicifolium,Ai,Minus P,Light demanding,Small tree,29.1410259,48.37648124,3.694416629,0.683249913,5.499621045,26.50622222,13.9,6.39,NA,500,0.0506,0.118,0.71713711,861,NA,0.433816944,140.7321325,324.404416,16.7487,1.461075,2.357080267,205.6202005,0.207067323,0.343748655,26.25140801,4.854967383,98.76919901,45.40540875,NA,5.897126285,67.60036207,11.46327191
1,9,Pot 23,Cryptocarya triplinervis,Ct,Minus P,Light demanding,Canopy,27.53351888,37.16303932,3.040722119,0.622166344,4.688455082,27.69466667,8.8,5.5,NA,500,0.0611,0.103,0.735946534,4306,NA,0.333607231,59.94832041,179.6973053,29.00625,2.249274862,1.738875969,134.8402501,0.459287578,0.61991794,50.72239052,10.37837824,146.7931034,91.74568966,NA,5.060740477,65.26241232,12.89582278
1,9,Pot 24,Syzygium wilsonii,Sw,Minus P,Shade tolerant,Understory shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.310212381,69.34343434,223.5353535,9.246967456,2.320340237,0.641216481,160.9003609,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.985177393
1,9,Pot 25,Neolitsea dealbata,Nd,Minus P,Pioneer,Small tree,40.68289589,48.64842549,3.370700001,0.482100073,7.331059536,27.03922222,10.6,8.08,NA,500,0.133,0.168,0.742495196,3148,NA,0.439698856,97.02875399,220.6709265,15.26939858,1.7671875,1.481570719,171.4680012,0.419287007,0.501381534,34.73918671,4.968630982,109.2459664,83.27428383,NA,7.154569043,61.8191145,8.640508483
1,9,Pot 26,Hymenosporum flavum,Hf,Control,Light demanding,Small tree,37.80247811,55.03912655,3.956676846,0.670031054,7.467535005,25.98155556,12.1,7.86,NA,500,0.0113,0.142,0.723317814,4513,NA,0.320107025,91.26765136,285.1160526,16.95886364,2.784715909,1.547795654,254.1544807,0.414193611,0.603051856,43.35245607,7.341385961,132.5770941,86.12032723,NA,7.817569439,47.60883997,6.0899798
1,9,Pot 27,Cryptocarya triplinervis,Ct,Control,Light demanding,Canopy,37.78280972,54.14625911,4.080993075,0.476314137,6.77619731,27.09411111,12.2,7.46,NA,500,0.0518,0.115,0.670890411,3811,NA,0.301120046,50.67665539,168.2938618,25.91419903,4.794053398,1.313244934,242.946592,0.745566364,1.068465523,80.53003978,9.399083924,240.7420124,147.2078207,NA,9.289965402,50.21679827,5.405488191
1,9,Pot 28,Flindersia bourjotiana,Fb,Minus P,Light demanding,Canopy,35.16451111,42.27674508,-1.455828234,0.54249629,6.31699363,27.07511111,13.1,6.2,NA,500,0.0165,0.0858,0.533953998,1,NA,0.291967431,88.95144265,304.6622097,20.34668142,2.206637168,1.809866665,196.2835595,0.39532255,0.475278914,-16.36655001,6.098791363,147.2713608,69.70094937,NA,7.238102261,66.74017953,9.220673752
1,9,Pot 29,Hymenosporum flavum,Hf,Minus P,Light demanding,Small tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347136889,59.78835979,172.2328042,20.59857513,1.795531088,1.231555021,107.3518587,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.47213505
1,9,Pot 30,Auranticarpa ilicifolium,Ai,Control,Light demanding,Small tree,40.59815018,47.01759992,2.99681659,0.204449802,7.757903389,26.36288889,11,8.51,NA,500,0.0776,0.165,0.723345969,185,NA,0.463322986,126.2127281,272.4076547,12.91037415,1.973809524,1.629453542,249.1198847,0.321664469,0.372526612,23.74417094,1.619882602,87.15444288,67.42584626,NA,6.750729442,44.15544754,6.540840944
1,9,Pot 31,Flindersia bourjotiana,Fb,Minus P,Light demanding,Canopy,29.92022032,45.28066769,3.582657794,0.9779734,5.200138309,27.45755556,10.2,5.18,NA,500,0.0479,0.0865,0.694323398,3466,NA,0.317147143,101.2282711,319.1839284,8.80302714,1.441675365,0.891115217,145.9383047,0.295571781,0.447312467,35.39186984,9.661069877,100.762365,51.17147558,NA,11.44633129,69.89254825,6.10610915
1,9,Pot 32,Guioa lasioneura,Gl,Control,Shade tolerant,Understory shrub,45.99315193,68.08912945,4.522941154,1.368826056,8.488221604,26.76366667,13.1,4.21,NA,300,0.0157,0.0347,0.390151703,3886,NA,0.411536597,99.08302768,240.7635879,19.45366972,2.562614679,1.927528496,253.9116212,0.464187995,0.687192661,45.64799098,13.81493973,132.2123507,42.48961804,NA,6.796267878,51.59275476,7.591336257
1,9,Pot 33,Auranticarpa ilicifolium,Ai,Minus P,Light demanding,Small tree,27.76347856,44.86284521,3.446784125,0.69035237,4.928470104,27.21266667,10.1,5.74,NA,500,0.113,0.16,0.806369191,4096,NA,0.434580028,123.2059979,283.5058908,15.30054236,1.514566116,1.885118589,186.6036296,0.22534194,0.364128744,27.9757819,5.60323671,81.97652854,46.58864097,NA,5.35775312,54.12542093,10.1022611
