Idref,Functional.Group,FunctGr.symbol,PFT.group,Species,Family,Site,N.Treat,P.Treat,Treatm,Date,Replicate,low_breakpoint,high_breakpoint,avgTleaf,theta,Amax,QY,Rl,Rd.apparent,Rd.actual,satPAR,PSsat,Jsat,Vcsat,Vosat,Gssat,Cisat,PARactual100,PS100,J100,Vc100,Vo100,Gs100,Ci100,PARactualdark,Rdark,LI_ratio,Positive.Rlight.actual,Positive.Rdark,Rlight.Asat,Rdark.Asat,Amax.mb,Asat.mb,Jsat.mb,Vcsat.mb,Vosat.mb,A100.mb,J100.mb,Vc100.mb,Vo100.mb,Rlight.mb,Rdark.mb,Amax.Nb,Asat.Nb,Rlight.Nb,Rdark.Nb,Amax.Pb,Asat.Pb,Rlight.Pb,Rdark.Pb,Nmass,Pmass,N.P,Narea,Parea,LMA,FMA,DMC,Glucose.mb,Fructose.mb,Sucrose.mb,TotalSugars.mb,Starch.mb,TNC.mb,logPm,logNm,logLMA,logRd.m,logAsat.m
105,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,GREEN,hi N,low P,HNLP,17/06/2009,5,20,60,23.64,0.7,15.07,0.05,-0.85,-0.82,-0.85,1799,13.39,79.53,16.12,3.77,0.4,311,99,2.84,19.35,4.07,0.77,0.34,372,0,-1.28,0.66,0.85,1.28,0.063,0.096,201.84,179.32,1065.12,215.85,50.43,462,370,586,37,11.32,17.15,7.68,6.82,0.43,0.65,220.11,195.55,12.34,18.7,26.28,0.92,28.66,1.961992095,0.068469038,74.67,234.67,0.32,NA,NA,NA,NA,NA,NA,-0.036212173,1.419625361,1.873146151,1.234264124,2.25362873
106,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,GREEN,hi N,low P,HNLP,17/06/2009,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,RED,hi N,hi P,HNHP,2/6/09,1,20,60,24.8,0.7,15.66,0.04,-0.73,-0.71,-0.73,1801.67,13.82,85.26,16.81,4.51,0.42,307.67,100,2.29,16.06,3.35,0.67,0.37,375,-1,-0.84,0.87,0.73,0.84,0.053,0.061,254.31,224.41,1384.4,272.88,73.22,453,372,585,59,11.86,13.62,6.46,5.7,0.3,0.35,68.86,60.76,3.21,3.69,39.35,3.69,10.65,2.423253064,0.227455478,61.58,221.19,0.28,NA,NA,NA,NA,NA,NA,0.567026366,1.594944737,1.789439685,1.134177108,2.351042206
108,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,RED,hi N,hi P,HNHP,3/6/09,2,20,60,23.95,0.7,4.76,0.1,-1.47,-0.24,-1.47,1799.33,3.71,33.31,6.23,2.1,0.04,222.33,99,1.77,18.68,3.72,0.95,0.03,294,0,0,0,1.47,NA,0.396,0,57.49,44.78,402.05,75.18,25.33,240,314,512,77,17.74,NA,1.69,1.31,0.52,0,13.99,10.9,4.32,0,34.1,4.11,8.3,2.825215254,0.340354041,82.84,297.04,0.28,NA,NA,NA,NA,NA,NA,0.613841822,1.532754379,1.91824009,NA,1.651084089
109,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,RED,hi N,hi P,HNHP,3/6/09,3,20,60,24.78,0.7,11.81,0.04,-0.32,-0.25,-0.32,1801,10.44,63.33,12.45,3.38,0.18,277,100,2.34,14.11,2.95,0.58,0.17,363,-1,-0.73,0.43,0.32,NA,0.03,0.07,102.78,90.88,551.37,108.37,29.47,226,70,295,513,2.76,6.39,4.1,3.62,0.11,0.25,30.53,27,0.82,1.9,25.09,3.37,7.45,2.881443391,0.386654296,114.86,271.84,0.42,NA,NA,NA,NA,NA,NA,0.527629901,1.399500661,2.060168812,0.805500858,1.958468318
110,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,RED,hi N,hi P,HNHP,2/6/09,4,20,60,25.4,0.7,9.3,0.03,-0.31,-0.29,-0.31,1799.75,8.39,53.57,10.26,3.13,0.12,263.5,100,2,12.58,2.59,0.55,0.1,355,-1,-0.86,0.37,0.31,0.86,0.037,0.102,60.82,54.87,350.51,67.14,20.48,85,793,165,416,2.03,5.6,1.4,1.27,0.05,0.13,13.71,12.37,0.46,1.26,43.32,4.44,9.76,6.620269972,0.677965125,152.84,310.86,0.49,NA,NA,NA,NA,NA,NA,0.64738297,1.636688448,2.184237029,0.748188027,1.73933496
111,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,RED,hi N,hi P,HNHP,3/6/09,5,20,60,24.82,0.7,11.08,0.03,-0.42,-0.37,-0.42,1800,9.85,67.1,12.44,4.33,0.1,220.5,100,1.68,11.52,2.36,0.52,0.09,357,0.5,-0.81,0.54,0.42,0.81,0.043,0.082,160.84,143.06,974.31,180.65,62.92,285,190,412,626,6.13,11.71,4.07,3.62,0.16,0.3,20.96,18.64,0.8,1.53,39.49,7.67,5.15,2.719861211,0.528543825,68.87,234.77,0.29,NA,NA,NA,NA,NA,NA,0.884795364,1.596487134,1.838030083,1.068556895,2.155518221
112,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,RED,hi N,hi P,HNHP,3/6/09,6,20,60,24.9,0.7,7.68,0.04,-0.13,-0.06,-0.13,1799,7.18,55.06,9.46,4.31,0.06,175,99,2.62,15.85,3.16,0.81,0.05,296,0,-0.89,0.15,0.13,0.89,0.018,0.124,101.6,94.92,728.28,125.1,56.97,424,291,491,56,1.7,11.8,5.22,4.88,0.09,0.61,51.3,47.93,0.86,5.96,19.45,1.98,9.82,1.470794047,0.14973013,75.6,249.52,0.3,NA,NA,NA,NA,NA,NA,0.29666519,1.288919606,1.878521796,1.071882007,1.97735773
113,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,YELLOW,low N,low P,LNLP,29/06/2009,1,20,60,23.45,0.7,17.23,0.06,0.11,0.13,0.11,1799,15.41,82.32,17.06,3.52,0.9,347.8,100,4.87,24.79,5.24,0.96,0.67,376,-0.75,-0.65,-0.19,-0.11,0.65,-0.007,0.042,232.6,208.06,1111.36,230.3,47.54,678,487,707,123,-1.53,8.8,7.86,7.03,-0.05,0.3,276.09,246.95,-1.82,10.44,29.61,0.84,35.15,2.193358509,0.062408028,74.07,200.9,0.37,NA,NA,NA,NA,NA,NA,-0.075720714,1.471438407,1.869642345,0.944482672,2.318188594
114,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,YELLOW,low N,low P,LNLP,1/7/09,2,20,60,23.68,0.7,13.26,0.05,-0.4,-0.36,-0.4,1799.75,12.71,71.86,14.72,3.24,0.5,333.25,100,3.46,19.97,4.24,0.75,0.38,372,0,-0.89,0.5,0.4,0.89,0.031,0.07,171.16,163.99,927.35,190.03,41.81,515,368,587,702,5.13,11.45,5.01,4.8,0.15,0.34,174.12,166.83,5.22,11.65,34.14,0.98,34.73,2.645660074,0.076167113,77.49,233.37,0.33,13.78,1.38,14.18,29.34,38.71,68.05,-0.008773924,1.533263517,1.889245661,1.058805487,2.214817366
115,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,YELLOW,low N,low P,LNLP,1/7/09,3,20,60,22.98,0.7,20.38,0.07,-1.46,-1.44,-1.46,1799.25,17.98,104.26,21.65,4.42,0.89,344.5,100,3.06,23.31,4.96,0.87,0.71,382,0,-1.69,0.88,1.46,1.69,0.081,0.094,344.86,304.32,1764.3,366.33,74.74,588,551,771,166,24.64,28.61,8.89,7.84,0.64,0.74,251.62,222.04,17.98,20.88,38.79,1.37,28.3,2.292466461,0.080993439,59.09,189.18,0.31,NA,NA,NA,NA,NA,NA,0.136720567,1.58871978,1.77151399,1.456517858,2.483330495
116,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,YELLOW,low N,low P,LNLP,30/06/2009,4,20,60,24.43,0.7,13.63,0.04,-0.39,-0.37,-0.39,1799.75,12.26,72.99,14.51,3.73,0.23,290.75,98,3.02,18.12,3.78,0.75,0.2,362,0,-0.67,0.59,0.39,0.67,0.032,0.054,142.4,128.09,762.75,151.67,39.02,394,249,466,638,4.07,6.97,4.74,4.26,0.14,0.23,182.29,163.97,5.21,8.92,30.07,0.78,38.49,2.877012928,0.074750723,95.69,259.44,0.37,NA,NA,NA,NA,NA,NA,-0.107905397,1.478133428,1.980866555,0.843232778,2.107515226
117,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,YELLOW,low N,low P,LNLP,30/06/2009,5,20,60,23.51,0.7,14.98,0.05,-0.27,-0.27,-0.27,1800,13.69,77.53,15.77,3.62,0.44,311.75,101,3.68,20.55,4.34,0.79,0.4,367,0,-0.68,0.4,0.27,0.68,0.02,0.049,248.06,226.74,1284.21,261.13,59.92,656,500,711,128,4.43,11.22,7.79,7.12,0.14,0.35,268.67,245.58,4.8,12.15,31.85,0.92,34.5,1.923064909,0.055741012,60.37,196.77,0.31,15.9,1.2,15.15,32.25,29.68,61.93,-0.036212173,1.503109437,1.780821176,1.049992857,2.355528142
118,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,YELLOW,low N,low P,LNLP,30/06/2009,6,20,60,23.86,0.7,16.5,0.04,0,0.01,0,1799,15.42,87.69,17.59,4.33,0.33,288.4,100,3.63,19.13,4.01,0.77,0.28,364,0,-0.7,0.01,0,0.7,0,0.045,183.61,171.55,975.61,195.7,48.2,486,294,509,668,0.05,7.75,5.91,5.53,0,0.25,183.12,171.09,0.05,7.73,31.05,1,30.97,2.790898094,0.090128368,89.89,258.43,0.35,24.93,2.09,21.6,48.62,47.11,95.73,0,1.492061605,1.95371138,0.889301703,2.234390722
119,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,BLUE,low N,hi P,LNHP,30/06/2009,1,20,60,24.29,0.7,10.03,0.06,-0.45,-0.39,-0.45,1799.5,9.3,58.26,11.35,3.21,0.16,276.75,100,3.53,21.46,4.44,0.93,0.14,340,0,-0.88,0.52,0.45,0.88,0.048,0.095,152.35,141.3,885.38,172.55,48.8,602,471,683,153,6.85,13.39,4.24,3.94,0.19,0.37,75.71,70.22,3.41,6.66,35.89,2.01,17.84,2.36193507,0.132410583,65.8,248,0.27,16.55,2.59,19.68,38.82,26.04,64.86,0.303196057,1.554973458,1.818225894,1.126780577,2.150142162
120,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,BLUE,low N,hi P,LNHP,30/06/2009,2,20,60,23.3,0.7,25.78,0.06,-0.41,-0.37,-0.41,1799.25,23.62,135.84,27.34,6.62,0.57,287,100,4.68,26.65,5.61,1.05,0.38,364,-0.56,-0.64,0.69,0.41,0.64,0.017,0.027,282.54,258.91,1488.73,299.64,72.54,581,420,647,78,4.46,7.02,10.39,9.52,0.16,0.26,163.54,149.87,2.58,4.06,27.2,1.73,15.74,2.481777326,0.157636032,91.24,259.23,0.35,NA,NA,NA,NA,NA,NA,0.238046103,1.434568904,1.960185277,0.846337112,2.413148825
121,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,BLUE,low N,hi P,LNHP,1/7/09,3,20,60,23.26,0.7,19.19,0.06,-0.24,-0.2,-0.24,1800.25,18.17,101.03,20.69,4.57,0.63,316.5,100,5.12,27.89,5.9,1.08,0.36,357,-0.22,-0.75,0.37,0.24,0.75,0.013,0.041,244.78,231.77,1288.86,263.97,58.24,675,511,721,142,3.08,9.6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.39,267.84,0.29,15.37,2.02,20.69,38.08,30.64,68.72,NA,NA,1.894260664,0.982271233,2.365057221
122,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,BLUE,low N,hi P,LNHP,30/06/2009,4,20,60,23.67,0.7,20.85,0.06,-0.23,-0.21,-0.23,1799.25,19.49,110.79,22.38,5.31,0.51,303.75,99,4.66,25.77,5.41,1.03,0.4,367,-0.13,-0.61,0.39,0.23,0.61,0.012,0.032,353.19,330.25,1877.04,379.23,90.03,740,589,804,221,3.97,10.41,11.37,10.64,0.13,0.34,136.82,127.93,1.54,4.03,31.05,2.58,12.03,1.832822869,0.152359599,59.02,227.17,0.26,11.94,1.82,16.89,30.65,64.38,95.03,0.411619706,1.492061605,1.770999205,1.01745073,2.518842826
123,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,BLUE,low N,hi P,LNHP,30/06/2009,5,20,60,24.12,0.7,18.95,0.07,-0.42,-0.36,-0.42,1799.25,17.68,105.11,20.83,5.45,0.61,295.75,99,5.2,29.56,6.21,1.18,0.61,364,0,-0.6,0.72,0.42,0.6,0.024,0.034,400.8,373.84,2222.85,440.45,115.27,32,707,102,349,8.97,12.71,12.05,11.24,0.27,0.38,132.73,123.8,2.97,4.21,33.27,3.02,11.02,1.573330092,0.142787831,47.29,221.68,0.21,NA,NA,NA,NA,NA,NA,0.480006943,1.522052801,1.674769314,1.104145551,2.572685768
124,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,BLUE,low N,hi P,LNHP,30/06/2009,6,20,60,23.48,0.7,19.14,0.05,-0.62,-0.55,-0.62,1800.75,18.99,111.84,22.39,5.57,0.4,294,101,3.65,22.48,4.72,0.9,0.17,350,-0.11,-1.11,0.58,0.62,1.11,0.033,0.058,265.4,263.22,1550.47,310.46,77.16,577,453,672,111,8.65,15.38,8.04,7.97,0.26,0.47,116.95,115.99,3.81,6.78,33.03,2.27,14.56,2.382615801,0.163696894,72.13,257.15,0.28,NA,NA,NA,NA,NA,NA,0.356025857,1.518908574,1.858115932,1.186956335,2.420318885
125,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,GREEN,hi N,low P,HNLP,16/06/2009,1,20,60,25.22,0.7,5.42,0.04,-0.01,0.06,-0.01,1798,5.24,33.43,6.29,2.07,0.07,264.33,99,2.65,15.18,3.04,0.75,0.06,314,-1,-0.64,0.02,0.01,0.64,0.003,0.122,49.2,47.5,303.24,57.02,18.79,281,115,327,592,0.12,5.81,2.27,2.19,0.01,0.27,106.39,102.71,0.27,12.57,21.69,0.46,46.9,2.39115516,0.050981467,110.24,248.15,0.44,NA,NA,NA,NA,NA,NA,-0.337242168,1.336259552,2.042339205,0.764176132,1.67669361
126,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,GREEN,hi N,low P,HNLP,17/06/2009,2,20,60,24.31,0.7,13.67,0.07,-0.99,-0.93,-0.99,1799,12.11,74.8,14.96,3.74,0.23,292,101,3.93,26.25,5.47,1.09,0.18,351,0,-1.18,0.85,0.99,1.18,0.082,0.097,119.94,106.19,656.11,131.25,32.77,422,326,538,696,8.68,10.31,5.01,4.44,0.36,0.43,273.77,242.37,19.81,23.53,23.94,0.44,54.64,2.729007667,0.049945235,114,240,0.48,NA,NA,NA,NA,NA,NA,-0.356547324,1.379124146,2.056904851,1.013258665,2.026083621
127,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,GREEN,hi N,low P,HNLP,17/06/2009,3,20,60,24.81,0.7,15.92,0.05,-0.66,-0.65,-0.66,1798,14.38,88.31,17.39,4.69,0.26,280,101,3.81,23.85,4.97,0.99,0.24,359,0.17,-0.9,0.74,0.66,0.9,0.046,0.063,91.57,82.69,507.79,99.98,26.97,250,113,336,541,3.81,5.19,3.6,3.25,0.15,0.2,220.46,199.09,9.17,12.49,25.44,0.42,61.24,4.423618608,0.072228896,173.9,385.16,0.45,19.76,3.05,12.61,35.42,19.57,54.99,-0.37675071,1.405517107,2.240299582,0.715167358,1.917452992
128,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,GREEN,hi N,low P,HNLP,17/06/2009,4,20,60,23.44,0.7,16.41,0.05,-0.5,-0.47,-0.5,1799.25,15.19,89.75,17.94,4.49,0.36,298.75,101,3.77,22.07,4.69,0.83,0.25,361,0,-0.84,0.6,0.5,0.84,0.033,0.055,252.23,233.46,1379.29,275.75,69.07,630,494,712,116,7.76,12.94,8.65,8,0.27,0.44,303.46,280.88,9.34,15.57,29.16,0.83,35.09,1.897620372,0.054081385,65.07,263.47,0.25,15.7,2.94,9.84,28.48,43.31,71.79,-0.080921908,1.46478752,1.813380807,1.111934276,2.368212481
129,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,GREEN,hi N,low P,HNLP,17/06/2009,5,20,60,23.92,0.7,20.27,0.06,-0.58,-0.61,-0.58,1801.5,18.67,112.18,22.18,5.87,0.41,286.75,100,4.07,24.18,5.12,0.93,0.36,366,0,-1.04,0.57,0.58,1.04,0.031,0.056,107.08,98.61,592.66,117.18,30.99,242,94,319,499,3.08,5.51,4.7,4.32,0.13,0.24,264.9,243.95,7.61,13.64,22.81,0.4,56.42,4.316870908,0.076515024,189.29,393.18,0.48,NA,NA,NA,NA,NA,NA,-0.397940009,1.358125285,2.277127671,0.741151599,1.993920959
130,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,GREEN,hi N,low P,HNLP,17/06/2009,6,20,60,23.67,0.7,21.01,0.06,-0.16,-0.13,-0.16,1799,19.64,113.33,22.65,5.69,0.47,293,99,5.16,27.73,5.85,1.08,0.38,362,0.5,-0.48,0.33,0.16,0.48,0.008,0.024,263.38,246.23,1420.52,283.84,71.29,671,505,717,137,1.96,6.03,8.08,7.56,0.06,0.19,417.81,390.59,3.12,9.56,32.58,0.63,51.68,2.599403603,0.050295586,79.78,290.3,0.27,15.07,1.83,11.66,28.57,36.68,65.25,-0.200659451,1.51295108,1.901894032,0.780317312,2.391340965
131,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,RED,hi N,hi P,HNHP,9/6/09,1,20,60,24.28,0.7,19.36,0.06,-0.57,-0.53,-0.57,1801,18.41,109.13,21.74,5.54,0.45,309,101,4.2,25.66,5.32,1.1,0.37,368,-1,-0.97,0.59,0.57,0.97,0.031,0.053,277.27,263.61,1562.84,311.41,79.3,649,521,729,190,8.14,13.9,9.01,8.57,0.26,0.45,159.47,151.61,4.68,8,30.76,1.74,17.69,2.147944987,0.121411202,69.83,269.4,0.26,NA,NA,NA,NA,NA,NA,0.240549248,1.487986331,1.844042042,1.1430148,2.420961881
132,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,RED,hi N,hi P,HNHP,9/6/09,2,20,60,24.06,0.7,17.19,0.06,-1.24,-1.22,-1.24,1799.25,14.72,97.43,18.76,5.6,0.2,245.75,100,4,28.18,5.84,1.2,0.2,352,0,-0.77,1.64,1.24,0.77,0.085,0.053,239.32,204.84,1356.08,261.11,77.9,618,547,757,214,17.32,10.78,6.85,5.86,0.5,0.31,103.21,88.34,7.47,4.65,34.95,2.32,15.07,2.511260862,0.166601384,71.85,288.29,0.25,NA,NA,NA,NA,NA,NA,0.365487985,1.54344718,1.856426772,1.032618761,2.311414767
133,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,RED,hi N,hi P,HNHP,16/06/2009,3,20,60,23.17,0.7,20.77,0.05,-0.8,-0.78,-0.8,1799,18.65,109.23,22.07,5.24,0.7,315.33,100,3.54,22.43,4.76,0.84,0.6,378,0,-1.25,0.65,0.8,1.25,0.043,0.067,364.09,326.84,1914.42,386.74,91.86,661,548,766,169,13.97,21.96,7.95,7.14,0.31,0.48,106.73,95.81,4.1,6.44,45.79,3.41,13.42,2.612649406,0.194651997,57.06,223.33,0.26,15.95,1.17,17.46,34.58,11.3,45.88,0.532754379,1.660770644,1.756331767,1.341632336,2.514335202
134,Broadleaved tree,BLT,woody,Acacia melanoxylon,Fabaceae,RED,hi N,hi P,HNHP,3/6/09,4,20,60,23.97,0.7,92.9,0.08,-0.41,-0.2,-0.41,100,8.11,52.89,10.09,3.14,0.09,235,100,8.11,52.89,10.09,3.14,0.09,235,0.5,-0.24,1.79,0.41,0.24,0.05,0.029,1515.27,132.27,862.64,164.52,51.14,98,813,168,553,6.68,3.88,40.52,3.54,0.18,0.1,768.62,67.1,3.39,1.97,37.39,1.97,18.97,2.292551032,0.120871464,61.31,236.65,0.26,16.31,3.56,11.17,31.04,13.4,44.45,0.294466226,1.572755465,1.787531316,0.588831726,2.121461354
