Species,Treatment(CO2_P),Individual,Asat,Amax,A400,gs,Vcmax,Jmax,Vcmax:Jmax,Cit,Ci/Ca
SolanumDulcamara,LowC_highP,purple1l,9.53,27.55,19.31,0.294,100.39,124.88,0.804,225.69,0.682
SolanumDulcamara,LowC_highP,purple4l,9.01,24.89,17.72,0.304,93.87,113.3,0.828,199.17,0.707
SolanumDulcamara,LowC_highP,purple7l,11.6,29.69,21.35,0.669,89.31,133.9,0.667,254.03,0.804
SolanumDulcamara,LowC_highP,white2l,10.85,25.68,18.73,0.488,92.01,116.48,0.79,216.79,0.765
SolanumDulcamara,LowC_highP,white4l,4.32,17.56,10.01,0.134,43.07,81.8,0.527,365.29,0.708
SolanumDulcamara,LowC_highP,white5l,10.81,26.8,20.04,0.502,91.19,121.05,0.753,246.37,0.772
SolanumDulcamara,AmbientC_lowP,purple10a,5.28,12.3,6.21,0.053,30.02,59.31,0.506,483.89,0.573
SolanumDulcamara,AmbientC_lowP,purple11a,9.8,16.93,10.26,0.125,48.05,79.07,0.608,332.25,0.648
SolanumDulcamara,AmbientC_lowP,purple2a,4.81,13.12,7.12,0.044,34.42,62.82,0.548,429.99,0.535
SolanumDulcamara,AmbientC_lowP,purple8a,5.34,10.7,5.11,0.109,22.04,52.15,0.423,716.9,0.777
SolanumDulcamara,AmbientC_lowP,white12a,8.2,13.4,8.13,0.128,33.85,63.71,0.531,411.38,0.711
SolanumDulcamara,AmbientC_lowP,white8a,5.68,13.74,6.76,0.079,30.72,65.42,0.47,548.19,0.682
SolanumDulcamara,AmbientC_highP,purple12a,7.65,15.84,7.7,0.127,34.5,74.38,0.464,602.78,0.726
SolanumDulcamara,AmbientC_highP,purple1a,9.92,18.88,10.36,0.158,44.07,87.03,0.506,531.65,0.713
SolanumDulcamara,AmbientC_highP,white1a,11.15,17.94,11.39,0.226,44.03,82.95,0.531,396.17,0.765
SolanumDulcamara,AmbientC_highP,white3a,8.63,16.75,8.81,0.173,38.66,78.29,0.494,609.59,0.765
SolanumDulcamara,AmbientC_highP,white5a,7.15,13.19,8.09,0.109,35.26,62.95,0.56,426.31,0.706
SolanumDulcamara,AmbientC_highP,white9a,6.11,14.18,6.77,0.072,32.88,67.34,0.488,708.95,0.629
SolanumDulcamara,HighC_lowP,purple12h,8.41,10.61,4.56,0.062,21.26,51.92,0.409,762.46,0.702
SolanumDulcamara,HighC_lowP,purple12h1,8.72,12.22,5.04,0.057,24.82,58.88,0.422,689.3,0.671
SolanumDulcamara,HighC_lowP,purple1h,3.03,3.81,1.67,0.085,8.84,22.72,0.389,1036.99,0.906
SolanumDulcamara,HighC_lowP,purple5h,7.09,9.9,4.36,0.04,24.34,49.19,0.495,798.19,0.617
SolanumDulcamara,HighC_lowP,purple9h,6.74,11.94,4.89,0.02,29.52,57.73,0.511,450.09,0.302
SolanumDulcamara,HighC_lowP,white1h,7.17,9.88,5.02,0.037,23.89,48.9,0.489,554.88,0.59
SolanumDulcamara,HighC_lowP,white5h,11.25,15.45,7.18,0.077,30.59,72.68,0.421,696.95,0.679
SolanumDulcamara,HighC_highP,purple10h,11.15,11.99,6.7,0.092,32.49,57.65,0.564,525.06,0.731
SolanumDulcamara,HighC_highP,purple6h,5.59,7.36,3.28,0.064,20.24,37.77,0.536,1300.74,0.804
SolanumDulcamara,HighC_highP,purple8h,6.77,8.68,4.24,0.06,20.14,43.56,0.462,796.27,0.751
SolanumDulcamara,HighC_highP,white12h,10.29,12.62,6.59,0.064,30.4,60.5,0.502,481.97,0.651
SolanumDulcamara,HighC_highP,white6h,9.76,14.89,5.87,0.062,29.38,70.57,0.416,901.32,0.824
SolanumDulcamara,HighC_highP,white8h,9.32,11.64,5.13,0.085,22.61,56.32,0.401,811.01,0.753
SolanumDulcamara,HighC_highP,white8h1,10.96,12.64,6.41,0.152,26.51,60.44,0.439,677.85,0.829
