variable,group_id,mean,sd,n,se
root_shoot,mu_highp,0.186666667,0.013751521,6,0.005614035
root_shoot,dj_highp,0.172631579,0.025784103,6,0.010526316
total_biomass,ir_lowp,0.811292719,0.032756921,6,0.013372957
total_biomass,ta_lowp,0.780089153,0.043675894,6,0.017830609
total_biomass,yo_lowp,0.96731055,0.021837947,6,0.008915305
total_biomass,mu_lowp,1.052005944,0.032756921,6,0.013372957
total_biomass,dj_lowp,0.936106984,0.043675894,6,0.017830609
total_biomass,ir_highp,1.805349183,0.338488181,6,0.138187221
total_biomass,ta_highp,1.640416048,0.163784604,6,0.066864785
total_biomass,yo_highp,2.527488856,0.15286563,6,0.062407132
total_biomass,mu_highp,2.634472511,0.185622551,6,0.075780089
total_biomass,dj_highp,2.215453195,0.218379472,6,0.089153046
pmass,ir_highp,2.345177665,0.298414994,6,0.121827411
pmass,ta_highp,2.467005076,0.186509371,6,0.076142132
pmass,yo_highp,2.192893401,0.074603749,6,0.030456853
pmass,mu_highp,1.949238579,0.111905623,6,0.045685279
pmass,dj_highp,2.329949239,0.149207497,6,0.060913706
