Blk,Plot,Rx,N,P,Species,Leaf C,Leaf N,Leaf P,Leaf Pi,Leaf Po,%Pi,Leaf 13C,Leaf 15N,Litter 15N,Litter N,Litter N corr,Litter C,Litter 13C,Litter P,Litter P corr,Leaf - Litter15N,Leaf - LitterN,leaf C:N,litter C:N,Leaf - Litterfall P,leaf N:P,litter N:P,Litter organic P,N res,N_res_corr,P res,P_res_corr,N:P res,logN:P_res_cor,N:P_res_corr,transformed_P,N_resorp,P_resorp,N:P_resorp
one,six,C,0,0,HEISCO,49.95,20.53,0.79,0.21,0.58,0.266,-33.84,-0.21,0.48,15.8,12.3872,52.21,-32.17,0.64,0.50176,-0.69,4.73,24.33024842,33.0443038,0.15,25.98734177,24.6875,0.58,23.03945446,39.66,18.98734177,36.49,1.213411268,0.083486349,1.087,0.687831331,23.03945446,18.98734177,1.213411268
one,six,C,0,0,OENOMA,51.96,17.47,0.91,0.17,0.74,0.187,-30.82,-1.24,-0.28,11.2,8.7808,48.02,-32.25,0.49,0.38416,-0.96,6.27,29.74241557,42.875,0.42,19.1978022,22.85714286,0.74,35.89009731,49.74,46.15384615,57.78,0.777618775,-0.149956633,0.861,0.713000163,35.89009731,46.15384615,0.777618775
one,six,C,0,0,TET2PA,48.77,16.7,0.88,0.12,0.76,0.136,-31.4,0.37,1.43,8,6.272,38.21,-31.57,0.31,0.24304,-1.06,8.7,29.20359281,47.7625,0.57,18.97727273,25.80645161,0.76,52.09580838,62.44,64.77272727,72.38,0.804286165,-0.147699175,0.863,0.706822221,52.09580838,64.77272727,0.804286165
two,eleven,N,1,0,ALSEBL,48.46,29.07,0.9,0.18,0.72,0.2,-30.97,1.18,-0.725808862,27.73,21.74032,48.41,-28.93,0.66,0.51744,1.905808862,1.34,16.67010664,17.45762712,0.24,32.3,42.01515152,0.72,4.609563123,25.21,26.66666667,42.51,0.172858617,-0.522265596,0.593,0.710949503,4.609563123,26.66666667,0.172858617
two,eleven,N,1,0,HEISCO,55.73,21.39,0.72,0.19,0.53,0.264,-31.7,-0.32,0.736132585,16.02,12.55968,56.65,-29.4,0.42,0.32928,-1.056132585,5.37,26.05423095,35.36204744,0.3,29.70833333,38.14285714,0.53,25.10518934,41.28,41.66666667,54.27,0.602524544,-0.273472248,0.761,0.672607017,25.10518934,41.66666667,0.602524544
two,eleven,N,1,0,OENOMA,52.66,16.65,0.93,0.18,0.75,0.194,-31.08,-0.18,-0.01,14.2,11.1328,49.4,-32.38,0.43,0.33712,-0.17,2.45,31.62762763,34.78873239,0.5,17.90322581,33.02325581,0.75,14.71471471,33.14,53.76344086,63.75,0.273693694,-0.654347163,0.52,0.717075285,14.71471471,53.76344086,0.273693694
two,eleven,N,1,0,TET2PA,45.48,14.75,0.6,0.05,0.55,0.083,-31.65,-0.21,0.472471224,9.93,7.78512,43.97,-29.08,0.31,0.24304,-0.682471224,4.82,30.83389831,44.27995972,0.29,24.58333333,32.03225806,0.55,32.6779661,47.22,48.33333333,59.49,0.67609585,-0.23105678,0.794,0.645656306,32.6779661,48.33333333,0.67609585
two,twelve,C,0,0,ALSEBL,47.88,29.87,0.9,0.15,0.75,0.167,-32.02,-0.97,-1.433190841,27.08,21.23072,43.08,-32.85,1.01,0.79184,0.463190841,2.79,16.029461,15.9084195,-0.11,33.18888889,26.81188119,0.75,9.340475393,28.92,-12.22222222,12.02,-0.764220714,0.878247765,2.407,0.710949503,9.340475393,NA,NA
two,twelve,C,0,0,HEISCO,52.18,19.45,0.66,0.18,0.48,0.273,-33.36,-1.55,-0.809652631,14.46,11.33664,51.22,-31.81,0.45,0.3528,-0.740347369,4.99,26.8277635,35.42185339,0.21,29.46969697,32.13333333,0.48,25.65552699,41.71,31.81818182,46.55,0.806316563,-0.109594151,0.896,0.659260388,25.65552699,31.81818182,0.806316563
two,twelve,C,0,0,OENOMA,51.85,18.09,0.94,0.17,0.77,0.181,-31.47,-1.46,-0.93,13.7,10.7408,51.47,-33.34,0.42,0.32928,-0.53,4.39,28.66224433,37.56934307,0.52,19.24468085,32.61904762,0.77,24.26755113,40.63,55.31914894,64.97,0.438682655,-0.469526549,0.625,0.719099657,24.26755113,55.31914894,0.438682655
two,twelve,C,0,0,TET2PA,44.28,10.6,0.47,0.05,0.42,0.106,-30.48,0.08,-0.478577398,10.32,8.09088,42.95,-30.84,0.44,0.34496,0.558577398,0.28,41.77358491,41.61821705,0.03,22.55319149,23.45454545,0.42,2.641509434,23.67,6.382978723,26.6,0.413836478,-0.116822898,0.89,0.615383756,2.641509434,6.382978723,0.413836478
two,fourteen,P,0,1,ALSEBL,44.47,15.2,0.89,0.06,0.83,0.067,-33.01,1.43,0.486570869,17.4,13.6416,47.27,-29.38,1.34,1.05056,0.943429131,-2.2,29.25657895,27.16666667,-0.45,17.07865169,12.98507463,0.83,-14.47368421,10.25,-50.56179775,,0.28625731,,,0.708890173,NA,NA,NA
two,fourteen,P,0,1,HEISCO,49.06,19.07,1.05,0.19,0.86,0.181,-31.45,-0.43,1.132277903,18.23,14.29232,51.22,-33.34,1.61,1.26224,-1.562277903,0.84,25.72627163,28.09654416,-0.56,18.16190476,11.32298137,0.86,4.404824331,25.05,-53.33333333,,-0.082590456,,,0.740774899,4.404824331,NA,NA
two,fourteen,P,0,1,OENOMA,51.64,17.42,1.08,0.2,0.88,0.185,-32.21,-0.87,-1.02,12.1,9.4864,49.12,-33.1,0.47,0.36848,0.15,5.32,29.64408726,40.59504132,0.61,16.12962963,25.74468085,0.88,30.53960964,45.54,56.48148148,65.88,0.540701286,-0.369199273,0.691,0.746493983,30.53960964,56.48148148,0.540701286
two,fourteen,P,0,1,TET2PA,45.61,18.7,1.26,0.27,0.99,0.214,-30.03,1.14,1.30744379,7.569,5.934096,41.09,-30.75,0.34,0.26656,-0.16744379,11.131,24.39037433,54.2872242,0.92,14.84126984,22.26176471,0.99,59.52406417,68.27,73.01587302,78.84,0.815220879,-0.144052325,0.866,0.779026108,59.52406417,73.01587302,0.815220879
two,fifteen,NP,1,1,HEISCO,49.06,19.07,1.5,0.21,1.29,0.14,-31.45,-0.43,0.140244137,16.54,12.96736,52.82,-30.44,1.68,1.31712,-0.570244137,2.53,25.72627163,31.93470375,-0.18,12.71333333,9.845238095,1.29,13.26691138,32,-12,12.19,-1.105575948,0.964995232,2.625,0.817574476,13.26691138,NA,NA
two,fifteen,NP,1,1,OENOMA,52.19,17.42,1.12,0.24,0.88,0.214,-32.34,-2.11,-0.3,13.6,10.6624,48.51,-32.15,1.23,0.96432,-1.81,3.82,29.9598163,35.66911765,-0.11,15.55357143,11.05691057,0.88,21.92881745,38.79,-9.821428571,13.9,-2.232752322,1.026330172,2.791,0.753988716,21.92881745,NA,NA
two,fifteen,NP,1,1,TET2PA,45.49,13.73,0.7,0.15,0.55,0.214,-32.49,0.72,0.968642894,13.3,10.4272,42.32,-31.48,0.54,0.42336,-0.248642894,0.43,33.13182811,31.81954887,0.16,19.61428571,24.62962963,0.55,3.131828114,24.06,22.85714286,39.52,0.13701748,-0.496449313,0.609,0.668187772,3.131828114,22.85714286,0.13701748
three,twentytwo,NP,1,1,ALSEBL,42.58,23.1,1.18,0.16,1.02,0.136,-30.21,-0.49,-0.05,22.6,17.7184,44.35,-29.93,1.27,0.99568,-0.44,0.5,18.43290043,19.62389381,-0.09,19.57627119,17.79527559,1.02,2.164502165,23.3,-7.627118644,15.62,-0.283790284,0.39974945,1.491,0.764947804,2.164502165,NA,NA
three,twentytwo,NP,1,1,HEISCO,35.62,21.1,1.19,0.18,1.01,0.151,-33.8,-0.66,0.5,17.1,13.4064,51.92,-34.04,1,0.784,-1.16,4,16.88151659,30.3625731,0.19,17.73109244,17.1,1.01,18.95734597,36.46,15.96638655,34.12,1.187328511,0.0664712,1.069,0.766741064,18.95734597,15.96638655,1.187328511
three,twentytwo,NP,1,1,OENOMA,52.13,16.23,1.03,0.3,0.73,0.291,-32.32,-1.56,-2.17,14.6,11.4464,48.97,-32.2,0.86,0.67424,0.61,1.63,32.11953173,33.54109589,0.17,15.75728155,16.97674419,0.73,10.04313001,29.47,16.50485437,34.54,0.608495524,-0.158610245,0.853,0.736915896,10.04313001,16.50485437,0.608495524
three,twentytwo,NP,1,1,TET2PA,32.26,13.62,0.78,0.16,0.62,0.205,-30.74,0.49,0.28,9.5,7.448,39.06,-29.89,0.38,0.29792,0.21,4.12,23.68575624,41.11578947,0.4,17.46153846,25,0.62,30.24963289,45.32,51.28205128,61.81,0.589867841,-0.310332522,0.733,0.685680114,30.24963289,51.28205128,0.589867841
three,twentythree,N,1,0,ALSEBL,34.55,24.37,0.78,0.13,0.65,0.167,-31.88,1.05,0.612815709,22.82,17.89088,46.42,-30,0.6,0.4704,0.437184291,1.55,14.17726713,20.34180543,0.18,31.24358974,38.03333333,0.65,6.360279032,26.59,23.07692308,39.69,0.275612091,-0.400755391,0.67,0.685680114,6.360279032,23.07692308,0.275612091
three,twentythree,N,0,0,HEISCO,38.09,22.3,0.72,0.14,0.58,0.194,-33.45,0.86,1.225775583,16.79,13.16336,52.02,-29.81,0.45,0.3528,-0.365775583,5.51,17.08071749,30.98272781,0.27,30.97222222,37.31111111,0.58,24.70852018,40.97,37.5,51,0.658893871,-0.218949422,0.803,0.672607017,24.70852018,37.5,0.658893871
three,twentythree,N,0,0,OENOMA,52.69,17.37,0.91,0.23,0.68,0.253,-31.68,-0.65,0.51,14,10.976,51.5,-31.28,0.5,0.392,-1.16,3.37,30.33390904,36.78571429,0.41,19.08791209,28,0.68,19.40126655,36.81,45.05494505,56.92,0.430613477,-0.435915172,0.647,0.713000163,19.40126655,45.05494505,0.430613477
three,twentythree,N,0,0,TET2PA,37.32,13.05,0.47,0.03,0.44,0.064,-31.27,1.51,1.419671479,10.52,8.24768,43.89,-29.24,0.32,0.25088,0.090328521,2.53,28.59770115,41.72053232,0.15,27.76595745,32.875,0.44,19.38697318,36.8,31.91489362,46.62,0.607458493,-0.23657583,0.789,0.615383756,19.38697318,31.91489362,0.607458493
three,twentyfour,P,0,1,ALSEBL,45.64,21.36,2.04,0.67,1.37,0.328,-31.75,-0.21,0.03,21.44,16.80896,45.95,-32.4,1.07,0.83888,-0.24,-0.08,21.3670412,21.43190299,0.97,10.47058824,20.03738318,1.37,-0.374531835,21.31,47.54901961,58.88,-0.007876752,-1.016468883,0.362,0.884933268,NA,47.54901961,NA
three,twentyfour,P,0,1,HEISCO,50.73,19.14,1.43,0.37,1.06,0.259,-32.02,0.35,0.07,18.34,14.37856,54.1,-33.07,1.46,1.14464,0.28,0.8,26.50470219,29.49836423,-0.03,13.38461538,12.56164384,1.06,4.179728318,24.88,-2.097902098,19.96,-1.992337165,0.22044794,1.247,0.806901316,4.179728318,NA,NA
three,twentyfour,P,0,1,OENOMA,52.48,17.39,0.9,0.16,0.74,0.178,-32.24,-1.14,-1.24,14.7,11.5248,49.98,-34.5,0.65,0.5096,0.1,2.69,30.17826337,34,0.25,19.32222222,22.61538462,0.74,15.46866015,33.73,27.77777778,43.38,0.556871765,-0.251635837,0.778,0.710949503,15.46866015,27.77777778,0.556871765
three,twentyfour,P,0,1,TET2PA,44.37,15.03,0.83,0.13,0.7,0.157,-31.46,1.35,-0.4,11.68,9.15712,41.49,-30.61,0.6,0.4704,1.75,3.35,29.52095808,35.52226027,0.23,18.10843373,19.46666667,0.7,22.28875582,39.07,27.71084337,43.33,0.804333362,-0.103269662,0.902,0.69635493,22.28875582,27.71084337,0.804333362
three,twentysix,C,0,0,ALSEBL,54.25,24.45,0.93,0.14,0.79,0.151,-32.82,-1.61,-1.75,20.4,15.9936,46.61,-30.65,0.82,0.64288,0.14,4.05,22.18813906,22.84803922,0.11,26.29032258,24.87804878,0.79,16.56441718,34.59,11.82795699,30.87,1.40044618,0.113577675,1.12,0.717075285,16.56441718,11.82795699,1.40044618
three,twentysix,C,0,0,HEISCO,47.36,20.42,0.67,0.1,0.57,0.149,-33.69,-1.15,-1.3,16.1,12.6224,51.77,-32.96,0.55,0.4312,0.15,4.32,23.19294809,32.1552795,0.12,30.47761194,29.27272727,0.57,21.15572968,38.19,17.91044776,35.64,1.181194907,0.068952512,1.071,0.661503159,21.15572968,17.91044776,1.181194907
three,twentysix,C,0,0,OENOMA,52.3,16.08,0.92,0.17,0.75,0.185,-32.8,-1.7,-0.42,12.6,9.8784,49.46,-29.14,0.34,0.26656,-1.28,3.48,32.52487562,39.25396825,0.58,17.47826087,37.05882353,0.75,21.64179104,38.57,63.04347826,71.03,0.343283582,-0.610645986,0.543,0.715042106,21.64179104,63.04347826,0.343283582
three,twentysix,C,0,0,TET2PA,49.09,14.15,0.63,0.13,0.5,0.206,-31.4,0.64,-1.05,8.2,6.4288,40.15,-31.32,0.24,0.18816,1.69,5.95,34.69257951,48.96341463,0.39,22.46031746,34.16666667,0.5,42.04946996,54.57,61.9047619,70.13,0.679260669,-0.250972838,0.778,0.652489462,42.04946996,61.9047619,0.679260669
four,twentyeight,N,1,0,ALSEBL,46.09,35.85,1.01,0.09,0.92,0.089,-31.8,1.97,1.73151722,23.86,18.70624,46.85,-30.05,1.04,0.81536,0.23848278,11.99,12.85634589,19.63537301,-0.03,35.4950495,22.94230769,0.92,33.44490934,47.82,-2.97029703,19.27,-11.25978615,0.908844603,2.481,0.733020149,33.44490934,NA,NA
four,twentyeight,N,1,0,HEISCO,44.15,20.2,0.68,0.1,0.58,0.147,-32.62,0.6,1.48958827,17.64,13.82976,53.67,-30.91,0.96,0.75264,-0.88958827,2.56,21.85643564,30.42517007,-0.28,29.70588235,18.375,0.58,12.67326733,31.54,-41.17647059,,-0.307779349,,,0.663738697,12.67326733,NA,NA
four,twentyeight,N,1,0,OENOMA,52.66,18.17,0.91,0.17,0.74,0.187,-32.94,-0.23,1.17,13.5,10.584,NA,NA,0.37,0.29008,-1.4,4.67,28.98183819,NA,0.54,19.96703297,36.48648649,0.74,25.70170611,41.75,59.34065934,68.12,0.433121344,-0.489613277,0.613,0.713000163,25.70170611,59.34065934,0.433121344
four,twentyeight,N,1,0,TET2PA,45.36,16.9,0.71,0.07,0.64,0.099,-32.35,2.35,0.98926173,10.79,8.45936,42.47,-31.28,0.47,0.36848,1.36073827,6.11,26.84023669,39.360519,0.24,23.8028169,22.95744681,0.64,36.15384615,49.94,33.8028169,48.1,1.069551282,0.037603241,1.038,0.67040116,36.15384615,33.8028169,1.069551282
four,thrity,P,0,1,ALSEBL,41.75,27.15,1.91,0.6,1.31,0.314,-31.91,-1.39,-1.306970703,17.38,13.62592,45.87,-30.01,0.6,0.4704,-0.083029297,9.77,15.37753223,26.39240506,1.31,14.21465969,28.96666667,1.31,35.98526703,49.81,68.58638743,75.37,0.524670687,-0.414167301,0.661,0.871019148,35.98526703,68.58638743,0.524670687
four,thrity,P,0,1,OENOMA,52,17.39,0.97,0.25,0.72,0.258,-32.4,-0.55,-0.88,14.1,11.0544,50.97,-31.37,0.52,0.40768,0.33,3.29,29.90224267,36.14893617,0.45,17.92783505,27.11538462,0.72,18.91891892,36.43,46.39175258,57.97,0.407807808,-0.464485819,0.628,0.725119498,18.91891892,46.39175258,0.407807808
four,thrity,P,0,1,TET2PA,42.93,13.99,1.26,0.34,0.92,0.27,-29.7,1.4,0.241463789,8.39,6.57776,39.75,-30.67,0.43,0.33712,1.158536211,5.6,30.68620443,47.37783075,0.83,11.1031746,19.51162791,0.92,40.02859185,52.98,65.87301587,73.24,0.607662961,-0.323842316,0.723,0.779026108,40.02859185,65.87301587,0.607662961
four,thirtyfive,NP,1,1,ALSEBL,43.75,22.06,0.93,0.12,0.81,0.129,-31.99,1.48,1.73151722,23.86,18.70624,46.85,-30.05,0.98,0.76832,-0.25151722,-1.8,19.83227561,19.63537301,-0.05,23.72043011,24.34693878,0.81,-8.159564823,15.2,-5.376344086,17.38,1.517679057,-0.134118396,0.874,0.717075285,NA,NA,NA
four,thirtyfive,NP,1,1,HEISCO,43.1,24.83,1.73,0.44,1.29,0.254,-32.78,1.19,1.48958827,17.64,13.82976,53.67,-30.91,0.64,0.50176,-0.29958827,7.19,17.35803464,30.42517007,1.09,14.35260116,27.5625,1.29,28.95690697,44.3,63.00578035,71,0.459591276,-0.471596351,0.624,0.84941242,28.95690697,63.00578035,0.459591276
four,thirtyfive,NP,1,1,OENOMA,52.49,17.68,1.02,0.28,0.74,0.275,-32.01,-1.38,-0.44,12.6,9.8784,48.98,-32.64,1.15,0.9016,-0.94,5.08,29.68891403,38.87301587,-0.13,17.33333333,10.95652174,0.74,28.73303167,44.13,-12.74509804,11.61,-2.25443787,1.335383967,3.801,0.734972599,28.73303167,NA,NA
four,thirtyfive,NP,1,1,TET2PA,40.15,14.04,0.82,0.15,0.67,0.183,-32.53,1.49,0.98926173,10.79,8.45936,42.47,-31.28,0.42,0.32928,0.50073827,3.25,28.5968661,39.360519,0.4,17.12195122,25.69047619,0.67,23.14814815,39.75,48.7804878,59.84,0.474537037,-0.409176294,0.664,0.69423634,23.14814815,48.7804878,0.474537037
four,thritysix,C,0,0,HEISCO,37.4,21.41,0.58,0.1,0.48,0.172,-32.98,0.06,1.10054091,16.57,12.99088,50.31,-32.12,0.49,0.38416,-1.04054091,4.84,17.46847268,30.36210018,0.09,36.9137931,33.81632653,0.48,22.60625876,39.32,15.51724138,33.77,1.456847787,0.152377311,1.165,0.641067406,22.60625876,15.51724138,1.456847787
four,thritysix,C,0,0,OENOMA,52.78,17.83,0.92,0.17,0.75,0.185,-32.13,0.21,NA,17.8,13.9552,52.78,NA,0.53,0.41552,,0.03,29.60179473,29.65168539,0.39,19.38043478,33.58490566,0.75,0.168255749,21.73,42.39130435,54.83,0.00396911,-0.925542909,0.396,0.715042106,0.168255749,42.39130435,0.00396911
four,thritysix,C,0,0,TET2PA,40.35,15.06,0.57,0.05,0.52,0.088,-29.64,1.56,1.982865816,8.97,7.03248,41.72,-29.74,0.3,0.2352,-0.422865816,6.09,26.79282869,46.51059086,0.27,26.42105263,29.9,0.52,40.43824701,53.3,47.36842105,58.74,0.853696326,-0.097063562,0.907,0.638763175,40.43824701,47.36842105,0.853696326
