Site_name,numex_block,PlotID,PlotTreat,plant_id,Tree_species,LeaveNo,seedling_height,seedling_length,seedling_diameter,hole_area,leaf_area,specific_leaf_area,biomass_root,biomass_shoot,biomass_leaf,leaf_N,leaf_P
Bombuscaro,1,2,P,CR-p-03,Clarisia racemosa,8,35,40,3.88,0.35,202.51,202.16,1.56,1.16,1,28.12247,1.973735598
Bombuscaro,1,2,P,CR-p-04,Clarisia racemosa,3,16,16,2.68,0.18,51.14,364,0.42,0.17,0.14,34.82067,1.409008707
Bombuscaro,1,2,P,CR-p-05,Clarisia racemosa,4,13,13,1.46,0.48,9.73,308.33,0.04,0.05,0.03,39.06852,NULL
Bombuscaro,1,2,P,PT-p-01,Pouteria torta,4,27,28,3.68,0.05,43.6,256.18,0.48,0.65,0.17,18.60691,1.204860172
Bombuscaro,1,2,P,PT-p-02,Pouteria torta,5,23,23,3.96,0.293,122.853,207.73,1.93,0.85,0.59,31.18203,1.12028672
Bombuscaro,1,2,P,PT-p-03,Pouteria torta,2,21,21,3.31,0,23.58,262,0.48,0.5,0.09,23.34124,1.234682424
Bombuscaro,1,2,P,PT-p-04,Pouteria torta,7,36,36,5.01,9.98,222.19,230.66,1.64,1.69,0.92,19.15598,0.993877224
Bombuscaro,1,2,P,PT-p-05,Pouteria torta,3,35,38.5,4.56,0.04,79.54,193.9,0.86,1.41,0.41,18.01859,0.902885219
Bombuscaro,1,3,N,CR-n-01,Clarisia racemosa,4,20,25,2.13,1.22,76.03,267.18,0.38,0.2,0.28,31.41195,1.192254029
Bombuscaro,1,3,N,CR-n-02,Clarisia racemosa,5,24,24,2.77,0,47.04,294,0.16,0.17,0.16,28.58156,1.276075373
Bombuscaro,1,3,N,CR-n-03,Clarisia racemosa,6,24,26,2.76,0.003,70.213,270.04,0.48,0.38,0.26,31.0105,1.13589163
Bombuscaro,1,3,N,CR-n-04,Clarisia racemosa,7,30,36,3.44,0,172.62,261.55,0.67,0.61,0.66,18.95334,1.021893008
Bombuscaro,1,3,N,CR-n-05,Clarisia racemosa,8,18,21,2.5,0.4,97.21,261.65,0.66,0.2,0.37,31.98449,1.319732215
Bombuscaro,1,3,N,PT-n-01,Pouteria torta,6,28,28,4.61,16.62,271.44,173.35,2.11,1.88,1.47,19.99873,0.71789172
Bombuscaro,1,3,N,PT-n-02,Pouteria torta,5,24,24,3.31,0.12,153.64,219.31,0.73,0.77,0.7,21.49437,0.883649655
Bombuscaro,1,3,N,PT-n-03,Pouteria torta,3,28,28,3.35,0.07,65.01,270.58,0.61,0.95,0.24,21.86635,0.97316087
Bombuscaro,1,3,N,PT-n-04,Pouteria torta,4,19,24,2.86,0.59,77.82,241.34,0.43,0.5,0.32,NULL,NULL
Bombuscaro,1,3,N,PT-n-05,Pouteria torta,6,19,19,2.91,6.42,66.17,239,0.39,0.33,0.25,19.45953,1.028155838
Bombuscaro,1,4,con,CR-con-01,Clarisia racemosa,4,39,39,4.47,0,71.3,216.06,0.84,0.61,0.33,22.28729,0.871932322
Bombuscaro,1,4,con,CR-con-02,Clarisia racemosa,4,27,30,4.17,3.39,87.96,291.62,0.63,0.51,0.29,29.27307,0.996649247
Bombuscaro,1,4,con,CR-con-03,Clarisia racemosa,8,32,40,3.97,2.22,202.32,263.29,1.05,0.63,0.76,29.07519,1.213663469
Bombuscaro,1,4,con,CR-con-04,Clarisia racemosa,5,24,26,2.1,0.59,68.76,340.85,0.14,0.19,0.2,36.65337,1.361886584
Bombuscaro,1,4,con,PT-con-01,Pouteria torta,3,18,18,2.9,0,23.43,292.88,0.19,0.11,0.08,24.9731,1.282014725
Bombuscaro,1,4,con,PT-con-02,Pouteria torta,4,19.5,19.5,2.27,1.12,71.49,234.57,0.28,0.25,0.3,21.79699,0.908668187
Bombuscaro,1,4,con,PT-con-03,Pouteria torta,6,28.5,28.5,3.07,0.82,158.45,246.3,0.37,0.65,0.64,21.06246,0.849892533
Bombuscaro,1,4,con,PT-con-04,Pouteria torta,5,14,14,3.65,0,77.59,235.12,0.36,0.26,0.33,21.14888,0.941913009
Bombuscaro,1,4,con,PT-con-05,Pouteria torta,2,29,29,4.75,0.63,111.02,197.13,1.58,1.78,0.56,17.67166,0.768381818
Bombuscaro,2,5,NP,CR-np-06,Clarisia racemosa,4,13,13,1,0.28,36.88,366,0.09,0.1,0.1,31.26067,1.452923641
Bombuscaro,2,5,NP,CR-np-07,Clarisia racemosa,4,15,30,2,0.16,62.99,251.32,0.35,0.34,0.25,26.46907,1.122981905
Bombuscaro,2,5,NP,CR-np-08,Clarisia racemosa,3,23,25,2,0.04,36.07,277.15,0.31,0.19,0.13,29.56551,1.245283602
Bombuscaro,2,5,NP,CR-np-09,Clarisia racemosa,3,29,29,3,0,21.85,312.14,0.37,0.28,0.07,37.20152,1.696346243
Bombuscaro,2,5,NP,CR-np-10,Clarisia racemosa,2,43,44,3,0,34.68,231.2,0.97,0.49,0.15,24.34693,1.00976278
Bombuscaro,2,5,NP,PT-np-06,Pouteria torta,4,21,21,2,4.71,45.3,253.69,0.23,0.24,0.16,22.76888,0.724941157
Bombuscaro,2,5,NP,PT-np-07,Pouteria torta,3,28,28,3,0.4,100.9,209.38,0.81,0.43,0.48,23.45419,0.613907832
Bombuscaro,2,5,NP,PT-np-08,Pouteria torta,3,15,15,2,6.33,66.2,193.13,0.62,0.26,0.31,22.3822,0.64828262
Bombuscaro,2,6,P,CR-p-06,Clarisia racemosa,2,11,14,2,0,18.86,235.75,0.46,0.04,0.08,23.55933,1.172233375
Bombuscaro,2,6,P,CR-p-07,Clarisia racemosa,2,25,27,2,0,20.24,202.4,0.36,0.21,0.1,26.01371,2.508244308
Bombuscaro,2,6,P,CR-p-08,Clarisia racemosa,3,20,22,2,0,41.46,276.4,0.33,0.1,0.15,15.6298,0.731605252
Bombuscaro,2,6,P,CR-p-09,Clarisia racemosa,1,20,20,2,0,12.76,255.2,0.16,0.13,0.05,24.70615,1.207947224
Bombuscaro,2,6,P,CR-p-10,Clarisia racemosa,4,16,26,2,0.56,78.1,250.13,0.33,0.27,0.31,21.75438,0.895499689
Bombuscaro,2,6,P,PT-p-06,Pouteria torta,3,31,31,3,0.04,106.13,200.17,0.41,0.92,0.53,19.86484,0.814520235
Bombuscaro,2,7,N,CR-n-06,Clarisia racemosa,2,17,17,2,0,18.46,263.71,0.25,0.14,0.07,22.25815,0.896926268
Bombuscaro,2,7,N,CR-n-07,Clarisia racemosa,3,25,27,2,0.11,23.83,237.2,0.13,0.14,0.1,29.75262,1.347103412
Bombuscaro,2,7,N,CR-n-08,Clarisia racemosa,2,19,19,1,0,20.54,256.75,NULL,0.15,0.08,29.33472,1.287829941
Bombuscaro,2,7,N,CR-n-09,Clarisia racemosa,4,15,15.5,1,1.16,13.92,638,0.23,0.03,0.02,39.65169,2.857130076
Bombuscaro,2,7,N,CR-n-10,Clarisia racemosa,2,23,23,1,0,22.93,458.6,0.11,0.06,0.05,45.23728,3.332326995
Bombuscaro,2,8,con,CR-con-06,Clarisia racemosa,7,30,34,3,0.12,68.83,214.72,1,0.47,0.32,21.76259,0.730920041
Bombuscaro,2,8,con,CR-con-07,Clarisia racemosa,7,29,32,2,0.69,66.79,244.81,0.58,0.35,0.27,22.50659,1.202091396
Bombuscaro,2,8,con,CR-con-08,Clarisia racemosa,4,17,18.5,2,1.08,44.85,312.64,NULL,0.14,0.14,29.77024,1.288827836
Bombuscaro,2,8,con,CR-con-09,Clarisia racemosa,2,20,25,2,0.01,25.73,142.89,0.32,0.28,0.18,22.71119,1.139328878
Bombuscaro,2,8,con,CR-con-10,Clarisia racemosa,4,24,24,2,0.27,65.72,233.75,0.37,0.25,0.28,23.40488,1.233490529
Bombuscaro,2,8,con,PT-con-06,Pouteria torta,4,20,20,3,0.35,49.95,261.05,0.36,0.22,0.19,20.07796,0.9327683
Bombuscaro,2,8,con,PT-con-07,Pouteria torta,3,23,26,3,0.86,53.85,240.86,0.41,0.45,0.22,20.42794,0.858138043
Bombuscaro,2,8,con,PT-con-08,Pouteria torta,4,30,30,3,0.01,92.02,242.13,0.32,1.06,0.38,19.36829,0.857931855
Bombuscaro,2,8,con,PT-con-09,Pouteria torta,3,25,27,3,0,40.56,450.67,0.56,0.17,0.09,22.25142,1.224098906
Bombuscaro,2,8,con,PT-con-10,Pouteria torta,5,20,20,1,0.22,54.52,258.57,0.43,0.17,0.21,23.29741,1.26081156
Bombuscaro,3,9,NP,CR-np-11,Clarisia racemosa,3,26,26,1.65,0.08,16.89,120.07,NULL,0.16,0.14,30.3112,2.306873182
Bombuscaro,3,9,NP,CR-np-12,Clarisia racemosa,5,20,20,1.94,0.13,46.51,289.88,NULL,0.17,0.16,32.03404,1.738936488
Bombuscaro,3,9,NP,CR-np-13,Clarisia racemosa,4,20,23,1.66,0.62,50.78,278.67,0.15,0.15,0.18,28.30794,1.77872627
Bombuscaro,3,9,NP,CR-np-14,Clarisia racemosa,1,20,20,1.33,0.25,3.95,370,0.08,0.07,0.01,NULL,NULL
Bombuscaro,3,9,NP,CR-np-15,Clarisia racemosa,4,15,16,1.5,0.31,28.53,313.56,0.09,0.07,0.09,29.45109,1.557132172
Bombuscaro,3,9,NP,PT-np-11,Pouteria torta,2,23,23,2,0.01,30.4,233.77,0.43,0.39,0.13,21.70951,1.129948037
Bombuscaro,3,9,NP,PT-np-12,Pouteria torta,3,25,27,3,0.03,95.99,199.92,0.76,0.86,0.48,19.10693,0.668876112
Bombuscaro,3,9,NP,PT-np-13,Pouteria torta,3,28,29,2.9,6.31,132.79,218.07,0.88,0.86,0.58,19.71256,0.608786058
Bombuscaro,3,9,NP,PT-np-14,Pouteria torta,5,38,38,4.23,11.14,194.64,176.44,1.55,1.56,1.04,19.83895,0.599726595
Bombuscaro,3,9,NP,PT-np-15,Pouteria torta,3,30,35,3.82,5.26,127.33,554.86,NULL,1.07,0.22,19.82949,0.682468208
Bombuscaro,3,10,P,CR-p-11,Clarisia racemosa,7,21,22,2.22,0,93.64,302.06,0.33,0.2,0.31,NULL,NULL
Bombuscaro,3,10,P,CR-p-12,Clarisia racemosa,7,24,25,2.1,0,123.59,325.24,0.34,0.22,0.38,NULL,NULL
Bombuscaro,3,10,P,CR-p-13,Clarisia racemosa,5,20,22,1.88,0.65,66.36,262.84,0.29,0.19,0.25,28.89291,1.019291248
Bombuscaro,3,10,P,CR-p-14,Clarisia racemosa,2,25,27,2,0.17,40.3,250.81,0.19,0.18,0.16,26.95031,1.079156536
Bombuscaro,3,10,P,CR-p-15,Clarisia racemosa,3,20,29,1.79,1.12,44.08,268.5,0.18,0.12,0.16,28.80771,0.978007052
Bombuscaro,3,10,P,PT-p-11,Pouteria torta,3,19,19,3.06,3.17,87.36,255.12,0.42,0.39,0.33,22.29347,1.404442034
Bombuscaro,3,10,P,PT-p-12,Pouteria torta,2,28,28,3.03,0.37,34.28,188.39,0.47,0.53,0.18,19.16757,0.935117543
Bombuscaro,3,10,P,PT-p-13,Pouteria torta,6,30,30,3.82,17.1,169.72,93.06,1.99,1.31,1.64,30.21883,2.341247431
Bombuscaro,3,10,P,PT-p-14,Pouteria torta,4,30,30,3.4,0.01,103.75,199.5,0.46,0.61,0.52,19.68617,0.732931813
Bombuscaro,3,10,P,PT-p-15,Pouteria torta,2,20,20,2.12,0.07,22.26,277.38,0.26,0.21,0.08,20.02523,0.750076445
Bombuscaro,3,11,N,CR-n-11,Clarisia racemosa,4,21,24,1.65,0,59.33,148.33,0.61,0.41,0.4,30.25795,1.778899684
Bombuscaro,3,11,N,CR-n-12,Clarisia racemosa,5,15,23,1.87,0.79,85.22,172.31,1.15,0.33,0.49,27.98749,1.561172354
Bombuscaro,3,11,N,CR-n-13,Clarisia racemosa,4,25,27,2.36,0,37.67,121.52,0.51,0.2,0.31,24.95789,1.595252534
Bombuscaro,3,11,N,CR-n-14,Clarisia racemosa,5,15.5,22.2,2.15,1.33,96.35,271.49,0.51,0.18,0.35,27.70306,1.86750133
Bombuscaro,3,11,N,CR-n-15,Clarisia racemosa,10,24.2,29.1,2.51,0.06,58.71,279.29,0.33,0.32,0.21,28.9977,2.501698511
Bombuscaro,3,11,N,PT-n-12,Pouteria torta,4,24,24,2.28,0.19,66.05,235.21,0.39,0.38,0.28,22.02602,0.809175194
Bombuscaro,3,11,N,PT-n-13,Pouteria torta,2,15,15,1.9,0,40.11,222.83,0.38,0.19,0.18,21.02503,0.910624415
Bombuscaro,3,11,N,PT-n-14,Pouteria torta,3,19.5,20,2.49,0,54.35,209.04,0.24,0.31,0.26,20.82159,0.930637651
Bombuscaro,3,11,N,PT-n-15,Pouteria torta,4,18.5,18.5,2.29,1.37,49.03,226.95,0.33,0.35,0.21,21.8446,1.132954935
Bombuscaro,3,12,con,CR-con-11,Clarisia racemosa,7,26,28,1.83,0.14,91.18,379.33,0.28,0.14,0.24,32.50739,1.322109876
Bombuscaro,3,12,con,CR-con-12,Clarisia racemosa,5,18.5,20,2.16,0.33,53.32,278.89,0.24,0.13,0.19,28.53808,1.165763053
Bombuscaro,3,12,con,CR-con-13,Clarisia racemosa,8,20,22,2.84,0.51,78.6,278.89,0.56,0.18,0.28,27.94184,1.200983043
Bombuscaro,3,12,con,CR-con-14,Clarisia racemosa,5,28.5,30,2.29,0,88.37,259.91,0.86,0.32,0.34,26.87197,0.936999861
Bombuscaro,3,12,con,CR-con-15,Clarisia racemosa,5,18.5,20,2.21,0.01,64.63,359,0.23,0.14,0.18,31.15024,1.117963236
Bombuscaro,3,12,con,PT-con-11,Pouteria torta,6,20,20,3.73,2.2,92.85,201.44,0.68,0.44,0.45,18.14351,0.804407772
Bombuscaro,3,12,con,PT-con-12,Pouteria torta,5,15,15,3.2,2.01,100.17,280.46,0.64,0.19,0.35,19.14716,0.90146242
Bombuscaro,3,12,con,PT-con-13,Pouteria torta,5,28,28,3.27,3.04,154.76,197.04,1.33,0.56,0.77,17.30893,0.710465238
Bombuscaro,3,12,con,PT-con-14,Pouteria torta,4,27,29,3.34,6.2,131.39,184.1,1.59,0.67,0.68,15.99126,0.63490049
Bombuscaro,3,12,con,PT-con-15,Pouteria torta,3,19.5,19.5,2.63,0,24.65,352.14,0.43,0.19,0.07,21.41578,1.297475388
Bombuscaro,4,13,P,CR-p-16,Clarisia racemosa,5,30,35,3.25,0,82.31,211.05,NULL,0.32,0.39,24.93388,1.243199923
Bombuscaro,4,13,P,CR-p-17,Clarisia racemosa,3,26,26.5,2.32,0.12,47.01,246.79,0.58,0.18,0.19,26.12504,1.728649302
Bombuscaro,4,13,P,CR-p-18,Clarisia racemosa,4,21,23,2.12,0,51.64,286.89,0.2,0.09,0.18,33.84458,2.675458044
Bombuscaro,4,13,P,CR-p-19,Clarisia racemosa,4,26,28,2.22,0,37.85,252.33,0.45,0.28,0.15,27.92482,2.552168719
Bombuscaro,4,13,P,CR-p-20,Clarisia racemosa,3,16,17,2.1,0,42.57,224.05,0.38,0.17,0.19,24.64407,1.38990159
Bombuscaro,4,13,P,PT-p-16,Pouteria torta,8,39,42,10.82,4.51,505.09,155.94,12.18,5.57,3.21,17.16452,0.896434039
Bombuscaro,4,13,P,PT-p-17,Pouteria torta,3,20,20,0.36,0.8,95.21,224.79,0.41,0.33,0.42,19.29853,1.096019947
Bombuscaro,4,13,P,PT-p-18,Pouteria torta,4,35,36,0.94,11.99,148.37,186.82,1.13,1.31,0.73,19.48392,0.925175485
Bombuscaro,4,13,P,PT-p-19,Pouteria torta,4,27,27,1.28,12.88,283.73,174.74,1.81,1.5,1.55,17.60615,0.718045503
Bombuscaro,4,13,P,PT-p-20,Pouteria torta,6,25,25,1.81,6.2,98.36,249.08,0.21,0.29,0.37,21.49846,0.89856845
Bombuscaro,4,14,con,CR-con-16,Clarisia racemosa,4,34,40,2.24,0.93,53.06,226.65,0.4,0.57,0.23,21.49346,0.850182408
Bombuscaro,4,14,con,CR-con-17,Clarisia racemosa,2,33,36,3.38,0.4,31.21,220.07,1.12,0.98,0.14,24.61805,0.803395674
Bombuscaro,4,14,con,CR-con-18,Clarisia racemosa,5,38,42,2.87,1.48,97.87,247.15,0.7,0.52,0.39,27.64508,1.09952028
Bombuscaro,4,14,con,CR-con-19,Clarisia racemosa,4,25,26,1.94,0.02,49.56,291.41,NULL,0.26,0.17,32.71304,1.366807555
Bombuscaro,4,14,con,CR-con-20,Clarisia racemosa,5,35,36,2.17,0.47,89.03,260.47,NULL,0.47,0.34,28.3259,1.094571381
Bombuscaro,4,14,con,PT-con-16,Pouteria torta,3,22.5,23.5,3.53,0.85,145.84,170.58,2.16,0.91,0.85,17.30617,0.762818818
Bombuscaro,4,14,con,PT-con-17,Pouteria torta,9,29,31.5,2.24,24.05,180.52,240.72,0.43,0.65,0.65,19.31058,0.915813256
Bombuscaro,4,14,con,PT-con-18,Pouteria torta,4,22,22.5,1.34,2.12,63.74,246.48,0.27,0.28,0.25,19.58173,0.904923229
Bombuscaro,4,14,con,PT-con-19,Pouteria torta,5,30,30,3.66,13.43,322.21,212.95,1.74,1.09,1.45,19.09585,0.756194776
Bombuscaro,4,14,con,PT-con-20,Pouteria torta,3,31,31,2.61,3.08,157.48,208.65,0.96,0.78,0.74,19.16253,0.863563434
Bombuscaro,4,15,N,CR-n-16,Clarisia racemosa,2,26,26,1.93,0.06,27.19,246.64,0.27,0.26,0.11,32.32139,1.785646029
Bombuscaro,4,15,N,CR-n-17,Clarisia racemosa,3,19,26,1.63,0,34.85,268.08,0.2,0.15,0.13,28.43382,2.067243797
Bombuscaro,4,15,N,CR-n-18,Clarisia racemosa,5,30,31,1.85,2.02,76.68,257.45,0.33,0.4,0.29,30.3055,1.362113637
Bombuscaro,4,15,N,CR-n-19,Clarisia racemosa,5,30,32,2.28,0.29,40.38,286.36,0.23,0.25,0.14,33.72042,1.220118233
Bombuscaro,4,15,N,CR-n-20,Clarisia racemosa,4,28,29,2.26,0,74.92,325.74,0.29,0.24,0.23,30.84304,1.325879631
Bombuscaro,4,15,N,PT-n-16,Pouteria torta,5,30,30,3.84,10.37,267.37,203.97,1.54,1.43,1.26,18.6684,0.770449805
Bombuscaro,4,15,N,PT-n-17,Pouteria torta,3,18,18,0.22,0.85,181.01,211.95,4.33,0.4,0.85,17.74266,0.761486572
Bombuscaro,4,15,N,PT-n-18,Pouteria torta,7,23,23,3.05,0.71,133.7,225.41,0.58,0.34,0.59,20.58981,0.882826206
Bombuscaro,4,16,NP,CR-np-16,Clarisia racemosa,3,30,30,1.83,0.05,26.25,374.29,0.13,0.08,0.07,34.01527,3.478151072
Bombuscaro,4,16,NP,CR-np-17,Clarisia racemosa,3,18,18,1.64,0,19.36,484,0.12,0.08,0.04,40.16937,3.87893135
Bombuscaro,4,16,NP,CR-np-18,Clarisia racemosa,5,24,26,2.04,0.06,77.39,322.21,NULL,0.26,0.24,31.22282,1.401915162
Bombuscaro,4,16,NP,CR-np-19,Clarisia racemosa,5,17,19,1.41,0.39,43.69,481.11,0.08,0.05,0.09,32.85464,1.475065803
Bombuscaro,4,16,NP,CR-np-20,Clarisia racemosa,3,24,27,2.42,0.13,44.47,277.13,0.37,0.21,0.16,31.61951,1.249533372
Bombuscaro,4,16,NP,PT-np-16,Pouteria torta,3,31,31,3.47,0,69.42,239.38,0.52,0.46,0.29,19.85162,0.595093819
Bombuscaro,4,16,NP,PT-np-17,Pouteria torta,6,25,25,2.6,2.51,89.18,222.23,0.28,0.44,0.39,20.58023,0.772289299
Bombuscaro,4,16,NP,PT-np-18,Pouteria torta,13,43,43,4.9,15.41,877.33,173.77,4.05,2.94,4.96,18.67636,0.466113636
Bombuscaro,4,16,NP,PT-np-19,Pouteria torta,9,54,54,4.86,8.71,691.9,216.89,3.12,3,3.15,18.5975,0.522754134
Bombuscaro,4,16,NP,PT-np-20,Pouteria torta,3,19,19,2.13,3.75,86.37,258.19,0.51,0.25,0.32,19.76971,0.689705871
Cajanuma,1,1,con,GH-con-01,Graffenrieda harlingii,14,23.5,23.5,2.16,4.378,68.2296,193.49,NULL,0.26,0.33,12.26902,0.527059055
Cajanuma,1,1,con,GH-con-02,Graffenrieda harlingii,13,9,9,1.45,0.0624,38.6396,192.89,NULL,0.09,0.2,10.9656,0.531339243
Cajanuma,1,1,con,GH-con-03,Graffenrieda harlingii,18,13.5,13.5,1.5,0.0444,31.1768,239.48,NULL,0.12,0.13,9.98263,0.622359631
Cajanuma,1,1,con,GH-con-04,Graffenrieda harlingii,15,34.5,34.5,2.38,1.0147,58.9094,144.74,NULL,0.53,0.4,9.37949,0.393076597
Cajanuma,1,1,con,GH-con-05,Graffenrieda harlingii,13,37,37,2.33,0.2855,59.8616,135.4,NULL,0.66,0.44,9.17797,0.380658047
Cajanuma,1,1,con,HP-con-01,Hedyosmum purpuracens,8,14,14,1.52,0.5545,27.2158,222.18,0.06,0.12,0.12,19.87029,1.082188723
Cajanuma,1,1,con,HP-con-02,Hedyosmum purpuracens,7,13,17,1.37,0.3629,38.2674,315.87,0.03,0.13,0.12,18.95731,1.096171723
Cajanuma,1,1,con,HP-con-03,Hedyosmum purpuracens,5,20,23,4.35,0.0906,71.8726,170.91,0.4,0.73,0.42,21.41495,1.248687122
Cajanuma,1,1,con,HP-con-04,Hedyosmum purpuracens,5,14,14,1.94,0.0023,39.6335,247.7,0.07,0.12,0.16,17.63395,0.945767979
Cajanuma,1,1,con,HP-con-05,Hedyosmum purpuracens,7,13,16,1.09,1.9333,34.1651,358.13,0.08,0.06,0.09,15.39954,0.843030018
Cajanuma,1,2,N,GH-n-01,Graffenrieda harlingii,10,28.5,28.5,4.07,4.78,241.06,222.91,0.89,0.87,1.06,18.84192,0.800387513
Cajanuma,1,2,N,GH-n-02,Graffenrieda harlingii,5,22,26,4.33,8.3469,123.2906,229.89,0.46,1.04,0.5,19.36046,0.759672679
Cajanuma,1,2,N,GH-n-03,Graffenrieda harlingii,6,16,16,2.8,0.0367,60.635,242.39,NULL,0.21,0.25,19.17556,0.765377664
Cajanuma,1,2,N,GH-n-04,Graffenrieda harlingii,6,11,11,2.38,0.2933,36.3699,240.51,0.2,0.11,0.15,16.99498,0.620510756
Cajanuma,1,2,N,GH-n-05,Graffenrieda harlingii,7,11,11,3.1,0.0943,96.0629,239.92,0.29,0.2,0.4,15.53247,0.821248597
Cajanuma,1,2,N,HP-n-01,Hedyosmum purpuracens,7,16,18,2.89,5.1131,89.7197,248.84,0.31,0.3,0.34,15.82423,0.845902762
Cajanuma,1,2,N,HP-n-02,Hedyosmum purpuracens,9,17,17,2.36,0.6624,82.9659,242.07,NULL,0.16,0.34,15.60606,0.742453619
Cajanuma,1,2,N,HP-n-03,Hedyosmum purpuracens,4,16.5,16.5,3.71,0.187,38.5985,225.95,0.51,0.28,0.17,18.01628,0.918671932
Cajanuma,1,2,N,HP-n-04,Hedyosmum purpuracens,7,10,11.5,1.77,0.0616,41.3099,217.1,0.06,0.09,0.19,15.9422,0.866293904
Cajanuma,1,2,N,HP-n-05,Hedyosmum purpuracens,8,12,12,2.94,0.015,23.8728,198.82,NULL,0.1,0.12,16.86836,1.005519564
Cajanuma,1,3,P,GH-p-01,Graffenrieda harlingii,8,21.5,21.5,3.73,3.153,112.7359,166.03,0.94,0.44,0.66,11.74932,1.744419843
Cajanuma,1,3,P,GH-p-02,Graffenrieda harlingii,11,29.5,29.5,2.8,2.2875,97.1043,197.54,0.38,0.52,0.48,12.11825,3.03587468
Cajanuma,1,3,P,GH-p-03,Graffenrieda harlingii,13,24,24,3.64,0.8449,84.8854,191,0.81,0.62,0.44,13.3928,2.206109307
Cajanuma,1,3,P,GH-p-04,Graffenrieda harlingii,25,18,18,2.41,0.1561,96.8632,254.49,0.27,0.45,0.38,12.98846,1.281419361
Cajanuma,1,3,P,GH-p-05,Graffenrieda harlingii,8,25,29,5.16,3.9589,144.5584,159.77,1.44,1.19,0.88,12.50771,1.562103187
Cajanuma,1,3,P,HP-p-01,Hedyosmum purpuracens,10,24,24,3.37,0.0196,58.4317,216.34,0.2,0.32,0.27,14.72888,2.509407123
Cajanuma,1,3,P,HP-p-02,Hedyosmum purpuracens,8,13,16,2.64,1.7656,37.7175,276.55,NULL,0.11,0.13,15.92747,2.195325049
Cajanuma,1,3,P,HP-p-03,Hedyosmum purpuracens,7,9,12.5,1.59,0.0036,26.8942,384.15,0.13,0.04,0.07,18.91762,2.070904086
Cajanuma,1,3,P,HP-p-04,Hedyosmum purpuracens,14,13,13,2.94,0.2217,58.1149,241.22,0.1,0.12,0.24,16.34031,0.93441644
Cajanuma,1,3,P,HP-p-05,Hedyosmum purpuracens,9,15,15,2.32,3.7066,46.9905,196.75,NULL,0.16,0.22,16.18228,1.733627371
Cajanuma,1,4,NP,GH-np-01,Graffenrieda harlingii,8,15,16,1.72,3.2465,58.2801,196.55,NULL,0.11,0.28,16.35,0.990325676
Cajanuma,1,4,NP,GH-np-02,Graffenrieda harlingii,10,33,36.5,2.92,2.1006,87.3951,155.08,0.38,0.76,0.55,16.11356,1.527290774
Cajanuma,1,4,NP,HP-np-01,Hedyosmum purpuracens,10,14.5,14.5,1.34,0.0452,74.4494,240.01,0.16,0.15,0.31,17.61228,1.529505862
Cajanuma,1,4,NP,HP-np-02,Hedyosmum purpuracens,18,21,28.5,3.31,6.4022,102.0709,199.31,NULL,0.62,0.48,16.31309,1.270030209
Cajanuma,1,4,NP,HP-np-03,Hedyosmum purpuracens,4,27,32.5,3.58,0.0013,46.4113,210.95,NULL,0.63,0.22,21.22745,1.463356338
Cajanuma,1,4,NP,HP-np-04,Hedyosmum purpuracens,11,10,11,2.76,0.3915,37.6252,248.22,0.09,0.08,0.15,20.98974,1.510329042
