trait,nut_add,moderator_group,moderator,estimate,p_value,lower_ci,upper_ci
vcmax,np,nfix,non_fixer,0.241,<0.001,0.089,0.393
vcmax,np,myc,mining,0.101,0.024,-0.072,0.274
vcmax,np,myc,scavenging,0.233,0.024,0.082,0.384
jmax,n,photo,c3,0.144,0.517,0.035,0.254
jmax,n,photo,c4,0.025,0.517,-0.345,0.395
jmax,n,nfix,n_fixer,-0.011,0.054,-0.181,0.160
jmax,n,nfix,non_fixer,0.155,0.054,0.041,0.269
jmax,n,myc,mining,-0.031,<0.001,-0.158,0.096
jmax,n,myc,scavenging,0.195,<0.001,0.079,0.311
jmax,p,photo,c3,0.179,0.133,0.026,0.333
jmax,p,photo,c4,0.012,0.133,-0.251,0.275
jmax,p,nfix,n_fixer,0.184,0.878,-0.039,0.407
jmax,p,nfix,non_fixer,0.170,0.878,0.015,0.325
jmax,p,myc,mining,0.164,0.866,-0.012,0.339
jmax,p,myc,scavenging,0.173,0.866,0.017,0.329
jmax,np,photo,c3,0.251,0.194,0.130,0.372
jmax,np,photo,c4,0.132,0.194,-0.075,0.340
jmax,np,nfix,n_fixer,-0.074,<0.001,-0.286,0.138
jmax,np,nfix,non_fixer,0.281,<0.001,0.159,0.402
jmax,np,myc,mining,0.135,0.012,-0.007,0.276
jmax,np,myc,scavenging,0.282,0.012,0.156,0.408
jmax_vcmax,n,photo,c3,0.004,0.166,0.000,0.008
jmax_vcmax,n,photo,c4,-0.034,0.166,-0.087,0.019
jmax_vcmax,n,nfix,n_fixer,0.001,0.976,-0.016,0.018
jmax_vcmax,n,nfix,non_fixer,0.001,0.976,-0.004,0.006
jmax_vcmax,n,myc,mining,0.003,0.666,-0.005,0.010
jmax_vcmax,n,myc,scavenging,0.001,0.666,-0.005,0.006
jmax_vcmax,p,photo,c3,-0.001,0.912,-0.004,0.003
jmax_vcmax,p,photo,c4,-0.003,0.912,-0.047,0.041
jmax_vcmax,p,nfix,n_fixer,-0.004,0.592,-0.016,0.009
jmax_vcmax,p,nfix,non_fixer,0.000,0.592,-0.004,0.004
jmax_vcmax,p,myc,mining,0.005,0.068,-0.002,0.012
jmax_vcmax,p,myc,scavenging,-0.002,0.068,-0.007,0.002
jmax_vcmax,np,photo,c3,0.014,0.140,0.010,0.019
jmax_vcmax,np,photo,c4,-0.017,0.140,-0.058,0.024
jmax_vcmax,np,nfix,n_fixer,0.024,0.172,0.006,0.042
jmax_vcmax,np,nfix,non_fixer,0.011,0.172,0.006,0.016
jmax_vcmax,np,myc,mining,-0.002,<0.001,-0.010,0.005
jmax_vcmax,np,myc,scavenging,0.018,<0.001,0.012,0.024
leaf_pnue,n,photo,c3,0.065,0.791,-0.177,0.308
leaf_pnue,n,photo,c4,0.101,0.791,-0.258,0.461
leaf_pnue,n,nfix,n_fixer,0.227,0.256,-0.151,0.605
leaf_pnue,n,nfix,non_fixer,0.058,0.256,-0.184,0.300
leaf_pnue,n,myc,mining,-0.118,<0.001,-0.379,0.144
leaf_pnue,n,myc,scavenging,0.105,<0.001,-0.138,0.348
leaf_pnue,p,photo,c3,0.159,0.056,-0.105,0.423
leaf_pnue,p,photo,c4,-0.040,0.056,-0.373,0.293
leaf_pnue,p,nfix,n_fixer,0.283,0.298,-0.086,0.652
leaf_pnue,p,nfix,non_fixer,0.145,0.298,-0.119,0.409
leaf_pnue,p,myc,mining,0.127,0.575,-0.151,0.405
leaf_pnue,p,myc,scavenging,0.157,0.575,-0.107,0.422
leaf_pnue,np,photo,c3,0.121,0.040,-0.253,0.494
leaf_pnue,np,photo,c4,0.278,0.040,-0.124,0.680
leaf_pnue,np,nfix,n_fixer,0.106,0.882,-0.354,0.567
leaf_pnue,np,nfix,non_fixer,0.127,0.882,-0.246,0.500
leaf_pnue,np,myc,mining,0.184,0.242,-0.202,0.570
leaf_pnue,np,myc,scavenging,0.114,0.242,-0.260,0.488
leaf_ppue,n,photo,c3,0.169,0.026,-0.126,0.464
leaf_ppue,n,photo,c4,-0.070,0.026,-0.430,0.290
leaf_ppue,n,nfix,n_fixer,-0.475,<0.001,-0.860,-0.091
leaf_ppue,n,nfix,non_fixer,0.195,<0.001,-0.100,0.490
leaf_ppue,n,myc,mining,0.011,0.036,-0.318,0.340
leaf_ppue,n,myc,scavenging,0.191,0.036,-0.105,0.487
leaf_ppue,p,photo,c3,-0.169,0.706,-0.579,0.242
leaf_ppue,p,photo,c4,-0.225,0.706,-0.729,0.278
leaf_ppue,p,nfix,n_fixer,0.047,0.153,-0.466,0.559
leaf_ppue,p,nfix,non_fixer,-0.182,0.153,-0.593,0.228
leaf_ppue,p,myc,mining,-0.640,<0.001,-1.086,-0.193
leaf_ppue,p,myc,scavenging,-0.075,<0.001,-0.487,0.337
leaf_ppue,np,photo,c3,-0.087,0.032,-0.446,0.271
leaf_ppue,np,photo,c4,0.275,0.032,-0.212,0.763
leaf_ppue,np,nfix,n_fixer,-0.749,<0.001,-1.219,-0.278
leaf_ppue,np,nfix,non_fixer,-0.039,<0.001,-0.397,0.320
leaf_ppue,np,myc,mining,-0.138,0.427,-0.532,0.256
leaf_ppue,np,myc,scavenging,-0.062,0.427,-0.422,0.298
agb,n,photo,c3,0.411,0.753,0.089,0.733
agb,n,photo,c4,0.281,0.753,-0.464,1.026
agb,n,nfix,n_fixer,-0.555,0.009,-1.368,0.257
agb,n,nfix,non_fixer,0.470,0.009,0.174,0.766
agb,n,myc,mining,0.475,0.494,0.100,0.851
agb,n,myc,scavenging,0.380,0.494,0.077,0.683
agb,p,photo,c3,0.200,0.978,-0.077,0.477
agb,p,photo,c4,0.190,0.978,-0.455,0.834
agb,p,nfix,n_fixer,0.821,0.002,0.341,1.301
agb,p,nfix,non_fixer,0.151,0.002,-0.106,0.408
agb,p,myc,mining,0.097,0.348,-0.238,0.433
agb,p,myc,scavenging,0.221,0.348,-0.039,0.481
agb,np,photo,c3,0.602,0.939,0.184,1.021
agb,np,photo,c4,0.561,0.939,-0.389,1.511
agb,np,nfix,n_fixer,-0.389,<0.001,-1.022,0.243
agb,np,nfix,non_fixer,0.674,<0.001,0.287,1.060
agb,np,myc,mining,0.697,0.388,0.246,1.148
agb,np,myc,scavenging,0.576,0.388,0.186,0.966
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
