"trait","nut_add","k","mod","estimate","se","estimate_se","zval","pval","ci.lb","ci.ub","ci_range"
"leaf_np","n",84,"gs_mat",-0.017,0.005,"-0.017±0.005",-3.146,0.002,-0.028,-0.006,"[-0.028, -0.006]"
"leaf_np","n",84,"gs_ai",-0.097,0.054,"-0.097±0.054",-1.802,0.072,-0.202,0.009,"[-0.202, 0.009]"
"leaf_np","n",84,"gs_par",0,0,"0.000±0.000",1.446,0.148,-0,0.001,"[-0.000, 0.001]"
"leaf_np","p",83,"intrcpt",-0.41,0.346,"-0.410±0.346",-1.185,0.236,-1.089,0.268,"[-1.089, 0.268]"
"leaf_np","p",83,"gs_mat",0.017,0.007,"0.017±0.007",2.53,0.011,0.004,0.031,"[0.004, 0.031]"
"leaf_np","p",83,"gs_ai",0.23,0.067,"0.230±0.067",3.425,0.001,0.098,0.361,"[0.098, 0.361]"
"leaf_np","p",83,"gs_par",-0.001,0,"-0.001±0.000",-1.514,0.13,-0.001,0,"[-0.001, 0.000]"
"leaf_np","np",83,"intrcpt",0.197,0.372,"0.197±0.372",0.531,0.596,-0.531,0.926,"[-0.531, 0.926]"
"leaf_np","np",83,"gs_mat",0.004,0.007,"0.004±0.007",0.475,0.635,-0.011,0.018,"[-0.011, 0.018]"
"leaf_np","np",83,"gs_ai",0.107,0.072,"0.107±0.072",1.491,0.136,-0.034,0.248,"[-0.034, 0.248]"
"leaf_np","np",83,"gs_par",-0.001,0,"-0.001±0.000",-1.612,0.107,-0.002,0,"[-0.002, 0.000]"
"tbio_gm2","n",29,"intrcpt",0.395,0.622,"0.395±0.622",0.635,0.525,-0.824,1.614,"[-0.824, 1.614]"
"tbio_gm2","n",29,"gs_mat",-0.032,0.016,"-0.032±0.016",-1.984,0.047,-0.064,-0,"[-0.064, -0.000]"
"tbio_gm2","n",29,"gs_ai",-0.098,0.116,"-0.098±0.116",-0.838,0.402,-0.326,0.13,"[-0.326, 0.130]"
"tbio_gm2","n",29,"gs_par",0,0.001,"0.000±0.001",0.359,0.72,-0.001,0.001,"[-0.001, 0.001]"
"tbio","p",30,"intrcpt",0.431,0.666,"0.431±0.666",0.647,0.517,-0.874,1.736,"[-0.874, 1.736]"
"tbio","p",30,"gs_mat",-0.025,0.016,"-0.025±0.016",-1.633,0.102,-0.056,0.005,"[-0.056, 0.005]"
