var,middle,ymin,ymax,middle_scaled,ymin_scaled,ymax_scaled,k,sig.level,k_sig,logr_min,logr_max,manip_type,middle_fixed,plot_label,bold_yn,middle_perc,upper_perc,lower_perc
rmf,-0.069901898,-0.144852411,0.005048615,0.932485294,0.86514997,1.005061381,-37,   ,-37,-1.232143681,0.417735201,p,-0.07,paste('-0.070'^'   '),plain,-6.751470601,0.506138054,-13.48500297
gsw,0.190234949,-0.034815782,0.41528568,1.209533743,0.965783315,1.514803427,-43,   ,-43,-0.481588804,0.789637302,p,0.19,paste(' 0.190'^'   '),plain,20.9533743,51.48034272,-3.4216685
leaf_np,-0.343670426,-0.466675026,-0.220665827,0.709162611,0.627083843,0.801984637,-118,***,(118)***,-2.9034867,0.848687715,p,-0.344,paste('-0.344'^'***'),bold,-29.0837389,-19.80153626,-37.29161565
lma,-0.014999966,-0.043860746,0.013860813,0.985111973,0.957087227,1.01395732,-113,   ,-113,-1.000784542,0.895352952,p,-0.015,paste('-0.015'^'   '),plain,-1.488802713,1.395731989,-4.291277348
leaf_wue,0.0089489,-0.100752452,0.118650252,1.008989061,0.904156828,1.125976041,-40,   ,-40,-0.860552143,1.392185366,p,0.009,paste(' 0.009'^'   '),plain,0.898906128,12.59760414,-9.584317216
leaf_n_area,0.030409363,-0.046885439,0.107704166,1.030876451,0.954196705,1.113718221,-87,   ,-87,-1.232534359,0.833369546,p,0.03,paste(' 0.030'^'   '),plain,3.087645053,11.37182208,-4.580329532
leaf_p_area,0.537943406,0.328383272,0.74750354,1.712481359,1.388721128,2.111721602,-82,***,(82)***,-1.11058848,2.875191201,p,0.538,paste(' 0.538'^'***'),bold,71.24813588,111.1721602,38.87211276
vcmax,0.115240978,-0.025344293,0.255826248,1.122143816,0.974974178,1.291528303,-42,   ,-42,-0.310002598,0.84729786,p,0.115,paste(' 0.115'^'   '),plain,12.21438165,29.15283026,-2.502582221
jmax,0.177208554,0.022675393,0.331741716,1.193880056,1.022934434,1.393392911,-40,*  ,(40)*  ,-0.229477826,0.947381319,p,0.177,paste(' 0.177'^'*  '),plain,19.38800562,39.33929114,2.293443355
jmax_vcmax,-0.000482017,-0.003653961,0.002689927,0.999518099,0.996352706,1.002693548,-32,   ,-32,-0.038255075,0.044336101,p,0,paste('-0.000'^'   '),plain,-0.048190103,0.269354812,-0.36472938
leaf_pnue,0.165992275,-0.056391849,0.3883764,1.180563982,0.9451687,1.474584713,-61,   ,-61,-0.80067925,1.225951711,p,0.166,paste(' 0.166'^'   '),plain,18.05639821,47.45847132,-5.483130045
leaf_ppue,-0.197541701,-0.506133919,0.111050517,0.820745914,0.602821637,1.117451356,-62,   ,-62,-3.29569218,0.756261421,p,-0.198,paste('-0.198'^'   '),plain,-17.92540859,11.74513557,-39.7178363
leaf_structural_p,0.070640303,-0.067759048,0.209039653,1.073195131,0.934485613,1.23249387,-20,   ,-20,-0.483869814,0.501523231,p,0.071,paste(' 0.071'^'   '),plain,7.3195131,23.24938695,-6.551438698
leaf_metabolic_p,0.405912761,0.029313888,0.782511634,1.50067163,1.029747769,2.186958212,-21,*  ,(21)*  ,-0.06029223,0.910186949,p,0.406,paste(' 0.406'^'*  '),plain,50.06716297,118.6958212,2.974776916
leaf_nucleic_p,0.053945156,-0.123434513,0.231324824,1.055426716,0.883879522,1.260268539,-21,   ,-21,-0.240279834,0.578177806,p,0.054,paste(' 0.054'^'   '),plain,5.542671626,26.0268539,-11.61204783
leaf_residual_p,-0.208298716,-0.484263301,0.067665868,0.811964453,0.616150947,1.070007725,-20,   ,-20,-0.748717032,0.747214402,p,-0.208,paste('-0.208'^'   '),plain,-18.80355466,7.000772518,-38.38490526
leaf_pi,1.022253476,0.340912892,1.70359406,2.779451139,1.406230742,5.493656485,-5,** ,(5)** ,0.385662481,1.569959101,p,1.022,paste(' 1.022'^'** '),plain,177.9451139,449.3656485,40.62307415
agb_n,0.902978855,0.516800611,1.289157099,2.466940836,1.676654788,3.629725768,-18,***,(18)***,0.112940411,3.378724526,np,0.903,paste(' 0.903'^'***'),bold,146.6940836,262.9725768,67.66547885
agb_p,1.004029926,0.660568211,1.34749164,2.729258405,1.935892018,3.847761845,-12,***,(12)***,0.405465108,2.397895273,np,1.004,paste(' 1.004'^'***'),bold,172.9258405,284.7761845,93.58920179
agb,0.627093327,0.533309829,0.720876826,1.872160904,1.7045648,2.056235381,-125,***,(125)***,-0.659245629,3.342861805,np,0.627,paste(' 0.627'^'***'),bold,87.21609041,105.6235381,70.45648
agb_n_mass,0.10727536,0.038821223,0.175729496,1.113240754,1.039584613,1.192115543,-30,** ,(30)** ,-0.247836164,0.486115452,np,0.107,paste(' 0.107'^'** '),plain,11.3240754,19.21155435,3.958461331
agb_p_mass,0.298969564,0.035111398,0.562827729,1.34846858,1.035735081,1.755629934,-23,*  ,(23)*  ,-0.538996501,1.762158999,np,0.299,paste(' 0.299'^'*  '),plain,34.84685805,75.56299343,3.573508119
leaf_n_mass,0.117484929,0.075325926,0.159643932,1.12466468,1.078235519,1.173093095,-139,***,(139)***,-0.350634984,1.273160515,np,0.117,paste(' 0.117'^'***'),bold,12.46646799,17.30930952,7.823551882
leaf_p_mass,0.365461452,0.25330693,0.477615974,1.44117889,1.288278628,1.612226227,-133,***,(133)***,-0.805788817,2.440665781,np,0.365,paste(' 0.365'^'***'),bold,44.11788895,61.22262272,28.82786277
asat,0.245902891,0.067532332,0.424273451,1.278775387,1.069864849,1.528479501,-89,** ,(89)** ,-2.180437144,1.621947849,np,0.246,paste(' 0.246'^'** '),plain,27.87753873,52.84795008,6.986484947
total_biomass,0.378727953,0.226330741,0.531125165,1.460425678,1.253990343,1.700844964,-42,***,(42)***,-0.501876874,2.420368129,np,0.379,paste(' 0.379'^'***'),bold,46.04256775,70.08449638,25.3990343
bgb,0.100452041,-0.044511386,0.245415469,1.105670614,0.956464709,1.278152236,-63,   ,-63,-0.904805782,1.867487486,np,0.1,paste(' 0.100'^'   '),plain,10.56706141,27.81522358,-4.353529052
rootshoot,-0.401129621,-0.624666794,-0.177592448,0.669563266,0.535439811,0.837283591,-40,***,(40)***,-1.584120104,1.300980777,np,-0.401,paste('-0.401'^'***'),bold,-33.0436734,-16.27164093,-46.45601894
rmf,-0.147915712,-0.237057352,-0.058774072,0.86250381,0.788946039,0.942919777,-37,** ,(37)** ,-0.938269639,0.540806456,np,-0.148,paste('-0.148'^'** '),plain,-13.74961897,-5.708022319,-21.10539613
gsw,0.229290346,0.0219414,0.436639292,1.257707156,1.022183883,1.547497781,-43,*  ,(43)*  ,-1.275837366,1.323380536,np,0.229,paste(' 0.229'^'*  '),plain,25.77071565,54.74977813,2.218388323
leaf_np,-0.20216517,-0.291623811,-0.11270653,0.816959979,0.747049515,0.893412812,-118,***,(118)***,-1.470258196,0.982042109,np,-0.202,paste('-0.202'^'***'),bold,-18.30400208,-10.65871882,-25.29504851
lma,-0.052276433,-0.08785413,-0.016698735,0.949066478,0.915894469,0.983439916,-113,** ,(113)** ,-1.364692882,1.08475948,np,-0.052,paste('-0.052'^'** '),plain,-5.093352225,-1.65600844,-8.41055311
leaf_wue,0.223307846,0.036350629,0.410265063,1.250205385,1.037019392,1.507217239,-40,*  ,(40)*  ,-1.08375085,1.246914999,np,0.223,paste(' 0.223'^'*  '),plain,25.0205385,50.72172395,3.701939151
leaf_n_area,0.153972069,0.087249746,0.220694393,1.166458306,1.091169161,1.246942298,-87,***,(87)***,-1.220270285,1.819668257,np,0.154,paste(' 0.154'^'***'),bold,16.64583064,24.69422977,9.116916081
leaf_p_area,0.38900527,0.184599772,0.593410768,1.475512327,1.202736975,1.810151906,-82,***,(82)***,-1.159981235,2.696341712,np,0.389,paste(' 0.389'^'***'),bold,47.55123269,81.0151906,20.27369746
vcmax,0.164383584,-0.001985489,0.330752657,1.178666346,0.998016481,1.392015444,-42,.  ,(42).  ,-0.403719313,1.502447096,np,0.164,paste(' 0.164'^'.  '),plain,17.8666346,39.20154444,-0.198351902
jmax,0.26129245,0.207952271,0.314632629,1.298607388,1.231154407,1.36975601,-40,***,(40)***,-0.32838662,1.51635924,np,0.261,paste(' 0.261'^'***'),bold,29.86073878,36.975601,23.11544066
jmax_vcmax,0.011807811,0.007433929,0.016181694,1.011877799,1.007461629,1.016313326,-32,***,(32)***,-0.034248099,0.443139856,np,0.012,paste(' 0.012'^'***'),bold,1.187779867,1.631332636,0.746162909
leaf_pnue,0.185402721,-0.15283868,0.523644121,1.203703099,0.858268167,1.688168344,-61,   ,-61,-2.241577745,1.464911552,np,0.185,paste(' 0.185'^'   '),plain,20.37030986,68.81683437,-14.17318332
leaf_ppue,-0.030252548,-0.341181615,0.28067652,0.970200481,0.710929781,1.324025239,-62,   ,-62,-2.403264008,1.130340838,np,-0.03,paste('-0.030'^'   '),plain,-2.979951912,32.40252387,-28.90702189
leaf_structural_p,0.04632264,-0.058134938,0.150780218,1.047412294,0.943522622,1.162741081,-20,   ,-20,-0.175533502,0.384513496,np,0.046,paste(' 0.046'^'   '),plain,4.741229378,16.27410807,-5.6477378
leaf_metabolic_p,0.34944479,0.024135026,0.674754555,1.418279887,1.024428633,1.963550974,-21,*  ,(21)*  ,0,0.929791419,np,0.349,paste(' 0.349'^'*  '),plain,41.82798874,96.35509737,2.442863263
leaf_nucleic_p,0.2064508,-0.166105264,0.579006864,1.229307251,0.846957076,1.784265533,-21,   ,-21,-0.227783931,0.737598943,np,0.206,paste(' 0.206'^'   '),plain,22.93072512,78.4265533,-15.30429244
leaf_residual_p,0.03309021,-0.297452171,0.36363259,1.03364378,0.742708106,1.43854558,-20,   ,-20,-0.758898558,1.424034689,np,0.033,paste(' 0.033'^'   '),plain,3.364377957,43.85455805,-25.72918943
leaf_pi,0.56399817,0.161665684,0.966330657,1.757685998,1.175467198,2.628282673,-5,** ,(5)** ,0.1426563,1.047130333,np,0.564,paste(' 0.564'^'** '),plain,75.76859984,162.8282673,17.54671981
