"trait","nut_add","mod","comp","k","estimate","z","p","lowerCL","upperCL"
"vcmax","np","myc_nas","Mining",42,0.101,2.251,"0.024",-0.072,0.274
"vcmax","np","myc_nas","Scavenging",42,0.233,2.251,"0.024",0.082,0.384
"vcmax","np","nfix","No",42,0.241,-4.201,"<0.001",0.089,0.393
"vcmax","np","nfix","Yes",42,-0.173,-4.201,"<0.001",-0.391,0.045
"jmax","n","photo","C3",40,0.144,-0.648,"0.517",0.035,0.254
"jmax","n","photo","C4",40,0.025,-0.648,"0.517",-0.345,0.395
"jmax","n","myc_nas","Mining",40,-0.031,4.203,"<0.001",-0.158,0.096
"jmax","n","myc_nas","Scavenging",40,0.195,4.203,"<0.001",0.079,0.311
"jmax","n","nfix","No",40,0.155,-1.925,"0.054",0.041,0.269
"jmax","n","nfix","Yes",40,-0.011,-1.925,"0.054",-0.181,0.16
"jmax","p","photo","C3",40,0.179,-1.503,"0.133",0.026,0.333
"jmax","p","photo","C4",40,0.012,-1.503,"0.133",-0.251,0.275
"jmax","p","myc_nas","Mining",40,0.164,0.169,"0.865",-0.012,0.339
"jmax","p","myc_nas","Scavenging",40,0.173,0.169,"0.865",0.017,0.329
"jmax","p","nfix","No",40,0.17,0.154,"0.878",0.015,0.325
"jmax","p","nfix","Yes",40,0.184,0.154,"0.878",-0.039,0.407
"jmax","np","photo","C3",40,0.251,-1.298,"0.194",0.13,0.372
"jmax","np","photo","C4",40,0.132,-1.298,"0.194",-0.075,0.34
"jmax","np","myc_nas","Mining",40,0.135,2.524,"0.012",-0.007,0.276
"jmax","np","myc_nas","Scavenging",40,0.282,2.524,"0.012",0.156,0.408
"jmax","np","nfix","No",40,0.281,-3.6,"<0.001",0.159,0.402
"jmax","np","nfix","Yes",40,-0.074,-3.6,"<0.001",-0.286,0.138
"jmax_vcmax","n","photo","C3",32,0.004,-1.384,"0.166",0,0.008
"jmax_vcmax","n","photo","C4",32,-0.034,-1.384,"0.166",-0.087,0.019
"jmax_vcmax","n","myc_nas","Mining",32,0.003,-0.432,"0.666",-0.005,0.01
"jmax_vcmax","n","myc_nas","Scavenging",32,0.001,-0.432,"0.666",-0.005,0.006
"jmax_vcmax","n","nfix","No",32,0.001,-0.031,"0.975",-0.004,0.006
"jmax_vcmax","n","nfix","Yes",32,0.001,-0.031,"0.975",-0.016,0.018
"jmax_vcmax","p","photo","C3",32,0,-0.11,"0.912",-0.004,0.003
"jmax_vcmax","p","photo","C4",32,-0.003,-0.11,"0.912",-0.047,0.041
"jmax_vcmax","p","myc_nas","Mining",32,0.005,-1.825,"0.068",-0.002,0.012
"jmax_vcmax","p","myc_nas","Scavenging",32,-0.003,-1.825,"0.068",-0.007,0.002
"jmax_vcmax","p","nfix","No",32,0,-0.536,"0.592",-0.004,0.004
"jmax_vcmax","p","nfix","Yes",32,-0.004,-0.536,"0.592",-0.016,0.009
"jmax_vcmax","np","photo","C3",32,0.014,-1.477,"0.14",0.01,0.019
"jmax_vcmax","np","photo","C4",32,-0.017,-1.477,"0.14",-0.058,0.024
"jmax_vcmax","np","myc_nas","Mining",32,-0.003,4.402,"<0.001",-0.01,0.005
"jmax_vcmax","np","myc_nas","Scavenging",32,0.018,4.402,"<0.001",0.012,0.024
"jmax_vcmax","np","nfix","No",32,0.011,1.366,"0.172",0.006,0.016
"jmax_vcmax","np","nfix","Yes",32,0.024,1.366,"0.172",0.006,0.042
"pnue","n","photo","C3",65,0.084,4.482,"<0.001",-0.113,0.281
"pnue","n","photo","C4",65,0.338,4.482,"<0.001",0.113,0.562
"pnue","n","myc_nas","Mining",65,-0.058,3.245,"0.001",-0.274,0.157
"pnue","n","myc_nas","Scavenging",65,0.13,3.245,"0.001",-0.068,0.329
"pnue","n","nfix","No",65,0.089,2.517,"0.012",-0.108,0.286
"pnue","n","nfix","Yes",65,0.198,2.517,"0.012",-0.014,0.411
"pnue","p","photo","C3",65,0.161,-3.022,"0.003",-0.026,0.347
"pnue","p","photo","C4",65,-0.064,-3.022,"0.003",-0.296,0.168
"pnue","p","myc_nas","Mining",65,0.117,0.78,"0.435",-0.085,0.319
"pnue","p","myc_nas","Scavenging",65,0.158,0.78,"0.435",-0.03,0.345
"pnue","p","nfix","No",65,0.136,3.205,"0.001",-0.05,0.322
"pnue","p","nfix","Yes",65,0.368,3.205,"0.001",0.141,0.595
"pnue","np","photo","C3",65,0.147,2.057,"0.04",-0.13,0.423
"pnue","np","photo","C4",65,0.264,2.057,"0.04",-0.032,0.56
"pnue","np","myc_nas","Mining",65,0.212,-1.273,"0.203",-0.078,0.503
"pnue","np","myc_nas","Scavenging",65,0.139,-1.273,"0.203",-0.139,0.416
