"exp","citation"
"niwot_ridge2_wm_fnp","bowman_et_al_1993"
"paracou_fnp","brechet_et_al_2019"
"pituffik_fnp","arens_et_al_2008"
"rengen_fnp","hejcman_et_al_2010"
"sanpedro_fnp","fisher_et_al_2013"
"schiermonnikoog_old_fn2p","van_wijnen_and_bakker_1999"
"schiermonnikoog_old_fn2p2","van_wijnen_and_bakker_1999"
"schiermonnikoog_old_fnp","van_wijnen_and_bakker_1999"
"schiermonnikoog_old_fnp2","van_wijnen_and_bakker_1999"
"schiermonnikoog_young_fn2p","van_wijnen_and_bakker_1999"
"schiermonnikoog_young_fn2p2","van_wijnen_and_bakker_1999"
"schiermonnikoog_young_fnp","van_wijnen_and_bakker_1999"
"schiermonnikoog_young_fnp2","van_wijnen_and_bakker_1999"
"sedgwick_fn2p","borer_et_al_2014"
"sedgwick_fnp","borer_et_al_2014"
"shaaxi_330_fnp","han_et_al_2011"
"shaaxi_6_fnp","han_et_al_2011"
"shaihanba_f3","zeng_and_wang_2015"
"solendet_site1_fnp","oien_2004"
"solendet_site2_fnp","oien_2004"
"solendet_site3_fnp","oien_2004"
"storflaket_f","lund_et_al_2009"
"storflaket_f2","lund_et_al_2009"
"storflaket_f3","lund_et_al_2009"
"storflaket_f4","lund_et_al_2009"
"tambopata_fnp","fisher_et_al_2013"
"teberda_fnp","soudzilovskaia_et_al_2005"
"tono_fnp","fisher_et_al_2013"
"toolik_acidic_1981_f","shaver_et_al_2001"
"toolik_acidic_f","mack_et_al_2004"
"toolik_nonacidic_fnp","chapin_et_al_1995"
"toolik_nonacidic_fnp","gough_and_hobbie_2003"
"toolik_shrub_f","demarco_et_al_2014"
"wayqecha_fnp","fisher_et_al_2013"
"western_kenya_highlands_f","nziguheba_et_al_2005"
"wetland_f","ren_et_al_2010"
"yucatan_esf_f","gamboa_et_al_2010"
"yucatan_lsf_f","gamboa_et_al_2010"
"yucatan_marsh_highsalinity_fnp","rejmankova_et_al_2008"
"yucatan_marsh_lowsalinity_fnp","rejmankova_et_al_2008"
"yucatan_marsh_mediumsalinity_fnp","rejmankova_et_al_2008"
"zackenberg_f","illeris_et_al_2003"
"zackenberg_f","christiansen_et_al_2012"
"zwarte_beek_drained_fnp","van_duren_et_al_1997a"
"zwarte_beek_wet_fnp","van_duren_et_al_1997a"
